family,source_grid,simulation_cutoff,seed_bandwidth,target_energy,kx,ky,kz,ux_real,ux_imag,uy_real,uy_imag,uz_real,uz_imag
wave-packets,16,5,2,10,0,0,1,-0.073920705355459707,0.1374334066330857,0.036402979737157774,-0.17234569123566648,0,0
wave-packets,16,5,2,10,0,0,2,-0.013707773261845631,-0.1869731107067904,0.045535902770174129,0.20549248337872486,0,0
wave-packets,16,5,2,10,0,0,-2,-0.013707773261845631,0.1869731107067904,0.045535902770174129,-0.20549248337872486,0,0
wave-packets,16,5,2,10,0,0,-1,-0.073920705355459707,-0.1374334066330857,0.036402979737157774,0.17234569123566648,0,0
wave-packets,16,5,2,10,0,1,0,0.022428635160190603,-0.24438026519821607,0,0,-0.021361287266017208,0.50904825573556178
wave-packets,16,5,2,10,0,1,1,-0.083455889058019317,0.047659151954143587,-0.24266915615479082,0.69779728593073875,0.24266915615479082,-0.69779728593073875
wave-packets,16,5,2,10,0,1,2,0.12535424174403578,0.070164617965459267,0.094409408530239144,-0.50332051136999534,-0.047204704265119572,0.25166025568499767
wave-packets,16,5,2,10,0,1,-2,-0.027557316303403211,-0.08133593855519769,-0.072533062116570735,0.030262938899388348,-0.036266531058285367,0.015131469449694174
wave-packets,16,5,2,10,0,1,-1,0.018897157179211692,0.22694374823907623,0.040772955147630498,-0.079142419044692644,0.040772955147630498,-0.079142419044692644
wave-packets,16,5,2,10,0,2,0,0.04730148380981853,0.240078746485549,0,0,0.1712597817778439,-0.27664190899599428
wave-packets,16,5,2,10,0,2,1,0.039635819569296953,-0.11277053431100555,0.049900526557496015,-0.18835336051378793,-0.09980105311499203,0.37670672102757585
wave-packets,16,5,2,10,0,2,2,0.009250118319361714,0.04347486494074012,-0.13750792629599576,0.24239012814630234,0.13750792629599576,-0.24239012814630234
wave-packets,16,5,2,10,0,2,-2,-0.014854508647534572,-0.078714342506201657,0.024089851359741402,0.078175747965005121,0.024089851359741402,0.078175747965005121
wave-packets,16,5,2,10,0,2,-1,0.065038426080729933,-0.09208133554813383,-0.011552172424780741,0.033828412154826903,-0.023104344849561483,0.067656824309653807
wave-packets,16,5,2,10,0,-2,0,0.04730148380981853,-0.240078746485549,0,0,0.1712597817778439,0.27664190899599428
