grid,direction,epsilon,adjoint_slope,finite_difference_slope,relative_error
16,deterministic,0.001,0.028299641041946176,0.028299640785989233,9.0445296730448737e-09
16,deterministic,0.0001,0.028299641041946176,0.028299641039453149,8.8093930759838866e-11
16,deterministic,1.0000000000000001e-05,0.028299641041946176,0.028299641080531398,1.363452692329404e-09
16,taylor-green,0.001,0.044398770193962503,0.044398769419307094,1.7447677173925886e-08
16,taylor-green,0.0001,0.044398770193962503,0.044398770190912096,6.8704766725981557e-11
16,taylor-green,1.0000000000000001e-05,0.044398770193962503,0.044398770215892107,4.9392367985512298e-10
16,abc,0.001,-0.037885792349631651,-0.037885791885683417,1.2245968877088435e-08
16,abc,0.0001,-0.037885792349631651,-0.037885792344982683,1.2271008263714702e-10
16,abc,1.0000000000000001e-05,-0.037885792349631651,-0.037885792358860471,2.4359577887141621e-10
32,deterministic,0.001,0.0282996410419462,0.028299640785878211,9.0484536305405306e-09
32,deterministic,0.0001,0.0282996410419462,0.028299641041118484,2.9248299172472705e-11
32,deterministic,1.0000000000000001e-05,0.0282996410419462,0.028299641058326937,5.7883197213749275e-10
32,taylor-green,0.001,0.044398770193962475,0.044398769419362605,1.7446426262998313e-08
32,taylor-green,0.0001,0.044398770193962475,0.044398770185916092,1.8122986220524697e-10
32,taylor-green,1.0000000000000001e-05,0.044398770193962475,0.044398770193687646,6.1900086342802784e-12
32,abc,0.001,-0.037885792349631638,-0.037885791885738929,1.2244503287336307e-08
32,abc,0.0001,-0.037885792349631638,-0.03788579234387246,1.5201418525671768e-10
32,abc,1.0000000000000001e-05,-0.037885792349631638,-0.037885792320002665,7.8206026715350954e-10
