step,time,time_step,max_coefficient_difference,relative_state_l2_difference,max_diagnostic_scaled_difference,internal_energy,fftw_energy,internal_enstrophy,fftw_enstrophy,internal_critical_h_half,fftw_critical_h_half,internal_critical_l3,fftw_critical_l3,internal_vorticity_max,fftw_vorticity_max,internal_cutoff_fraction,fftw_cutoff_fraction,internal_divergence_defect,fftw_divergence_defect,internal_reality_defect,fftw_reality_defect,internal_cfl_bound,fftw_cfl_bound,viscous_stability_number
0,0,0,0,0,7.3451161256439795e-16,9.9999999999999929,9.9999999999999929,47.589867445258427,47.589867445258427,6.4108264101366483,6.4108264101366483,6.0460474995026345,6.0460474995026301,69.8670088161699,69.867008816169871,0,0,1.3947004136484323e-16,1.3947004136484323e-16,0,0,0,0,0
80,0.010000000000000007,0.000125,1.5218182408308987e-16,2.040907452843331e-16,7.3372164790686923e-16,9.9806602485203477,9.9806602485203477,49.199656333240881,49.199656333240881,6.4535975519983726,6.4535975519983726,6.0525570032851279,6.0525570032851235,72.776045541321025,72.776045541321025,2.1722074697237537e-21,2.1722075068999208e-21,5.8698285072979475e-16,6.1380782446198336e-16,1.1555459103366105e-16,0,0.26469402875581249,0.26469402875581238,0.0033075000000000005
160,0.020000000000000014,0.000125,2.7117099290396945e-16,3.8099876359419184e-16,5.8675704528818404e-16,9.9605727825884607,9.9605727825884607,51.315491830407218,51.315491830407204,6.5076154797075176,6.5076154797075176,6.0548291790098503,6.0548291790098467,75.878002384477512,75.878002384477483,1.6134500928384743e-16,1.6134500932641278e-16,9.7500718999889417e-16,9.7392017003998522e-16,1.2794688166302258e-16,0,0.28146960436183444,0.28146960436183455,0.0033075000000000005
240,0.030000000000000023,0.000125,3.7458781815585322e-16,5.656498712406915e-16,5.8699953915093062e-16,9.9395508096471996,9.9395508096472032,53.859371690701238,53.859371690701209,6.5699251164576822,6.5699251164576813,6.0523278841740611,6.0523278841740575,79.228716047607975,79.228716047607946,1.3319625405747672e-13,1.3319625405880453e-13,9.9923836736226049e-16,9.7392017003998522e-16,1.4262760966092848e-16,0,0.30007270839169381,0.3000727083916937,0.0033075000000000005
320,0.040000000000000029,0.000125,4.7772659378549095e-16,7.2762802274384195e-16,8.5408058978812434e-16,9.9174378751008732,9.9174378751008749,56.759371444467149,56.759371444467128,6.6376170496001192,6.6376170496001174,6.044741180273256,6.0447411802732516,83.193874706410057,83.193874706409986,1.4799895765931414e-11,1.4799895765935938e-11,1.1102243798770449e-15,9.9922481525378091e-16,1.8924592858334575e-16,0,0.32088172992915936,0.32088172992915898,0.0033075000000000005
400,0.050000000000000037,0.000125,5.0698833147679828e-16,8.8717212296430468e-16,8.8346821587131547e-16,9.8941034004700139,9.8941034004700086,59.959486552686677,59.959486552686656,6.7080961094414828,6.7080961094414828,6.0319889527038457,6.0319889527038404,87.44746526015534,87.447465260155269,5.132086602270327e-10,5.1320866022700447e-10,1.1102230246251565e-15,9.9929709104188924e-16,2.2165165745872345e-16,0,0.34425281663372442,0.34425281663372415,0.0033075000000000005
480,0.059784494315829391,0.00011821265393865202,6.7190030214796044e-16,1.0700755582003971e-15,1.2337955803933417e-15,9.8699812408359175,9.8699812408359175,63.348987608379353,63.348987608379275,6.7777246788097063,6.7777246788097054,6.0146415764772723,6.0146415764772687,93.244367228268644,93.244367228268572,8.1699881314485806e-09,8.1699881314481703e-09,1.1658167788096346e-15,1.1677974968377872e-15,2.7315324821268378e-16,0,0.34999999999999998,0.34999999999999948,0.0031279068232167324
560,0.068910972459024916,0.00011020072118444973,7.9310069968250013e-16,1.2210970718358675e-15,1.5475303091897332e-15,9.8462439900885581,9.8462439900885581,66.733275803845189,66.733275803845103,6.8419510492296727,6.8419510492296727,5.9943824802342123,5.9943824802342087,101.01217464947025,101.0121746494701,7.1780758312695919e-08,7.1780758312692928e-08,1.3325567187647329e-15,1.336885555457667e-15,3.1212129946778626e-16,0,0.34999999999999992,0.34999999999999981,0.0029159110825405397
640,0.077432825332085953,0.00010307853762759113,8.238957894072301e-16,1.3674721543009491e-15,1.1673885178978617e-15,9.8229290361740151,9.8229290361740258,70.09556255204366,70.095562552043631,6.900536356238721,6.9005363562387227,5.9722294478736249,5.9722294478736222,109.55880623798305,109.55880623798292,4.1526968857812351e-07,4.1526968857810906e-07,1.3325567187647329e-15,1.3348671786163112e-15,3.694101906212386e-16,0,0.34999999999999992,0.34999999999999942,0.0027274581056260612
720,0.08541875401357947,9.6776545778615983e-05,9.0409403666338671e-16,1.4981351895346409e-15,1.4489001225791538e-15,9.8000092464916708,9.8000092464916726,73.437612689208422,73.437612689208351,6.9538095994394489,6.9538095994394471,5.9489554068095618,5.9489554068095583,117.69635044192491,117.69635044192474,1.7157460734643455e-06,1.7157460734642972e-06,1.3888885600717775e-15,1.3394761424494089e-15,3.9000480740817329e-16,0,0.34999999999999998,0.34999999999999964,0.0025607074013021792
800,0.092930244733821402,9.1193583905055769e-05,9.5733094598387161e-16,1.6395763595333051e-15,2.4719477647821378e-15,9.7774492549036154,9.7774492549036172,76.762345298139522,76.762345298139437,7.0022565236723686,7.002256523672366,5.9251482226875627,5.9251482226875574,126.47468048824167,126.47468048824136,5.3539705541743859e-06,5.353970554174247e-06,1.387848167985848e-15,1.3911746838965743e-15,4.4352435610092512e-16,0,0.34999999999999998,0.34999999999999942,0.0024129822301277759
880,0.10000000000000001,6.4490859426835634e-05,1.0119514452444847e-15,1.7700794072216042e-15,1.6960175261922707e-15,9.755279407391054,9.7552794073910505,80.058345469763623,80.058345469763609,7.046255814314633,7.0462558143146277,5.9013155674981537,5.901315567498151,134.06328173607307,134.06328173607284,1.3301300883919061e-05,1.3301300883918768e-05,1.1133411481696098e-15,1.1103097574110882e-15,4.6804936209211631e-16,0,0.26167637045851289,0.26167637045851283,0.0017064281404340709
