backend,grid,cutoff,sampling_grid,dense_sampling_grid,step,observation,time,energy,enstrophy,palinstrophy,h_half,l3_sample,vorticity_sample,l3_dense,vorticity_dense,vorticity_fourier_bound,k_rms,stretching,viscous_destruction,net_enstrophy_rate,production_to_dissipation,cutoff_fraction,divergence_defect,reality_defect,nonlinear_energy_residual,peak_cutoff_fraction,minimum_time_step,maximum_time_step,maximum_cfl,maximum_viscous_number,bkm_sampled_integral,h_half_ratio,l3_ratio,vorticity_ratio,l3_dense_ratio,vorticity_dense_ratio,enstrophy_ratio,k_rms_ratio,cutoff_stopped
fftw,64,21,64,128,0,0,0,9.9999999999999929,47.589867445258427,356.41179938367952,6.4108264101366483,6.0460474995026301,69.867008816169871,6.0460474943073441,69.898144071751801,145.01898367729987,2.181510198125566,147.38994080613637,14.256471975347182,133.13346883078918,10.338458284841334,0,1.3947004136484323e-16,0,1.1657341758564144e-15,0,0,0,0,0,0,1,1,1,1,1,1,1,false
fftw,64,21,64,128,160,1,0.01,9.9806602485203033,49.199656333242679,386.13356670672391,6.4535975519984055,6.0525570032850293,72.77604554131284,6.0525569978860148,72.77604554131284,162.91840970913995,2.2202475452516306,203.02398338324176,15.445342668268957,187.57864071497281,13.144673300148655,2.1722080335512396e-21,5.2745864058605447e-16,0,4.1910919179599659e-14,2.1722080335512396e-21,6.2499999999993117e-05,6.2500000000000001e-05,0.13239702780618973,0.0016537500000000001,0.71321527178741351,1.0066717048825606,1.0010766544230647,1.041636772125125,1.0010766543902938,1.041172788030063,1.0338262948480779,1.0177571240140657,false
fftw,64,21,64,128,320,2,0.02,9.9605727825884021,51.315491830412832,429.77316197258438,6.5076154797076127,6.0548291790096362,75.878002384468829,6.0548291738609343,76.014430039657967,183.75071495604709,2.2697712526906044,251.46171855509246,17.190926478903375,234.27079207618908,14.627583851497771,1.6134499266176376e-16,5.9006103307942216e-16,0,7.6549877547904543e-14,1.6134499266176376e-16,6.2499999999993117e-05,6.2500000000000001e-05,0.14078988638645784,0.0016537500000000001,1.456485511416322,1.0150977523612126,1.0014524661785618,1.086034791959031,1.0014524661875148,1.0875028378668778,1.078286084520826,1.0404586944589467,false
fftw,64,21,64,128,480,3,0.029999999999999999,9.9395508096471072,53.859371690712493,488.07517024041374,6.5699251164578358,6.0523278841737485,79.228716047604919,6.0523278811157821,79.53671089326663,208.80048490143142,2.3278085677066414,292.81231645766439,19.52300680961655,273.28930964804783,14.998320664080918,1.3319624784393746e-13,9.6540439627007756e-16,0,1.0180745135812685e-13,1.3319624784393746e-13,6.2499999999989647e-05,6.2500000000000001e-05,0.15009777067468122,0.0016537500000000001,2.2320191035766905,1.024817191441906,1.0010387587381071,1.1339932450245156,1.0010387590925065,1.1378944598531924,1.1317403174670688,1.067062885934148,false
fftw,64,21,64,128,640,4,0.040000000000000001,9.9174378751006493,56.759371444485879,563.4395704210001,6.6376170496003697,6.0447411802728785,83.193874706456683,6.0447411788022762,83.255933164742089,239.60781404254314,2.3923187515519699,328.30320156351968,22.537582816840004,305.76561874667965,14.566921583010785,1.4799895542154689e-11,9.9980287526371173e-16,0,1.6803225477701744e-13,1.4799895542154689e-11,6.2499999999989647e-05,6.2500000000000001e-05,0.16050971626762206,0.0016537500000000001,3.0441320573469985,1.0353761941058215,0.99978393831178813,1.1907461921742164,0.99978393892765516,1.1911036304380023,1.1926776536996018,1.0966342277966605,false
fftw,64,21,64,128,800,5,0.050000000000000003,9.8941034004697652,59.959486552717429,660.99309778839938,6.708096109441799,6.0319889527034087,87.447465260230615,6.0319889520683478,87.569334338069439,278.03607228320328,2.4617317685514122,360.13820904991826,26.439723911535975,333.6984851383823,13.621103240521569,5.1320865967368454e-10,1.0638028178764803e-15,0,4.2743586448068527e-15,5.1320865967368454e-10,6.2499999999989647e-05,6.2500000000000001e-05,0.17220393430923403,0.0016537500000000001,3.8973387571804352,1.0463699498765269,0.99767475415957652,1.251627438213613,0.99767475491182744,1.2528134401991822,1.2599212767652168,1.1284530187695767,false
fftw,64,21,64,128,960,6,0.059999999999999998,9.8694348245294918,63.426413610546248,790.21483080464645,6.7792534803244697,6.0142072911571232,93.379929676596944,6.0142072895797529,93.421597774124066,326.12084506832855,2.5350640465763354,391.16091997759503,31.608593232185857,359.55232674540918,12.375144857104567,8.63429732794682e-09,1.5218182408308986e-15,0,7.3621664320455693e-14,8.63429732794682e-09,6.2499999999986178e-05,6.2500000000000001e-05,0.18542809420549103,0.0016537500000000001,4.8014757318645724,1.0574695127612992,0.99473371515057962,1.3365382497237421,0.99473371574444791,1.3365390313972425,1.3327713863356365,1.1620683913165091,false
fftw,64,21,64,128,1121,7,0.070000000000000007,9.8433279114697676,67.151778177115148,967.30169553322776,6.8495244616003568,5.9917183615823548,102.10396331237919,5.9917183678278887,102.10396331237919,385.79309914602464,2.6119074378327261,424.45188608971233,38.692067821329111,385.75981826838324,10.969997469500248,9.1099804618744881e-08,1.7915788694098197e-15,0,1.149080830487037e-14,9.1099804618744881e-08,8.3266726846886741e-16,6.2500000000000001e-05,0.20026591075119993,0.0016537500000000001,5.7788951968094544,1.0684308111618885,0.9910141066664222,1.4614045318732534,0.9910141085509816,1.460753567470511,1.4110520113206526,1.1972932512884757,false
fftw,64,21,64,128,1282,8,0.080000000000000002,9.8156772126876639,71.149002655375511,1217.9764162116471,6.9178478722022536,5.9649969238474636,112.12244297683412,5.9649969355312109,112.81780467638634,458.54222159281011,2.6923051020585467,462.86107239218404,48.719056648465887,414.14201574371816,9.5006164781057816,6.710447747431954e-07,1.9434973514725602e-15,0,7.8520523416614196e-14,6.710447747431954e-07,8.3266726846886741e-16,6.2500000000000001e-05,0.21662333970854056,0.0016537500000000001,6.8500272282555201,1.0790883155506932,0.9865944527128121,1.6047980996559386,0.9865944554930397,1.6140314764377246,1.4950451950137629,1.2341473830247847,false
fftw,64,21,64,128,1443,9,0.089999999999999997,9.7863690116851316,75.443851268405524,1578.7556843113425,6.9835591413475377,5.9346370083445645,123.09650138131698,5.9346368743264746,124.62180777260959,545.36650332750662,2.7765220789441507,508.37926538758779,63.150227372453699,445.22903801513411,8.0503156764459121,3.510957713555957e-06,2.3869895885243838e-15,0,4.9960036108132044e-15,3.510957713555957e-06,8.3266726846886741e-16,6.2500000000000001e-05,0.23444043933013128,0.0016537500000000001,8.0261219500462744,1.0893383621034096,0.98157300431939531,1.7618687770819208,0.98157298299661588,1.7829058185676987,1.5852923178486873,1.2727522802001296,false
