time=0.01 steps=160 H_ratio=1.006671705 vort_dense_ratio=1.041172788 cutoff_peak=2.172208034e-21
time=0.02 steps=320 H_ratio=1.015097752 vort_dense_ratio=1.087502838 cutoff_peak=1.613449927e-16
time=0.03 steps=480 H_ratio=1.024817191 vort_dense_ratio=1.13789446 cutoff_peak=1.331962478e-13
time=0.04 steps=640 H_ratio=1.035376194 vort_dense_ratio=1.19110363 cutoff_peak=1.479989554e-11
time=0.05 steps=800 H_ratio=1.04636995 vort_dense_ratio=1.25281344 cutoff_peak=5.132086597e-10
time=0.06 steps=960 H_ratio=1.057469513 vort_dense_ratio=1.336539031 cutoff_peak=8.634297328e-09
time=0.07 steps=1121 H_ratio=1.068430811 vort_dense_ratio=1.460753567 cutoff_peak=9.109980462e-08
time=0.08 steps=1282 H_ratio=1.079088316 vort_dense_ratio=1.614031476 cutoff_peak=6.710447747e-07
time=0.09 steps=1443 H_ratio=1.089338362 vort_dense_ratio=1.782905819 cutoff_peak=3.510957714e-06
time=0.1 steps=1604 H_ratio=1.099118173 vort_dense_ratio=1.930019689 cutoff_peak=1.330130089e-05
Requested continuation completed
