resolution,grid,cutoff,sampling_grid,snapshot,time,energy,enstrophy,palinstrophy,h_half,l3_sample,vorticity_sample,vorticity_fourier_upper_bound,k_rms,stretching,viscous_destruction,net_enstrophy_rate,production_to_dissipation,cutoff_fraction
coarse,16,5,32,0,0,9.9999999999999876,52.897204966938759,434.59940752353702,6.5757588534022382,6.1662675478249156,81.909784618053791,147.60751916865868,2.2999392376090899,270.10840806088305,17.38397630094148,252.72443175994158,15.537780504581942,0
coarse,16,5,32,1,0.0050000000000000001,9.9892872092431269,54.264789417371524,459.30227118988404,6.61207661771485,6.1732976055347883,83.057049751851949,157.27067701127578,2.3307291668915293,311.99663952234653,18.372090847595363,293.62454867475117,16.982097579992224,2.1664068262548024e-05
coarse,16,5,32,2,0.01,9.97828114489222,55.82643510889487,489.19915192490902,6.6525393236864563,6.1794772504145064,84.383572732355447,166.99904553723778,2.3653318508349823,349.8879313841644,19.56796607699636,330.31996530716805,17.880648914016895,8.484516214695643e-05
coarse,16,5,32,3,0.014999999999999999,9.966945120229024,57.560800060162087,524.11801893198685,6.6964342657752098,6.184592530603191,85.921160090562111,176.78279769580308,2.4031582886327585,383.67156165531958,20.964720757279476,362.70684089804013,18.300819080650012,0.00019298483244855361
coarse,16,5,32,4,0.02,9.9552467450071092,59.44638179586358,563.9564762491251,6.743042705149688,6.1884514709164344,87.754016417453158,186.65490833366314,2.4436370368914315,413.38364260112741,22.558259049965006,390.82538355116242,18.325157171283067,0.00035959596246377962
coarse,16,5,32,5,0.025000000000000001,9.9431578856819183,61.462231518349782,608.68855720188674,6.7916637187387403,6.1908900084942262,89.861602045032598,196.69742485482115,2.4862339602420604,439.20190663791823,24.34754228807547,414.85436434984274,18.038859998326121,0.00061002398648647618
coarse,16,5,32,6,0.029999999999999999,9.9306544887134578,63.588593070759202,658.3652865079614,6.8416353424026033,6.1917733653378226,91.970331259658479,206.88182431092952,2.5304669652399667,461.42098372630198,26.334611460318456,435.08637226598353,17.521465407666287,0.00098202527997502936
coarse,16,5,32,7,0.035000000000000003,9.9177162914679844,65.807373962808057,713.10542248333775,6.892351315288078,6.1909941640054642,93.994672247263466,217.2637401706825,2.575914477745699,480.4105631738575,28.52421689933351,451.88634627452399,16.842199905760872,0.0015248391137871252
coarse,16,5,32,8,0.040000000000000001,9.9043264615060789,68.102383176645532,773.07483402946264,6.9432722807278129,6.1884682784122145,95.835544533586017,227.83461436825132,2.6222173192137292,496.56436562269482,30.922993361178506,465.64137226151632,16.058095017608938,0.0022967712806096874
fine,32,10,32,0,0,9.9999999999999876,52.897204966938759,434.59940752353702,6.5757588534022382,6.1662675478249156,81.909784618053791,147.60751916865868,2.2999392376090899,270.10840806088277,17.38397630094148,252.7244317599413,15.537780504581926,0
fine,32,10,32,1,0.0050000000000000001,9.9892871625962503,54.265507248193067,459.35142064438628,6.6120862371064462,6.1735227556986745,82.876937675430298,158.40396180884395,2.3307445880728128,312.30236455581633,18.374056825775451,293.9283077300409,16.996919489097969,6.8918629223662797e-12
fine,32,10,32,2,0.01,9.9782807344057129,55.82974116359788,489.43465564344353,6.6525823081702171,6.1799500838834858,84.018627069924676,169.79429120452937,2.3654019362081273,350.66568687284843,19.57738622573774,331.08830064711071,17.911772431185931,4.7651239753032612e-10
fine,32,10,32,3,0.014999999999999999,9.9669435543716993,57.569664953280487,524.78410944566951,6.6965452199462527,6.1853337841773426,85.352377041566385,181.93029464708104,2.4033435245470463,385.20908836275186,20.99136437782678,364.2177239849251,18.350836154778438,5.7590028395040729e-09
fine,32,10,32,4,0.02,9.9552424805499395,59.465443494426161,565.48028239868881,6.7432712021966266,6.1894709564594805,86.872990291747826,195.03805340104245,2.4440293095080285,416.08598948068993,22.619211295947554,393.4667781847424,18.395247475106952,3.4074811963128171e-08
fine,32,10,32,5,0.025000000000000001,9.9431482400018059,61.498335118679442,611.77886981329345,6.7920764797110502,6.1921782490241712,88.619265039923803,209.4329671586346,2.4869652800987767,443.59251852805312,24.471154792531738,419.12136373552136,18.127159191663136,1.3783059179980735e-07
fine,32,10,32,6,0.029999999999999999,9.9306351440714398,63.651340204806587,664.1483625327395,6.8423165326533359,6.1932973022018549,90.494101983187036,225.2506317722862,2.5317176140823805,468.15496813826923,26.565934501309581,441.58903363695964,17.622379070278566,4.4600739031636137e-07
fine,32,10,32,7,0.035000000000000003,9.9176806829708681,65.909749915865447,723.31502948131958,6.8934014841286961,6.192698171743217,92.396915924763249,242.67575833288873,2.5779219907132154,490.30604991521272,28.932601179252785,461.37344873595993,16.946490461659742,1.2568186525900166e-06
fine,32,10,32,8,0.040000000000000001,9.9042650250442765,68.261542746508667,790.31316530748279,6.9448068430486751,6.190279359859753,94.328246188367117,261.83891412239296,2.6252878170896485,510.65183161927047,31.612526612299312,479.03930500697118,16.153464665509969,3.221490131613441e-06
