iteration,stage,resolution,initial_family,seed_bandwidth,real_degrees_of_freedom,objective,valid,steps,critical_log_growth,characteristic_log_growth,cutoff_penalty,profile_shape_penalty,profile_path_penalty,peak_h_half_ratio,final_h_half_ratio,peak_l3_ratio,final_l3_ratio,peak_vorticity_ratio,characteristic_ratio,profile_scale_windows,first_profile_drift,latest_profile_drift,minimum_profile_drift,latest_profile_window_time,profile_stationarity_improving,search_score,peak_cutoff_fraction,max_divergence_defect,max_reality_defect,max_energy_balance_residual,max_cfl_bound,max_viscous_number,constrained_gradient_norm,gradient_relative_error,gradient_slope,line_angle,trajectory_count,pair_search_score,preliminary_cross_resolution_ok,refinement_eligible,start_index,search_track,selection_score,growth_objective,horizon,late_window_start,late_rate_samples,late_rate_temperature,late_rate_minimum,late_rate_maximum,late_rate_soft_minimum
0,initial,coarse,wave-packets,3,684,0.042202945313470616,true,80,0.034630847955127275,0.091462611637167179,0.15368235968079352,0.027052285900211942,0.014117941026340267,1.0352374782213498,1.0352374782213498,1.0014873212977684,0.99989321683268306,1.1954293835183136,1.095775806663202,9,8.1137020190513098,8.322371715617253,7.4019900813093953,0.039500000000000007,false,-0.19641030604386436,0.0016612042108134777,7.1642189398370455e-16,1.0126982252310917e-16,6.6058269965196814e-15,0.29091475866243477,0.00075000000000000002,nan,nan,nan,0,1,nan,false,false,0,amplification,nan,endpoint,0.040000000000000001,0.5,5,0.10000000000000001,nan,nan,nan
0,fine-check,fine,wave-packets,3,684,0.048595105742478016,true,128,0.034764717219918674,0.092244236524702913,0.00015617390365241368,0.028471509279492782,0.015009802933398143,1.0353760739780928,1.0353760739780928,1.001452596619689,0.99978082837544213,1.1887560117799263,1.096632627117323,9,8.1690994724550876,8.0249170177872138,7.4131213806417335,0.039385242350680576,false,-0.18449467681991735,1.561860994313839e-06,7.216783253021517e-16,2.4963146989728578e-16,1.5931700403370996e-14,0.34999999999999998,0.0022091796890988552,nan,nan,nan,0,2,-0.20276015675953041,true,false,0,amplification,0.042202945313470616,endpoint,0.040000000000000001,0.5,5,0.10000000000000001,nan,nan,nan
1,gradient-check,coarse,wave-packets,3,684,0.042202945313470616,true,80,0.034630847955127275,0.091462611637167179,0.15368235968079352,0.027052285900211942,0.014117941026340267,1.0352374782213498,1.0352374782213498,1.0014873212977684,0.99989321683268306,1.1954293835183136,1.095775806663202,9,8.1137020190513098,8.322371715617253,7.4019900813093953,0.039500000000000007,false,-0.19641030604386436,0.0016612042108134777,7.1642189398370455e-16,1.0126982252310917e-16,6.6058269965196814e-15,0.29091475866243477,0.00075000000000000002,0.027997696930953355,8.487760898124727e-06,0.12520950710209794,0,4,nan,false,false,0,amplification,nan,endpoint,0.040000000000000001,0.5,5,0.10000000000000001,nan,nan,nan
1,line-trial,coarse,wave-packets,3,684,0.055555074206859026,true,80,0.045822882357238505,0.11523340299821695,0.18882046500280042,0.034830614341165141,0.020175583853470107,1.0468889720282104,1.0468889720282104,1.0027063591935745,1.0017903953793665,1.1984853215240021,1.1221353167563921,11,8.1475567141525094,6.6935477062971351,6.6935477062971351,0.038500000000000006,false,-0.14973649597675473,0.0020782408632199611,6.1314070582892184e-16,1.700029006457271e-16,8.3266726846886741e-15,0.29805628834745063,0.00075000000000000002,0.027997696930953355,8.487760898124727e-06,0.12520950710209794,0.12,5,nan,false,false,0,amplification,nan,endpoint,0.040000000000000001,0.5,5,0.10000000000000001,nan,nan,nan
1,accepted,coarse,wave-packets,3,684,0.055555074206859026,true,80,0.045822882357238505,0.11523340299821695,0.18882046500280042,0.034830614341165141,0.020175583853470107,1.0468889720282104,1.0468889720282104,1.0027063591935745,1.0017903953793665,1.1984853215240021,1.1221353167563921,11,8.1475567141525094,6.6935477062971351,6.6935477062971351,0.038500000000000006,false,-0.14973649597675473,0.0020782408632199611,6.1314070582892184e-16,1.700029006457271e-16,8.3266726846886741e-15,0.29805628834745063,0.00075000000000000002,0.027997696930953355,8.487760898124727e-06,0.12520950710209794,0.12,5,nan,false,false,0,amplification,nan,endpoint,0.040000000000000001,0.5,5,0.10000000000000001,nan,nan,nan
1,fine-check,fine,wave-packets,3,684,0.06342034760413516,true,128,0.045996545472903425,0.11622853035673414,0.00026193555695962944,0.036927854484734977,0.021663179909389343,1.0470707938162602,1.0470707938162602,1.0027789281868402,1.0017773165810331,1.178669132870618,1.1232525401076192,11,8.1570290807320109,6.6927909542021613,6.6927909542021613,0.038141666013159686,false,-0.14414798030273993,2.6196986507306888e-06,7.7765159457021116e-16,1.7910547349592614e-16,1.992850329202156e-14,0.34999999999999998,0.0022016990329206008,nan,nan,nan,0,6,-0.15538750317258068,true,false,0,amplification,0.055555074206859026,endpoint,0.040000000000000001,0.5,5,0.10000000000000001,nan,nan,nan
2,gradient-check,coarse,wave-packets,3,684,0.055555074206859026,true,80,0.045822882357238505,0.11523340299821695,0.18882046500280042,0.034830614341165141,0.020175583853470107,1.0468889720282104,1.0468889720282104,1.0027063591935745,1.0017903953793665,1.1984853215240021,1.1221353167563921,11,8.1475567141525094,6.6935477062971351,6.6935477062971351,0.038500000000000006,false,-0.14973649597675473,0.0020782408632199611,6.1314070582892184e-16,1.700029006457271e-16,8.3266726846886741e-15,0.29805628834745063,0.00075000000000000002,0.022160733632072462,7.2402574049419278e-06,0.09910581366515972,0,9,nan,false,false,0,amplification,nan,endpoint,0.040000000000000001,0.5,5,0.10000000000000001,nan,nan,nan
2,line-trial,coarse,wave-packets,3,684,0.065783755829348589,true,80,0.054383187213886984,0.13113756074692173,0.20675163741441654,0.033990784099230918,0.01972944743340297,1.0558891278586693,1.0558891278586693,1.0042809689344008,1.0037155146428862,1.1978669859090789,1.1401246069177309,13,9.214365066427133,6.9688735470004763,5.2548688173854146,0.040000000000000001,false,-0.15480720641481305,0.0022967712806096874,6.3871755140267298e-16,2.2436542339694379e-16,1.2490009027033011e-14,0.30270058863102406,0.00075000000000000002,0.022160733632072462,7.2402574049419278e-06,0.09910581366515972,0.12,10,nan,false,false,0,amplification,nan,endpoint,0.040000000000000001,0.5,5,0.10000000000000001,nan,nan,nan
2,accepted,coarse,wave-packets,3,684,0.065783755829348589,true,80,0.054383187213886984,0.13113756074692173,0.20675163741441654,0.033990784099230918,0.01972944743340297,1.0558891278586693,1.0558891278586693,1.0042809689344008,1.0037155146428862,1.1978669859090789,1.1401246069177309,13,9.214365066427133,6.9688735470004763,5.2548688173854146,0.040000000000000001,false,-0.15480720641481305,0.0022967712806096874,6.3871755140267298e-16,2.2436542339694379e-16,1.2490009027033011e-14,0.30270058863102406,0.00075000000000000002,0.022160733632072462,7.2402574049419278e-06,0.09910581366515972,0.12,10,nan,false,false,0,amplification,nan,endpoint,0.040000000000000001,0.5,5,0.10000000000000001,nan,nan,nan
2,fine-check,fine,wave-packets,3,684,0.074437467760509773,true,130,0.054604177073381693,0.13230783048333639,0.00032209713430951861,0.036261150052569184,0.021295797005867013,1.0561224944335503,1.0561224944335503,1.0043820238714454,1.0038940593882124,1.1516114543362646,1.1414596412637301,13,9.2121982464831014,6.7000010955902143,5.4904295757678856,0.039467420352152907,false,-0.13960632968172348,3.221490131613441e-06,6.664589960562512e-16,1.8881859426919739e-16,2.0816681711721685e-14,0.34999999999999998,0.0021936050215139676,nan,nan,nan,0,11,-0.16295334936909295,true,false,0,amplification,0.065783755829348589,endpoint,0.040000000000000001,0.5,5,0.10000000000000001,nan,nan,nan
2,start-selected,coarse,wave-packets,3,684,0.065783755829348589,true,80,0.054383187213886984,0.13113756074692173,0.20675163741441654,0.033990784099230918,0.01972944743340297,1.0558891278586693,1.0558891278586693,1.0042809689344008,1.0037155146428862,1.1978669859090789,1.1401246069177309,13,9.214365066427133,6.9688735470004763,5.2548688173854146,0.040000000000000001,false,-0.15480720641481305,0.0022967712806096874,6.3871755140267298e-16,2.2436542339694379e-16,1.2490009027033011e-14,0.30270058863102406,0.00075000000000000002,nan,nan,nan,0,11,-0.16295334936909295,true,false,0,amplification,0.065783755829348589,endpoint,0.040000000000000001,0.5,5,0.10000000000000001,nan,nan,nan
