family,source_grid,simulation_cutoff,seed_bandwidth,target_energy,kx,ky,kz,ux_real,ux_imag,uy_real,uy_imag,uz_real,uz_imag
vortex-tubes,16,5,3,10,0,0,1,-3.4609769467168574e-17,1.2286600231139036e-17,-9.6270341077383746e-19,1.2850021158348304e-17,0,0
vortex-tubes,16,5,3,10,0,0,2,-7.9478909017962946e-17,-0.13459448771220858,-0.033856884695665168,4.1752455309650045e-17,0,0
vortex-tubes,16,5,3,10,0,0,3,3.3574134829336079e-17,8.4483869857695323e-18,-3.2422919881404097e-18,-3.3710881067842271e-18,0,0
vortex-tubes,16,5,3,10,0,0,-3,3.3574134829336079e-17,-8.4483869857695323e-18,-3.2422919881404097e-18,3.3710881067842271e-18,0,0
vortex-tubes,16,5,3,10,0,0,-2,-7.9478909017962946e-17,0.13459448771220858,-0.033856884695665168,-4.1752455309650045e-17,0,0
vortex-tubes,16,5,3,10,0,0,-1,-3.4609769467168574e-17,-1.2286600231139036e-17,-9.6270341077383746e-19,-1.2850021158348304e-17,0,0
vortex-tubes,16,5,3,10,0,1,0,6.6148276432692684e-18,2.5345203725696708e-17,0,0,3.1991646309199377e-18,-1.8672198815415675e-18
vortex-tubes,16,5,3,10,0,1,1,3.8667178776907593e-17,-1.0592167631786595e-17,4.2049258018711287e-19,-2.2667284357408682e-17,-4.2049258018711287e-19,2.2667284357408682e-17
vortex-tubes,16,5,3,10,0,1,2,0.059076457032745187,0.28054368528411411,0.023229930340266138,0.0083677840568100251,-0.011614965170133069,-0.0041838920284050125
vortex-tubes,16,5,3,10,0,1,3,-1.4696915274539604e-17,2.1145034620567512e-17,-5.2437378901090201e-19,4.188438816959824e-18,1.7479126300363479e-19,-1.3961462723199417e-18
vortex-tubes,16,5,3,10,0,1,-3,-5.5023252963420614e-17,-6.7390386572506937e-18,3.0885585002081951e-18,-5.3920012941560601e-18,1.0295195000693989e-18,-1.7973337647186867e-18
vortex-tubes,16,5,3,10,0,1,-2,-0.059076457032745035,-0.28054368528411411,0.023229930340266138,0.0083677840568100667,0.011614965170133069,0.0041838920284050334
vortex-tubes,16,5,3,10,0,1,-1,4.1227043170982095e-17,1.8213365422187604e-17,1.1381681178173714e-18,-9.1096309232978554e-18,1.1381681178173714e-18,-9.1096309232978554e-18
vortex-tubes,16,5,3,10,0,2,0,-2.666505760775052e-17,-2.6926450250134757e-17,0,0,-4.8847772162955869e-18,4.2675796648471674e-18
vortex-tubes,16,5,3,10,0,2,1,-2.923269598982643e-17,9.8479265143611804e-18,-1.9136401705000955e-18,7.5922816398284626e-18,3.8272803410001911e-18,-1.5184563279656925e-17
vortex-tubes,16,5,3,10,0,2,2,-0.038836700412576031,-0.44389842645707422,-3.2407474595429704e-05,0.020305342699824293,3.2407474595429704e-05,-0.020305342699824293
vortex-tubes,16,5,3,10,0,2,3,1.5018456770558146e-17,-4.4989911997807896e-17,3.6042372830125627e-18,-1.4247617713498183e-18,-2.4028248553417091e-18,9.4984118089987907e-19
vortex-tubes,16,5,3,10,0,2,-3,4.185838113066106e-17,3.4317522397585453e-17,1.702851673248695e-18,6.9372071107909597e-18,1.1352344488324626e-18,4.6248047405273072e-18
vortex-tubes,16,5,3,10,0,2,-2,0.038836700412575906,0.44389842645707406,-3.2407474595438161e-05,0.020305342699824321,-3.2407474595438161e-05,0.020305342699824321
vortex-tubes,16,5,3,10,0,2,-1,-3.2811057547780693e-17,-1.9196363551639324e-17,-6.6581509153035105e-19,1.4040956485943163e-18,-1.3316301830607021e-18,2.8081912971886327e-18
vortex-tubes,16,5,3,10,0,3,0,3.5987656300698879e-17,2.2891788984698438e-17,0,0,7.292686561821195e-18,1.67494102330727e-19
vortex-tubes,16,5,3,10,0,3,1,5.2161783539193729e-18,-8.8236508638691821e-18,2.2483356057149951e-18,-4.4705050302523776e-19,-6.7450068171449854e-18,1.3411515090757136e-18
vortex-tubes,16,5,3,10,0,3,2,-0.044152426240276849,0.34649572365641979,-0.012252797637287545,-0.025326330550183556,0.018379196455931321,0.037989495825275325
vortex-tubes,16,5,3,10,0,3,3,-1.8026183966787282e-17,2.2063422818057277e-17,-2.2151265394324858e-18,-4.522467666452325e-18,2.215126539432485e-18,4.5224676664523258e-18
vortex-tubes,16,5,3,10,0,3,-3,3.0248308250263481e-18,-3.1445515197944046e-17,-5.4901865595211468e-18,-2.9490493194051335e-18,-5.4901865595211468e-18,-2.9490493194051335e-18
vortex-tubes,16,5,3,10,0,3,-2,0.044152426240276918,-0.34649572365641973,-0.012252797637287529,-0.025326330550183587,-0.018379196455931293,-0.037989495825275381
vortex-tubes,16,5,3,10,0,3,-1,3.6281457573479115e-18,1.3184232985636088e-17,1.1097305207828207e-18,1.2277778786552079e-18,3.3291915623484624e-18,3.6833336359656236e-18
vortex-tubes,16,5,3,10,0,-3,0,3.5987656300698879e-17,-2.2891788984698438e-17,0,0,7.292686561821195e-18,-1.67494102330727e-19
vortex-tubes,16,5,3,10,0,-3,1,3.6281457573479115e-18,-1.3184232985636088e-17,1.1097305207828207e-18,-1.2277778786552079e-18,3.3291915623484624e-18,-3.6833336359656236e-18
vortex-tubes,16,5,3,10,0,-3,2,0.044152426240276918,0.34649572365641973,-0.012252797637287529,0.025326330550183587,-0.018379196455931293,0.037989495825275381
vortex-tubes,16,5,3,10,0,-3,3,3.0248308250263481e-18,3.1445515197944046e-17,-5.4901865595211468e-18,2.9490493194051335e-18,-5.4901865595211468e-18,2.9490493194051335e-18
vortex-tubes,16,5,3,10,0,-3,-3,-1.8026183966787282e-17,-2.2063422818057277e-17,-2.2151265394324858e-18,4.522467666452325e-18,2.215126539432485e-18,-4.5224676664523258e-18
vortex-tubes,16,5,3,10,0,-3,-2,-0.044152426240276849,-0.34649572365641979,-0.012252797637287545,0.025326330550183556,0.018379196455931321,-0.037989495825275325
vortex-tubes,16,5,3,10,0,-3,-1,5.2161783539193729e-18,8.8236508638691821e-18,2.2483356057149951e-18,4.4705050302523776e-19,-6.7450068171449854e-18,-1.3411515090757136e-18
vortex-tubes,16,5,3,10,0,-2,0,-2.666505760775052e-17,2.6926450250134757e-17,0,0,-4.8847772162955869e-18,-4.2675796648471674e-18
vortex-tubes,16,5,3,10,0,-2,1,-3.2811057547780693e-17,1.9196363551639324e-17,-6.6581509153035105e-19,-1.4040956485943163e-18,-1.3316301830607021e-18,-2.8081912971886327e-18
vortex-tubes,16,5,3,10,0,-2,2,0.038836700412575906,-0.44389842645707406,-3.2407474595438161e-05,-0.020305342699824321,-3.2407474595438161e-05,-0.020305342699824321
vortex-tubes,16,5,3,10,0,-2,3,4.185838113066106e-17,-3.4317522397585453e-17,1.702851673248695e-18,-6.9372071107909597e-18,1.1352344488324626e-18,-4.6248047405273072e-18
vortex-tubes,16,5,3,10,0,-2,-3,1.5018456770558146e-17,4.4989911997807896e-17,3.6042372830125627e-18,1.4247617713498183e-18,-2.4028248553417091e-18,-9.4984118089987907e-19
vortex-tubes,16,5,3,10,0,-2,-2,-0.038836700412576031,0.44389842645707422,-3.2407474595429704e-05,-0.020305342699824293,3.2407474595429704e-05,0.020305342699824293
vortex-tubes,16,5,3,10,0,-2,-1,-2.923269598982643e-17,-9.8479265143611804e-18,-1.9136401705000955e-18,-7.5922816398284626e-18,3.8272803410001911e-18,1.5184563279656925e-17
vortex-tubes,16,5,3,10,0,-1,0,6.6148276432692684e-18,-2.5345203725696708e-17,0,0,3.1991646309199377e-18,1.8672198815415675e-18
vortex-tubes,16,5,3,10,0,-1,1,4.1227043170982095e-17,-1.8213365422187604e-17,1.1381681178173714e-18,9.1096309232978554e-18,1.1381681178173714e-18,9.1096309232978554e-18
vortex-tubes,16,5,3,10,0,-1,2,-0.059076457032745035,0.28054368528411411,0.023229930340266138,-0.0083677840568100667,0.011614965170133069,-0.0041838920284050334
vortex-tubes,16,5,3,10,0,-1,3,-5.5023252963420614e-17,6.7390386572506937e-18,3.0885585002081951e-18,5.3920012941560601e-18,1.0295195000693989e-18,1.7973337647186867e-18
vortex-tubes,16,5,3,10,0,-1,-3,-1.4696915274539604e-17,-2.1145034620567512e-17,-5.2437378901090201e-19,-4.188438816959824e-18,1.7479126300363479e-19,1.3961462723199417e-18
vortex-tubes,16,5,3,10,0,-1,-2,0.059076457032745187,-0.28054368528411411,0.023229930340266138,-0.0083677840568100251,-0.011614965170133069,0.0041838920284050125
vortex-tubes,16,5,3,10,0,-1,-1,3.8667178776907593e-17,1.0592167631786595e-17,4.2049258018711287e-19,2.2667284357408682e-17,-4.2049258018711287e-19,-2.2667284357408682e-17
vortex-tubes,16,5,3,10,1,0,0,0,0,-0.59788144747397565,9.8736282582169151e-17,2.0669283871004728e-17,-0.042209745451938487
vortex-tubes,16,5,3,10,1,0,1,1.4665364953095122e-17,-2.3338276478249612e-17,-2.1674710660423853e-17,6.3472920516954543e-18,-1.4665364953095122e-17,2.3338276478249612e-17
vortex-tubes,16,5,3,10,1,0,2,2.7011589685514955e-17,0.061342253098235884,0.072464371171417769,-1.5215238943616185e-16,-1.3505794842757478e-17,-0.030671126549117942
vortex-tubes,16,5,3,10,1,0,3,-2.7153860359803461e-17,-9.3022872889386572e-18,-1.081334678999894e-17,-5.258048721921411e-18,9.0512867866011527e-18,3.1007624296462189e-18
vortex-tubes,16,5,3,10,1,0,-3,-1.5748399756410086e-17,5.9438589427746498e-18,1.8043752116010955e-17,9.0988517368209726e-18,-5.2494665854700298e-18,1.9812863142582167e-18
vortex-tubes,16,5,3,10,1,0,-2,2.2965775426759134e-17,-0.088867754620742478,0.24537579200035259,3.717823080051738e-18,1.1482887713379567e-17,-0.044433877310371239
vortex-tubes,16,5,3,10,1,0,-1,3.1434324465073163e-18,-1.5236778055423041e-17,-3.0374814472170453e-17,-2.090496355110741e-17,3.1434324465073163e-18,-1.5236778055423041e-17
vortex-tubes,16,5,3,10,1,1,0,-0.47312779661598375,0.024224248746051662,0.47312779661598375,-0.024224248746051662,-0.0081871168428495327,0.032870792150740562
vortex-tubes,16,5,3,10,1,1,1,-4.2436595239328592e-17,3.4346202762261879e-17,3.2508483541411143e-17,-8.5257130417196568e-18,9.9281116979174421e-18,-2.5820489720542223e-17
vortex-tubes,16,5,3,10,1,1,2,0.069954220041306969,-0.15562105996927972,-0.089656210585747576,0.11769939089972532,0.0098509952722202997,0.018960834534777201
vortex-tubes,16,5,3,10,1,1,3,1.0844308554293594e-17,-2.013081987138854e-17,-3.1415817164770353e-18,7.8416829564576462e-18,-2.5675756126055206e-18,4.0963789716436324e-18
vortex-tubes,16,5,3,10,1,1,-3,4.2519148960979966e-17,1.4737653278482963e-17,-1.5623415323933873e-17,-2.3498793645520822e-17,8.9652445456820272e-18,-2.9203801223459524e-18
vortex-tubes,16,5,3,10,1,1,-2,0.17547102663431749,0.19948193361347163,-0.16633547506677143,-0.14900511341776468,0.0045677757837730244,0.025238410097853471
vortex-tubes,16,5,3,10,1,1,-1,-3.0572072507390591e-17,-2.4594112505371192e-17,3.090347424014173e-17,3.1866289727970909e-17,3.3140173275114246e-19,7.2721772225997204e-18
vortex-tubes,16,5,3,10,1,2,0,0.49666505196931027,-0.02732177344065782,-0.24833252598465513,0.01366088672032891,0.025059124823792623,-0.021760497893162173
vortex-tubes,16,5,3,10,1,2,1,3.759729378532689e-17,-3.8590356260865609e-17,-1.8070614838272005e-17,1.1331464979272776e-17,-1.4560641087828784e-18,1.5927426302320067e-17
vortex-tubes,16,5,3,10,1,2,2,-0.11438149046207799,0.27787047254811936,0.08497686398261374,-0.14028661576785428,-0.027786118751574732,0.0013513794937945987
vortex-tubes,16,5,3,10,1,2,3,-1.2069897052300602e-17,3.6744995682403486e-17,1.1953411300630217e-17,-2.1554140663865835e-18,-3.9456418496532768e-18,-1.0811389183210112e-17
vortex-tubes,16,5,3,10,1,2,-3,-4.214331281066789e-17,-3.3191976818654e-17,-3.2310434063854489e-19,1.8382377959438809e-17,-1.4263173830648321e-17,1.1909263667412054e-18
vortex-tubes,16,5,3,10,1,2,-2,-0.17441911870065241,-0.30874641265482416,0.044878397993405192,0.12621837379956871,-0.04233116135692102,-0.028154832527843347
vortex-tubes,16,5,3,10,1,2,-1,2.7138443507896716e-17,5.1452521256808596e-17,-1.3178610564311326e-17,-2.4609283926035679e-17,7.8122237927406782e-19,2.2339534047372397e-18
vortex-tubes,16,5,3,10,1,3,0,-0.28828010283174532,0.019387204115772581,0.096093367610581792,-0.0064624013719241941,-0.02094080242223257,0.01563068057340471
