iteration,stage,resolution,initial_family,seed_bandwidth,real_degrees_of_freedom,objective,valid,steps,critical_log_growth,characteristic_log_growth,cutoff_penalty,profile_shape_penalty,profile_path_penalty,peak_h_half_ratio,final_h_half_ratio,peak_l3_ratio,final_l3_ratio,peak_vorticity_ratio,characteristic_ratio,profile_scale_windows,first_profile_drift,latest_profile_drift,minimum_profile_drift,latest_profile_window_time,profile_stationarity_improving,search_score,peak_cutoff_fraction,max_divergence_defect,max_reality_defect,max_energy_balance_residual,max_cfl_bound,max_viscous_number,constrained_gradient_norm,gradient_relative_error,gradient_slope,line_angle,trajectory_count,pair_search_score,preliminary_cross_resolution_ok,refinement_eligible,start_index,search_track,selection_score,growth_objective,horizon,late_window_start,late_rate_samples,late_rate_temperature,late_rate_minimum,late_rate_maximum,late_rate_soft_minimum
0,initial,coarse,vortex-tubes,3,684,-0.0033254491583544015,true,80,-0.00019576672077138192,0.014181780155233834,0.13142373652170236,0.011292460706544404,0.0038350932659497808,1,0.9998042524402827,1,0.99251217774607636,1,1.0142828186697432,1,9.9705625800426816,9.9705625800426816,9.9705625800426816,0.034500000000000003,false,-0.24353942771057138,0.0014045092965106532,5.5667057408480492e-16,1.1714201148076235e-16,8.6042284408449632e-15,0.20591928554826486,0.00075000000000000002,nan,nan,nan,0,1,nan,false,false,0,amplification,nan,endpoint,0.040000000000000001,0.5,5,0.10000000000000001,nan,nan,nan
0,fine-check,fine,vortex-tubes,3,684,0.002096542815599733,true,92,-9.9652144920068961e-05,0.01467439376123879,0.00012410259165040647,0.014892035984657057,0.0053680281819265367,1,0.99990035282019007,1,0.99222876062379761,1.0200178678384675,1.0147825912738428,1,9.9651270233484475,9.9651270233484475,9.9651270233484475,0.033869340844854642,false,-0.23915733273721698,1.2411029269560356e-06,6.6627835938236643e-16,2.1615163105144701e-16,1.0380585280245214e-14,0.34999999999999998,0.0030000000000000001,nan,nan,nan,0,2,-0.24740338322729227,false,false,0,amplification,-0.0033254491583544015,endpoint,0.040000000000000001,0.5,5,0.10000000000000001,nan,nan,nan
1,gradient-check,coarse,vortex-tubes,3,684,-0.0033254491583544015,true,80,-0.00019576672077138192,0.014181780155233834,0.13142373652170236,0.011292460706544404,0.0038350932659497808,1,0.9998042524402827,1,0.99251217774607636,1,1.0142828186697432,1,9.9705625800426816,9.9705625800426816,9.9705625800426816,0.034500000000000003,false,-0.24353942771057138,0.0014045092965106532,5.5667057408480492e-16,1.1714201148076235e-16,8.6042284408449632e-15,0.20591928554826486,0.00075000000000000002,0.021362008789148939,1.045339228192121e-05,0.09553380757697004,0,4,nan,false,false,0,amplification,nan,endpoint,0.040000000000000001,0.5,5,0.10000000000000001,nan,nan,nan
1,line-trial,coarse,vortex-tubes,3,684,0.0068480914323679936,true,80,0.0064611844245626819,0.028029838554298959,0.095439219383488288,0.011575404614102921,0.0039694669705692713,1.0064821029050988,1.0064821029050988,1,0.99135918519303012,1.0108195059501306,1.0284263707197105,2,9.3933159216754127,9.22259236318029,9.22259236318029,0.033000000000000002,false,-0.22781645882217089,0.0010014195269564086,5.5788016545937291e-16,1.3738309013483032e-16,6.4948046940571658e-15,0.21395506977048834,0.00075000000000000002,0.021362008789148939,1.045339228192121e-05,0.09553380757697004,0.12,5,nan,false,false,0,amplification,nan,endpoint,0.040000000000000001,0.5,5,0.10000000000000001,nan,nan,nan
1,accepted,coarse,vortex-tubes,3,684,0.0068480914323679936,true,80,0.0064611844245626819,0.028029838554298959,0.095439219383488288,0.011575404614102921,0.0039694669705692713,1.0064821029050988,1.0064821029050988,1,0.99135918519303012,1.0108195059501306,1.0284263707197105,2,9.3933159216754127,9.22259236318029,9.22259236318029,0.033000000000000002,false,-0.22781645882217089,0.0010014195269564086,5.5788016545937291e-16,1.3738309013483032e-16,6.4948046940571658e-15,0.21395506977048834,0.00075000000000000002,0.021362008789148939,1.045339228192121e-05,0.09553380757697004,0.12,5,nan,false,false,0,amplification,nan,endpoint,0.040000000000000001,0.5,5,0.10000000000000001,nan,nan,nan
1,fine-check,fine,vortex-tubes,3,684,0.01086064045944931,true,94,0.0065770186255187778,0.028600144257369991,0.00015999511687414452,0.015296636261194633,0.0055976024586579694,1.0065986947077943,1.0065986947077943,1,0.99145697221283791,1.003383344364031,1.0290130554230352,2,9.3961681472490479,9.3227752627501577,9.3227752627501577,0.032493305254649267,false,-0.22648921016494583,1.6000791677548777e-06,8.8828683330073648e-16,2.4830795720281397e-16,2.325917236589703e-14,0.34999999999999998,0.00299166209052781,nan,nan,nan,0,6,-0.2311763895183489,false,false,0,amplification,0.0068480914323679936,endpoint,0.040000000000000001,0.5,5,0.10000000000000001,nan,nan,nan
2,gradient-check,coarse,vortex-tubes,3,684,0.0068480914323679936,true,80,0.0064611844245626819,0.028029838554298959,0.095439219383488288,0.011575404614102921,0.0039694669705692713,1.0064821029050988,1.0064821029050988,1,0.99135918519303012,1.0108195059501306,1.0284263707197105,2,9.3933159216754127,9.22259236318029,9.22259236318029,0.033000000000000002,false,-0.22781645882217089,0.0010014195269564086,5.5788016545937291e-16,1.3738309013483032e-16,6.4948046940571658e-15,0.21395506977048834,0.00075000000000000002,0.019963128322372414,7.3776656249435908e-06,0.08927782394475213,0,9,nan,false,false,0,amplification,nan,endpoint,0.040000000000000001,0.5,5,0.10000000000000001,nan,nan,nan
2,line-trial,coarse,vortex-tubes,3,684,0.017342017785653734,true,80,0.015779095790958635,0.048940619605066411,0.14445427365162153,0.019556727795760412,0.008385927716003657,1.0159042430935994,1.0159042430935994,1,0.99191261451108947,1.054812807871508,1.0501579900923521,4,9.5813382808764764,7.5105799682401297,7.5105799682401297,0.035000000000000003,false,-0.18952424845341379,0.0015540886112770927,4.4414341665036824e-16,1.1819056911566028e-16,7.4384942649885488e-15,0.23222619799338601,0.00075000000000000002,0.019963128322372414,7.3776656249435908e-06,0.08927782394475213,0.12,10,nan,false,false,0,amplification,nan,endpoint,0.040000000000000001,0.5,5,0.10000000000000001,nan,nan,nan
2,accepted,coarse,vortex-tubes,3,684,0.017342017785653734,true,80,0.015779095790958635,0.048940619605066411,0.14445427365162153,0.019556727795760412,0.008385927716003657,1.0159042430935994,1.0159042430935994,1,0.99191261451108947,1.054812807871508,1.0501579900923521,4,9.5813382808764764,7.5105799682401297,7.5105799682401297,0.035000000000000003,false,-0.18952424845341379,0.0015540886112770927,4.4414341665036824e-16,1.1819056911566028e-16,7.4384942649885488e-15,0.23222619799338601,0.00075000000000000002,0.019963128322372414,7.3776656249435908e-06,0.08927782394475213,0.12,10,nan,false,false,0,amplification,nan,endpoint,0.040000000000000001,0.5,5,0.10000000000000001,nan,nan,nan
2,fine-check,fine,vortex-tubes,3,684,0.023444055510675282,true,100,0.015974985530041279,0.04987818543120294,0.00031644585116096126,0.026016937198879226,0.012219010866426169,1.0161032678035249,1.0161032678035249,1,0.99233226671832542,1.0737443233713828,1.0511430440402085,4,9.5967358098983144,7.5221043062865158,7.5221043062865158,0.034540998071066774,false,-0.18477591727060746,3.1649592543111215e-06,6.2696275938004075e-16,1.7361107000897219e-16,7.6327832942979512e-15,0.34999999999999998,0.0028884723800094735,nan,nan,nan,0,11,-0.19391400032485057,true,false,0,amplification,0.017342017785653734,endpoint,0.040000000000000001,0.5,5,0.10000000000000001,nan,nan,nan
2,start-selected,coarse,vortex-tubes,3,684,0.017342017785653734,true,80,0.015779095790958635,0.048940619605066411,0.14445427365162153,0.019556727795760412,0.008385927716003657,1.0159042430935994,1.0159042430935994,1,0.99191261451108947,1.054812807871508,1.0501579900923521,4,9.5813382808764764,7.5105799682401297,7.5105799682401297,0.035000000000000003,false,-0.18952424845341379,0.0015540886112770927,4.4414341665036824e-16,1.1819056911566028e-16,7.4384942649885488e-15,0.23222619799338601,0.00075000000000000002,nan,nan,nan,0,11,-0.19391400032485057,true,false,0,amplification,0.017342017785653734,endpoint,0.040000000000000001,0.5,5,0.10000000000000001,nan,nan,nan
2,start-fine-validation,fine,vortex-tubes,3,684,0.023444055510675282,true,100,0.015974985530041279,0.04987818543120294,0.00031644585116096126,0.026016937198879226,0.012219010866426169,1.0161032678035249,1.0161032678035249,1,0.99233226671832542,1.0737443233713828,1.0511430440402085,4,9.5967358098983144,7.5221043062865158,7.5221043062865158,0.034540998071066774,false,-0.18477591727060746,3.1649592543111215e-06,6.2696275938004075e-16,1.7361107000897219e-16,7.6327832942979512e-15,0.34999999999999998,0.0028884723800094735,nan,nan,nan,0,11,-0.19391400032485057,true,false,0,amplification,0.017342017785653734,endpoint,0.040000000000000001,0.5,5,0.10000000000000001,nan,nan,nan
2,selected,coarse,vortex-tubes,3,684,0.017342017785653734,true,80,0.015779095790958635,0.048940619605066411,0.14445427365162153,0.019556727795760412,0.008385927716003657,1.0159042430935994,1.0159042430935994,1,0.99191261451108947,1.054812807871508,1.0501579900923521,4,9.5813382808764764,7.5105799682401297,7.5105799682401297,0.035000000000000003,false,-0.18952424845341379,0.0015540886112770927,4.4414341665036824e-16,1.1819056911566028e-16,7.4384942649885488e-15,0.23222619799338601,0.00075000000000000002,nan,nan,nan,0,11,-0.19391400032485057,true,false,0,amplification,0.017342017785653734,endpoint,0.040000000000000001,0.5,5,0.10000000000000001,nan,nan,nan
2,fine-validation,fine,vortex-tubes,3,684,0.023444055510675282,true,100,0.015974985530041279,0.04987818543120294,0.00031644585116096126,0.026016937198879226,0.012219010866426169,1.0161032678035249,1.0161032678035249,1,0.99233226671832542,1.0737443233713828,1.0511430440402085,4,9.5967358098983144,7.5221043062865158,7.5221043062865158,0.034540998071066774,false,-0.18477591727060746,3.1649592543111215e-06,6.2696275938004075e-16,1.7361107000897219e-16,7.6327832942979512e-15,0.34999999999999998,0.0028884723800094735,nan,nan,nan,0,11,-0.19391400032485057,true,false,0,amplification,0.017342017785653734,endpoint,0.040000000000000001,0.5,5,0.10000000000000001,nan,nan,nan
