family,source_grid,simulation_cutoff,seed_bandwidth,target_energy,kx,ky,kz,ux_real,ux_imag,uy_real,uy_imag,uz_real,uz_imag
wave-packets,16,5,3,10,0,0,1,-0.07109598409894799,0.24919665849485126,0.061765624419640244,-0.17486506580956682,0,0
wave-packets,16,5,3,10,0,0,2,0.0507463401342724,-0.1766275993335705,-0.054286852954357465,0.15843335364074512,0,0
wave-packets,16,5,3,10,0,0,3,-0.00026675396493784463,0.024491652104929196,0.015960225322413913,-0.054813200159654268,0,0
wave-packets,16,5,3,10,0,0,-3,-0.00026675396493784463,-0.024491652104929196,0.015960225322413913,0.054813200159654268,0,0
wave-packets,16,5,3,10,0,0,-2,0.0507463401342724,0.1766275993335705,-0.054286852954357465,-0.15843335364074512,0,0
wave-packets,16,5,3,10,0,0,-1,-0.07109598409894799,-0.24919665849485126,0.061765624419640244,0.17486506580956682,0,0
wave-packets,16,5,3,10,0,1,0,-0.0039912885504815414,-0.28659018385408047,0,0,-0.069461494172048124,0.32407768165309941
wave-packets,16,5,3,10,0,1,1,0.021504748826851123,0.019659384751102873,-0.18302347572691993,0.62164058658906929,0.18302347572691993,-0.62164058658906929
wave-packets,16,5,3,10,0,1,2,-0.0068881280219470313,0.02956828152033153,0.13963388777692345,-0.46075352958325611,-0.069816943888461727,0.23037676479162805
wave-packets,16,5,3,10,0,1,3,-0.022952235209855881,0.024466146686340715,-0.041507295899257356,0.15079660317002044,0.013835765299752452,-0.050265534390006812
wave-packets,16,5,3,10,0,1,-3,-0.0040908396001674233,0.0098046977657810439,-0.0021418323558839124,-0.0050946566867356088,-0.00071394411862797094,-0.0016982188955785365
wave-packets,16,5,3,10,0,1,-2,-0.021006222708316834,-0.1063890580481294,0.0099518301612423459,0.024266513197725041,0.004975915080621173,0.012133256598862521
wave-packets,16,5,3,10,0,1,-1,0.036483648719399901,0.22462080557254621,-0.0040670989470950793,-0.063434095547501887,-0.0040670989470950793,-0.063434095547501887
wave-packets,16,5,3,10,0,2,0,-0.0063562720220592403,0.27193501895900302,0,0,0.054552436489820402,-0.21548538163428926
wave-packets,16,5,3,10,0,2,1,0.02350601408133797,-0.143811710004213,0.069960113365159574,-0.23623144498673385,-0.13992022673031915,0.47246288997346769
wave-packets,16,5,3,10,0,2,2,-0.04076445806439339,0.089572668404858627,-0.053262723893052692,0.18427414183207569,0.053262723893052692,-0.18427414183207569
wave-packets,16,5,3,10,0,2,3,0.047594037742457462,-0.076766569705905993,0.019748055984066877,-0.067291586664992506,-0.013165370656044582,0.044861057776661668
wave-packets,16,5,3,10,0,2,-3,0.0059995799100303737,0.00011158549127102295,0.00015447386117914004,0.00061444121158263712,0.00010298257411942667,0.00040962747438842446
wave-packets,16,5,3,10,0,2,-2,0.000753529814858481,0.045109054933194365,-0.0018860802661800689,-0.0072009616639505556,-0.0018860802661800689,-0.0072009616639505556
wave-packets,16,5,3,10,0,2,-1,-0.0070845119949636401,-0.1427760671912631,-0.0018686762304008448,0.02701096288115476,-0.0037373524608016895,0.054021925762309519
wave-packets,16,5,3,10,0,3,0,0.016793049105564523,-0.1430379343591219,1.6871092083470118e-49,0,-0.010471828391345054,0.031060806210459022
wave-packets,16,5,3,10,0,3,1,-0.042985292751489983,0.1513682975180641,-0.0086657969512144353,0.02726105009605255,0.025997390853643297,-0.081783150288157677
wave-packets,16,5,3,10,0,3,2,0.057524288285454139,-0.13154247078052686,0.0036107304331089891,-0.01350899537708297,-0.0054160956496634863,0.020263493065624451
wave-packets,16,5,3,10,0,3,3,-0.050942531080084015,0.092401715988552166,-0.0055408208020500298,0.0077383756032347491,0.0055408208020500298,-0.0077383756032347456
wave-packets,16,5,3,10,0,3,-3,-0.0031545024066761233,-5.530687862622187e-05,3.3409962012001443e-05,-0.0013971844979770119,3.3409962012001443e-05,-0.0013971844979770119
wave-packets,16,5,3,10,0,3,-2,0.0031879583838111177,-0.011652080025456722,8.0950183181602766e-06,0.0017531335559711828,1.2142527477240431e-05,0.0026297003339567746
wave-packets,16,5,3,10,0,3,-1,-0.0042970624658877962,0.061001821087141181,0.00074712775706785631,-0.0035067512872765175,0.0022413832712035696,-0.010520253861829556
wave-packets,16,5,3,10,0,-3,0,0.016793049105564523,0.1430379343591219,1.6871092083470118e-49,0,-0.010471828391345054,-0.031060806210459022
wave-packets,16,5,3,10,0,-3,1,-0.0042970624658877962,-0.061001821087141181,0.00074712775706785631,0.0035067512872765175,0.0022413832712035696,0.010520253861829556
wave-packets,16,5,3,10,0,-3,2,0.0031879583838111177,0.011652080025456722,8.0950183181602766e-06,-0.0017531335559711828,1.2142527477240431e-05,-0.0026297003339567746
wave-packets,16,5,3,10,0,-3,3,-0.0031545024066761233,5.530687862622187e-05,3.3409962012001443e-05,0.0013971844979770119,3.3409962012001443e-05,0.0013971844979770119
wave-packets,16,5,3,10,0,-3,-3,-0.050942531080084015,-0.092401715988552166,-0.0055408208020500298,-0.0077383756032347491,0.0055408208020500298,0.0077383756032347456
