resolution,snapshot,time,critical_log_rate,soft_minimum_weight
coarse,0,0.02,1.415650018920326,0.29564263848365818
coarse,1,0.025000000000000001,1.4547974491866678,0.1998719916460058
coarse,2,0.029999999999999999,1.4744878564646278,0.16414875297962436
coarse,3,0.035000000000000003,1.4770699273075092,0.15996456767132436
coarse,4,0.040000000000000001,1.4650629953914422,0.18037204921938729
fine,0,0.02,1.4199905214360702,0.30883495395424398
fine,1,0.025000000000000001,1.4612901057943681,0.2043452899928748
fine,2,0.029999999999999999,1.4835806675853964,0.16351513307838952
fine,3,0.035000000000000003,1.4891559258891036,0.15464821549472674
fine,4,0.040000000000000001,1.4804848665411861,0.1686564074797649
