resolution,snapshot,time,critical_log_rate,soft_minimum_weight
coarse,0,0.02,0.75272556381143141,0.39592699751670535
coarse,1,0.025000000000000001,0.80162847884997013,0.24279092794359655
coarse,2,0.029999999999999999,0.84298156647974054,0.16056033932521677
coarse,3,0.035000000000000003,0.87717894246787464,0.11405674161033154
coarse,4,0.040000000000000001,0.9046435445075427,0.086664993604150004
fine,0,0.02,0.75511015855168828,0.40508633140649192
fine,1,0.025000000000000001,0.80535363249193759,0.2450997986309266
fine,2,0.029999999999999999,0.8486178266700527,0.15901897379954424
fine,3,0.035000000000000003,0.88543980337201778,0.11003557913247441
fine,4,0.040000000000000001,0.91637284572435496,0.080759317030562758
