family,source_grid,simulation_cutoff,seed_bandwidth,target_energy,kx,ky,kz,ux_real,ux_imag,uy_real,uy_imag,uz_real,uz_imag
orthogonal-bundle,16,5,3,10,0,0,1,0.49563283583644901,-0.018237587153949922,-0.01811394683889964,-0.021940730906089109,0,0
orthogonal-bundle,16,5,3,10,0,0,2,0.72288262965894268,-0.039579964955721671,-0.020554718358212175,0.0040458122036694105,0,0
orthogonal-bundle,16,5,3,10,0,0,3,0.30764477118223632,0.0044097266911952851,0.0030963483222906474,0.011657037496558357,0,0
orthogonal-bundle,16,5,3,10,0,0,-3,0.30764477118223632,-0.0044097266911952851,0.0030963483222906474,-0.011657037496558357,0,0
orthogonal-bundle,16,5,3,10,0,0,-2,0.72288262965894268,0.039579964955721671,-0.020554718358212175,-0.0040458122036694105,0,0
orthogonal-bundle,16,5,3,10,0,0,-1,0.49563283583644901,0.018237587153949922,-0.01811394683889964,0.021940730906089109,0,0
orthogonal-bundle,16,5,3,10,0,1,0,0.013221644101434647,-0.0083431861272859949,0,0,-0.5146669247419654,0.050642540300596825
orthogonal-bundle,16,5,3,10,0,1,1,-0.014274033495699539,-0.010050879771425389,0.32904341429676481,-0.016679336496267762,-0.32904341429676481,0.016679336496267762
orthogonal-bundle,16,5,3,10,0,1,2,-0.057310695176929868,0.11569908951784,0.27874696232599094,-0.015094493243652009,-0.13937348116299547,0.0075472466218260044
orthogonal-bundle,16,5,3,10,0,1,3,-0.035432513808173784,-0.0077629786319689037,0.088434996929839124,-0.0059846110929025354,-0.029478332309946363,0.0019948703643008453
orthogonal-bundle,16,5,3,10,0,1,-3,-0.031334881443547014,-0.060832185026442269,-0.10336530023828115,0.0038186984970989086,-0.034455100079427051,0.0012728994990329695
orthogonal-bundle,16,5,3,10,0,1,-2,-0.11191044507438097,-0.21564123147888331,-0.27140415658057471,-0.0010205080588709572,-0.13570207829028735,-0.0005102540294354786
orthogonal-bundle,16,5,3,10,0,1,-1,-0.016925958682748803,-0.0025596400551682391,-0.34334210962828254,0.0051426437833741031,-0.34334210962828254,0.0051426437833741031
orthogonal-bundle,16,5,3,10,0,2,0,-0.01704652555035505,0.0097446562283157265,0,0,0.71671828078887012,-0.049542577699237811
orthogonal-bundle,16,5,3,10,0,2,1,-0.040795935532432319,0.022894011938092384,-0.22777292534244095,0.023794549553990386,0.4555458506848819,-0.047589099107980773
