resolution,snapshot,time,critical_log_rate,soft_minimum_weight
coarse,0,0.02,0.39583668342015965,0.45673596264153926
coarse,1,0.025000000000000001,0.4526353724629405,0.25881630713899795
coarse,2,0.029999999999999999,0.50857256112185822,0.14793110884776017
coarse,3,0.035000000000000003,0.56309037387321526,0.085761360147223228
coarse,4,0.040000000000000001,0.61554570138580655,0.05075526122447914
fine,0,0.02,0.39949480010072558,0.46749589542780567
fine,1,0.025000000000000001,0.45830067024768073,0.25964929819211918
fine,2,0.029999999999999999,0.51673168173040551,0.14475197383990601
fine,3,0.035000000000000003,0.57420080561447528,0.081477793743805885
fine,4,0.040000000000000001,0.63002008598066672,0.046625038796363316
