resolution,grid,cutoff,sampling_grid,snapshot,time,energy,enstrophy,palinstrophy,h_half,l3_sample,vorticity_sample,vorticity_fourier_upper_bound,k_rms,stretching,viscous_destruction,net_enstrophy_rate,production_to_dissipation,cutoff_fraction
coarse,16,5,32,0,0,9.9999999999999947,44.51714758400125,294.66129227534725,6.3280481726694529,6.2715464000135679,76.750301858690491,119.81982280637874,2.109908708546445,174.58469564492609,11.786451691013891,162.79824395391219,14.812320130071988,0
coarse,16,5,32,1,0.0050000000000000001,9.9910090824765376,45.421885822580762,311.14237215433013,6.3525214855818168,6.2774727289451038,78.502181721573436,128.02004975412967,2.1321998268466578,211.06928254816239,12.445694886173206,198.62358766198918,16.959220395371741,1.8292841463514017e-05
coarse,16,5,32,2,0.01,9.9818197882251152,46.498448429731127,331.8750029048694,6.3810718120722845,6.2822714209600452,80.205643582537419,136.37508861430189,2.1583127104367814,244.76549462844258,13.275000116194777,231.49049451224781,18.438078530021407,7.5894137388447748e-05
coarse,16,5,32,3,0.014999999999999999,9.9723992658551843,47.731545405090685,356.73902668625783,6.4131661972340739,6.2857842282042524,81.895762547981519,144.90780247996631,2.1877763276933124,275.48232042089006,14.269561067450313,261.21275935343976,19.305591750070086,0.00017995339903534172
coarse,16,5,32,4,0.02,9.9627178021988421,49.105148623785809,385.63641163077142,6.4482493909544276,6.2878868558881411,83.610270144495644,153.6309836025317,2.2201105492164914,303.10650086084553,15.425456465230857,287.68104439561466,19.649758925711588,0.00034301154949091268
coarse,16,5,32,5,0.025000000000000001,9.9527489319467239,50.602868714145679,418.48943887423138,6.4857600742572714,6.2884903963900944,85.210612899572155,162.54859237574667,2.254841631444485,327.59881610846321,16.739577554969255,310.85923855349398,19.57031562073162,0.00058465135370843878
coarse,16,5,32,6,0.029999999999999999,9.9424694744375337,52.208302847729747,455.23662561108551,6.5251455824268882,6.2875387164022873,86.68997064881593,171.65650574139036,2.2915147376081126,348.98574667403295,18.209465024443421,330.77628164958952,19.16507410874361,0.00093265284640163808
coarse,16,5,32,7,0.035000000000000003,9.9318595058205634,53.905329046874762,495.82510201932382,6.5658746156415182,6.2850025188857588,88.020854953568914,180.87421343169581,2.3297030430420733,367.34601453393611,19.833004080772952,347.51301045316313,18.521955274040337,0.0014231324865846479
coarse,16,5,32,8,0.040000000000000001,9.9209022796234656,55.678324857471992,540.19885211843507,6.6074474871446824,6.2808725438656152,89.1593439517859,190.23535925303972,2.3690132750577617,382.79343274779791,21.607954084737404,361.18547866306051,17.715394583246585,0.0020993522800239052
fine,32,10,32,0,0,9.9999999999999947,44.51714758400125,294.66129227534725,6.3280481726694529,6.2715464000135679,76.750301858690491,119.81982280637874,2.109908708546445,174.58469564492594,11.786451691013891,162.79824395391205,14.812320130071976,0
fine,32,10,32,1,0.0050000000000000001,9.9910090703538454,45.422076619921086,311.15548629361052,6.3525241255119287,6.2775274687896108,78.449294845006236,128.53729748142084,2.1322043063517886,211.15437582581112,12.446219451744421,198.7081563740667,16.965342499743279,1.5139908244880588e-12
fine,32,10,32,2,0.01,9.9818196726989274,46.499428313349256,331.94883889690698,6.3810844889622125,6.2823677677326497,80.124008138317436,137.76177510043732,2.1583354643750434,245.01805953194537,13.27795355587628,231.74010597606909,18.452998686948288,1.2280671240638709e-10
fine,32,10,32,3,0.014999999999999999,9.972398785465435,47.73446934764965,356.98082653364537,6.4132013970398658,6.2859097079474644,81.838365199258249,147.67986362632806,2.1878433888459594,276.04894656627334,14.279233061345815,261.76971350492755,19.332197001080097,1.7413303635793637e-09
fine,32,10,32,4,0.02,9.9627163828021139,49.112041989024334,386.25772191168693,6.4483267205984207,6.288023660572339,83.531555489723914,158.47698702575101,2.2202665311181704,304.20221805523397,15.450308876467478,288.75190917876648,19.689070327815092,1.2048327746371558e-08
fine,32,10,32,5,0.025000000000000001,9.9527454796341779,50.616962466914167,419.86459254600356,6.4859077590889953,6.2886101257053557,85.106944466945421,170.3182870650426,2.2551560064272178,329.51564419772149,16.794583701840143,312.72106049588132,19.620352016324002,5.6244050615937835e-08
fine,32,10,32,6,0.029999999999999999,9.9424620976091767,52.234410411161186,457.9796724048345,6.525401622741791,6.2876000570154078,86.598645052451531,183.28456334252925,2.2920884698705764,352.10635471182826,18.319186896193379,333.78716781563486,19.220632264251527,2.044563073008816e-07
fine,32,10,32,7,0.035000000000000003,9.9318451557809766,53.950288391178226,500.88955236273904,6.5662878797700577,6.2849530841753918,88.197665047779594,197.40552829735145,2.3306760601567844,372.16325045757577,20.035582094509561,352.12766836306622,18.575115447210358,6.2385480051584541e-07
fine,32,10,32,8,0.040000000000000001,9.9208762942188393,55.751529487573478,549.00336211243643,6.6080790758038939,6.280654973805909,89.80133762242491,212.78488764245182,2.3705732312007073,389.9350369053501,21.960134484497459,367.97490242085263,17.756495853002217,1.6688117194565718e-06
