resolution,snapshot,time,critical_log_rate,soft_minimum_weight
coarse,0,0.02,1.1286856046928633,0.40910520216779078
coarse,1,0.025000000000000001,1.1884131114788101,0.22513433604324326
coarse,2,0.029999999999999999,1.230424144400827,0.14790748011121171
coarse,3,0.035000000000000003,1.2559233650774759,0.11461683974234423
coarse,4,0.040000000000000001,1.2663809383620928,0.10323614193541007
fine,0,0.02,1.1303687071899948,0.41567786121147221
fine,1,0.025000000000000001,1.1910884752399722,0.22649274368356337
fine,2,0.029999999999999999,1.2343872459574921,0.14689605098999015
fine,3,0.035000000000000003,1.2614973503171196,0.11201403286917151
fine,4,0.040000000000000001,1.2739293180203048,0.098919311245802777
