resolution,grid,cutoff,sampling_grid,snapshot,time,energy,enstrophy,palinstrophy,h_half,l3_sample,vorticity_sample,vorticity_fourier_upper_bound,k_rms,stretching,viscous_destruction,net_enstrophy_rate,production_to_dissipation,cutoff_fraction
coarse,16,5,32,0,0,9.9999999999999893,52.810902543333583,430.24552424521698,6.5766066580505997,6.1859690567621088,82.408614244446312,147.17676756374161,2.2980622825183317,249.74653979484242,17.209820969808678,232.53671882503374,14.511861583741906,0
coarse,16,5,32,1,0.0050000000000000001,9.9893132390994559,54.097415566723491,453.61736578820427,6.6106069800760014,6.1919582153539086,83.329403152279312,157.15264489751277,2.3271289184385306,299.52565316619609,18.144694631528171,281.38095853466791,16.507616096538829,2.6313506022888549e-05
coarse,16,5,32,2,0.01,9.9783454560342388,55.617540237913452,483.17670589831181,6.6497065409066316,6.1973080532279479,84.553768628575014,167.26877595227029,2.3608947213353999,345.25392662866585,19.327068235932472,325.92685839273338,17.863750591348207,0.00010282818015609158
coarse,16,5,32,3,0.014999999999999999,9.9670521258794889,57.349093406209498,518.7603765317067,6.6931531594708575,6.2018099548117425,86.118504117184031,177.51222357507007,2.3987219742071173,386.67428791817457,20.750415061268267,365.92387285690631,18.634532696163863,0.00023376039527692153
coarse,16,5,32,4,0.02,9.9553932588124763,59.269044472057239,560.28450058680846,6.7401639906610882,6.2052617837347501,88.05188390327568,187.87938880016728,2.4399714949445923,423.69722558139858,22.41138002347234,401.28584555792622,18.905450049824839,0.00043602919061316663
coarse,16,5,32,5,0.025000000000000001,9.9433334860798297,61.354352298279913,607.75125679885264,6.789955099058596,6.2074758326326513,90.419200081203442,198.44428295624201,2.4840291342432574,456.40295672741678,24.310050271954108,432.0929064554627,18.774249811155567,0.0007412823206802352
coarse,16,5,32,6,0.029999999999999999,9.930841981921656,63.582746579303489,661.24744745509281,6.8417690012713654,6.20828225046351,92.842583597753375,209.21317685513236,2.5303267474073872,485.01686340234079,26.449897898203712,458.5669655041371,18.337192274578861,0.0011963321996869797
coarse,16,5,32,7,0.035000000000000003,9.9178922457276322,65.933324281374311,720.92998298094085,6.8948975490625051,6.2075289750706864,95.20148482388305,220.17696356294417,2.5783554800553978,509.86070080923781,28.837199319237634,481.02350149000017,17.680659455341203,0.0018615499946774091
coarse,16,5,32,8,0.040000000000000001,9.9044617917022464,68.386867417403181,786.99627414388851,6.9486982548434097,6.2050792793110405,97.361108585542198,231.34701503685639,2.6276705568133947,531.29042498960848,31.479850965755542,499.81057402385295,16.877158204070206,0.0028072405651599639
fine,32,10,32,0,0,9.9999999999999893,52.810902543333583,430.24552424521698,6.5766066580505997,6.1859690567621088,82.408614244446312,147.17676756374161,2.2980622825183317,249.74653979484202,17.209820969808678,232.53671882503335,14.511861583741883,0
fine,32,10,32,1,0.0050000000000000001,9.9893131916199902,54.098145041584857,453.66673255732991,6.6106168442321529,6.192162035290008,83.16125177199946,158.29240257127137,2.3271446139636778,299.83579376273792,18.146669302293198,281.6891244604447,16.522910555539116,6.1148985640914912e-12
fine,32,10,32,2,0.01,9.978345038605914,55.620907657515929,483.41440817025926,6.6497506456419044,6.1976983027101626,84.24828855024198,170.08583939599484,2.3609662410033914,346.05083999018245,19.33657632681037,326.71426366337209,17.896179455014448,4.2318288770083275e-10
fine,32,10,32,3,0.014999999999999999,9.9670505252529527,57.358213531786625,519.44200440258066,6.6932678092033182,6.2023681664026622,85.701840990717471,182.73172405236866,2.3989128915184241,388.27781425647021,20.777680176103228,367.50013408036699,18.687255312700177,5.2625526839379659e-09
fine,32,10,32,4,0.02,9.9553888621699347,59.288905506202418,561.86972802635637,6.7404023446299632,6.205962925347249,87.518606505191087,196.45237596861898,2.4403808163372696,426.56420284863657,22.474789121054254,404.08941372758233,18.979675428813419,3.2730905519028666e-08
fine,32,10,32,5,0.025000000000000001,9.9433234429049939,61.392447346905861,611.0189455113964,6.7903897218407003,6.2082833588594459,89.716721049731149,211.60203075080912,2.4848014389535775,461.12842589649904,24.440757820455858,436.68766807604317,18.867190178143922,1.4072366995102527e-07
fine,32,10,32,6,0.029999999999999999,9.9308216392086663,63.649721015402136,667.45676338016972,6.8424921435243169,6.2091481738589431,92.209650866079699,228.37603538560589,2.5316616405200616,492.35176173746311,26.698270535206788,465.6534912022563,18.441335407407866,4.8320057146332124e-07
fine,32,10,32,7,0.035000000000000003,9.9178544446599499,66.043731931211198,732.04963528313226,6.8960199054340832,6.2084007473894243,94.839187800448286,246.92430694852433,2.580518267840453,520.7540361379846,29.281985411325291,491.47205072665929,17.784109541171151,1.4263542728675938e-06
fine,32,10,32,8,0.040000000000000001,9.9043959928330967,68.560147092496024,806.02298802178063,6.9503474435872237,6.2059116581443483,97.577963089898873,267.38256030517033,2.6310062056985783,546.95609195593318,32.240919520871223,514.71517243506196,16.964655477703111,3.7603574498029704e-06
