family,source_grid,simulation_cutoff,seed_bandwidth,target_energy,kx,ky,kz,ux_real,ux_imag,uy_real,uy_imag,uz_real,uz_imag
wave-packets,16,5,3,10,0,0,1,-0.078310676699568357,0.19950445576227779,0.019641397392600651,-0.024140366591496279,0,0
wave-packets,16,5,3,10,0,0,2,0.016334386598480605,-0.16569258450249727,-0.024996670658945792,0.17244473540449723,0,0
wave-packets,16,5,3,10,0,0,3,0.03106247902680238,-0.055591376488197508,0.06662063750647719,-0.075351731075992676,0,0
wave-packets,16,5,3,10,0,0,-3,0.03106247902680238,0.055591376488197508,0.06662063750647719,0.075351731075992676,0,0
wave-packets,16,5,3,10,0,0,-2,0.016334386598480605,0.16569258450249727,-0.024996670658945792,-0.17244473540449723,0,0
wave-packets,16,5,3,10,0,0,-1,-0.078310676699568357,-0.19950445576227779,0.019641397392600651,0.024140366591496279,0,0
wave-packets,16,5,3,10,0,1,0,-0.015621352776128319,-0.19187960762554476,0,0,-0.03865336112935315,0.37158169901821042
wave-packets,16,5,3,10,0,1,1,0.017082642515651898,-0.0087135008400530747,-0.14404236306597309,0.61321149834255662,0.14404236306597309,-0.61321149834255662
wave-packets,16,5,3,10,0,1,2,0.029034684059051505,-0.0091932065273643525,0.12502363777361328,-0.43890817355465644,-0.062511818886806639,0.21945408677732822
wave-packets,16,5,3,10,0,1,3,-0.08633515075889836,0.10863037743069588,-0.087013384380708977,0.16657923702335223,0.029004461460236344,-0.055526412341117423
wave-packets,16,5,3,10,0,1,-3,0.029387949985970985,-0.028966867919062583,-0.057219548096722313,-0.052597272484122978,-0.019073182698907433,-0.017532424161374321
wave-packets,16,5,3,10,0,1,-2,-0.020551343463540515,-0.077225190388925682,0.039457549005440067,-0.002170642151373072,0.019728774502720033,-0.001085321075686536
wave-packets,16,5,3,10,0,1,-1,0.00028624577398839841,0.14944573423535304,-0.030525400066522844,0.01092017333834068,-0.030525400066522844,0.01092017333834068
wave-packets,16,5,3,10,0,2,0,0.024363812455319388,0.24286925890480612,0,0,0.029499367466490473,-0.21937758957132178
wave-packets,16,5,3,10,0,2,1,0.041413529264417867,-0.16611269548310889,0.065822851896464182,-0.21728455911010497,-0.13164570379292836,0.43456911822020994
wave-packets,16,5,3,10,0,2,2,-0.0650653947987377,0.14298116685292298,-0.023855896778963142,0.20061097011166021,0.023855896778963142,-0.20061097011166021
