resolution,snapshot,time,critical_log_rate,soft_minimum_weight
coarse,0,0.02,0.76925830567129605,0.41915794518281957
coarse,1,0.025000000000000001,0.82365925706974397,0.24328614265787452
coarse,2,0.029999999999999999,0.86948863952912236,0.15384482549952014
coarse,3,0.035000000000000003,0.90717252002502624,0.10554165011534757
coarse,4,0.040000000000000001,0.93719521289544527,0.078169436544438087
fine,0,0.02,0.77181260311918876,0.42911414897335848
fine,1,0.025000000000000001,0.82767795456049487,0.24544415593955035
fine,2,0.029999999999999999,0.87561143945138853,0.15197782191331824
fine,3,0.035000000000000003,0.91619771179509035,0.10127827014251906
fine,4,0.040000000000000001,0.9500608374233569,0.072185603031253834
