family,source_grid,simulation_cutoff,seed_bandwidth,target_energy,kx,ky,kz,ux_real,ux_imag,uy_real,uy_imag,uz_real,uz_imag
orthogonal-bundle,16,5,3,10,0,0,1,0.49097899860096017,-0.019506036693437236,-0.020403634479918571,-0.021252422782091735,0,0
orthogonal-bundle,16,5,3,10,0,0,2,0.72105306413860581,-0.045301568410531262,-0.022970870039700112,0.0047269039502454632,0,0
orthogonal-bundle,16,5,3,10,0,0,3,0.31528937038645549,0.0022521390446622242,0.0027048998010465461,0.012621604411139147,0,0
orthogonal-bundle,16,5,3,10,0,0,-3,0.31528937038645549,-0.0022521390446622242,0.0027048998010465461,-0.012621604411139147,0,0
orthogonal-bundle,16,5,3,10,0,0,-2,0.72105306413860581,0.045301568410531262,-0.022970870039700112,-0.0047269039502454632,0,0
orthogonal-bundle,16,5,3,10,0,0,-1,0.49097899860096017,0.019506036693437236,-0.020403634479918571,0.021252422782091735,0,0
orthogonal-bundle,16,5,3,10,0,1,0,0.013755402617836253,-0.009375979965050683,0,0,-0.51042300172192712,0.050124659985215245
orthogonal-bundle,16,5,3,10,0,1,1,-0.015976220684597073,-0.0088803565522995818,0.32606838983325959,-0.015895662521900264,-0.32606838983325959,0.015895662521900264
orthogonal-bundle,16,5,3,10,0,1,2,-0.066594939791460986,0.11948072516605801,0.27924592959676947,-0.013808303053439748,-0.13962296479838474,0.0069041515267198742
orthogonal-bundle,16,5,3,10,0,1,3,-0.047061888445832818,-0.0056460756515195601,0.090406254316103982,-0.0064759992783101098,-0.030135418105367989,0.0021586664261033705
orthogonal-bundle,16,5,3,10,0,1,-3,-0.038373203889221087,-0.059339675565168441,-0.10572065503351356,0.0042200977575387374,-0.035240218344504512,0.0014066992525129122
orthogonal-bundle,16,5,3,10,0,1,-2,-0.11578168943938021,-0.21742484685462454,-0.27116693783759671,-2.2644586418043511e-05,-0.13558346891879836,-1.1322293209021755e-05
orthogonal-bundle,16,5,3,10,0,1,-1,-0.017249443486227822,-0.0051269672240664178,-0.34265425879135791,0.0061091457775876981,-0.34265425879135791,0.0061091457775876981
orthogonal-bundle,16,5,3,10,0,2,0,-0.017537564306368377,0.010309995445785708,0,0,0.71318106618285027,-0.050219613855732544
orthogonal-bundle,16,5,3,10,0,2,1,-0.038874154066040133,0.023807657560171613,-0.22734034707726364,0.024581076310867686,0.45468069415452728,-0.049162152621735372
orthogonal-bundle,16,5,3,10,0,2,2,-0.011794848602383412,-0.20959141210498997,-0.1758624566760974,0.023522025967937312,0.1758624566760974,-0.023522025967937312
orthogonal-bundle,16,5,3,10,0,2,3,0.021673567534574448,-0.041808447691727889,-0.036297112961776325,-0.0014973321895069755,0.024198075307850873,0.00099822145967131651
orthogonal-bundle,16,5,3,10,0,2,-3,-0.0086340417249516892,0.035594393301071614,0.073396536443762886,0.0030634244759489364,0.048931024295841931,0.0020422829839659576
orthogonal-bundle,16,5,3,10,0,2,-2,-0.01788804226164678,0.31937912313163308,0.20064309578613643,0.01917159081804962,0.20064309578613643,0.01917159081804962
orthogonal-bundle,16,5,3,10,0,2,-1,-0.063634338145993979,0.070272570783094818,0.24337321169111806,-0.0064603598393265706,0.48674642338223612,-0.012920719678653141
orthogonal-bundle,16,5,3,10,0,3,0,0.0017736132102568504,-0.0060709748561098903,0,0,-0.33819208177728582,-0.023309006280706306
orthogonal-bundle,16,5,3,10,0,3,1,0.0044565313834589232,0.020520826721578209,0.068563668509265069,0.0019480465548411268,-0.20569100552779523,-0.0058441396645233798
orthogonal-bundle,16,5,3,10,0,3,2,-0.022017378456006678,0.14934007264236648,0.043300682112427019,-0.0063284794424700195,-0.064951023168640487,0.0094927191637050271
orthogonal-bundle,16,5,3,10,0,3,3,-0.016142233327826314,-0.006997995651353066,0.00039829042422632495,0.0064061252869434971,-0.00039829042422632322,-0.0064061252869434971
orthogonal-bundle,16,5,3,10,0,3,-3,0.043807241372187881,-0.0051627451677017074,-0.013113472379486827,0.0094921966428545331,-0.013113472379486827,0.0094921966428545314
orthogonal-bundle,16,5,3,10,0,3,-2,0.057586944855088251,-0.12748516151599601,-0.056838156101481976,-0.010721366324350451,-0.085257234152222958,-0.016082049486525675
orthogonal-bundle,16,5,3,10,0,3,-1,0.015987374278610838,0.016019850906374724,-0.072624468911552748,-0.0026860961122831075,-0.21787340673465821,-0.008058288336849323
orthogonal-bundle,16,5,3,10,0,-3,0,0.0017736132102568504,0.0060709748561098903,0,0,-0.33819208177728582,0.023309006280706306
orthogonal-bundle,16,5,3,10,0,-3,1,0.015987374278610838,-0.016019850906374724,-0.072624468911552748,0.0026860961122831075,-0.21787340673465821,0.008058288336849323
orthogonal-bundle,16,5,3,10,0,-3,2,0.057586944855088251,0.12748516151599601,-0.056838156101481976,0.010721366324350451,-0.085257234152222958,0.016082049486525675
orthogonal-bundle,16,5,3,10,0,-3,3,0.043807241372187881,0.0051627451677017074,-0.013113472379486827,-0.0094921966428545331,-0.013113472379486827,-0.0094921966428545314
orthogonal-bundle,16,5,3,10,0,-3,-3,-0.016142233327826314,0.006997995651353066,0.00039829042422632495,-0.0064061252869434971,-0.00039829042422632322,0.0064061252869434971
orthogonal-bundle,16,5,3,10,0,-3,-2,-0.022017378456006678,-0.14934007264236648,0.043300682112427019,0.0063284794424700195,-0.064951023168640487,-0.0094927191637050271
orthogonal-bundle,16,5,3,10,0,-3,-1,0.0044565313834589232,-0.020520826721578209,0.068563668509265069,-0.0019480465548411268,-0.20569100552779523,0.0058441396645233798
orthogonal-bundle,16,5,3,10,0,-2,0,-0.017537564306368377,-0.010309995445785708,0,0,0.71318106618285027,0.050219613855732544
orthogonal-bundle,16,5,3,10,0,-2,1,-0.063634338145993979,-0.070272570783094818,0.24337321169111806,0.0064603598393265706,0.48674642338223612,0.012920719678653141
orthogonal-bundle,16,5,3,10,0,-2,2,-0.01788804226164678,-0.31937912313163308,0.20064309578613643,-0.01917159081804962,0.20064309578613643,-0.01917159081804962
orthogonal-bundle,16,5,3,10,0,-2,3,-0.0086340417249516892,-0.035594393301071614,0.073396536443762886,-0.0030634244759489364,0.048931024295841931,-0.0020422829839659576
