resolution,grid,cutoff,sampling_grid,snapshot,time,energy,enstrophy,palinstrophy,h_half,l3_sample,vorticity_sample,vorticity_fourier_upper_bound,k_rms,stretching,viscous_destruction,net_enstrophy_rate,production_to_dissipation,cutoff_fraction
coarse,16,5,32,0,0,10.000000000000004,51.397664251740267,366.24462540003412,6.5731523423139979,5.5511271352117451,50.138449203551048,145.29308829360389,2.2671052964461147,134.72973328663781,14.649785016001365,120.07994827063645,9.196703783671774,0
coarse,16,5,32,1,0.0074999999999999997,9.9844310466113804,52.443007849883294,385.65143985193544,6.5993321827088263,5.5460613142142474,52.826805399555923,160.38462343485057,2.2918286026750865,173.62092659205268,15.426057594077418,158.19486899797528,11.255042030875833,6.5164392842306877e-05
coarse,16,5,32,2,0.014999999999999999,9.9685067180058926,53.76308790837745,412.36543462673393,6.6316691526521598,5.5402110158417033,54.76293990061891,176.73572540433676,2.3223466674589694,209.81300768852125,16.494617385069358,193.31839030345191,12.720089395855908,0.00028591038194577834
coarse,16,5,32,3,0.022499999999999999,9.9521479934895769,55.335182619508466,446.60952322448998,6.6692494504414359,5.5335601333403517,56.023547533065511,194.08993830822405,2.3579916398665834,243.2699763419109,17.8643809289796,225.40559541293129,13.617599026187262,0.00070736871855755536
coarse,16,5,32,4,0.029999999999999999,9.9352826608930993,57.136778255992859,488.73247613983631,6.7111522225735758,5.5261639540703635,56.721128739027954,212.13757627916206,2.3981026030746335,274.08458246515983,19.549299045593454,254.53528341956638,14.02017442292594,0.0013793501555173992
coarse,16,5,32,5,0.037499999999999999,9.917845162414304,59.146028015845935,539.14362835668578,6.7564921862024034,5.518130513023821,58.205241653917838,230.56306580700442,2.4420476311621262,302.35416907950156,21.565745134267431,280.78842394523411,14.02011232151067,0.0023493191286339246
coarse,16,5,32,6,0.044999999999999998,9.8997764287151,61.341416194846637,598.21357703535728,6.8044419123920532,5.5095898092708673,59.943720441120476,249.07358357882671,2.4892252962378438,328.09051119266491,23.92854308141429,304.16196811125064,13.711261487018758,0.0036556916531641846
coarse,16,5,32,7,0.052499999999999998,9.881023892745846,63.700957143287532,666.16364203453804,6.8542382749029622,5.5006697215018967,64.364628310580329,267.42291096371099,2.5390543904796612,351.17795260066117,26.646545681381522,324.53140691927968,13.17911735351259,0.0053229841505163028
coarse,16,5,32,8,0.059999999999999998,9.8615417684648978,66.201286057873261,742.96539330385008,6.9051794004503151,5.4914872945448874,67.235067278466971,285.41759727795318,2.5909605705781971,371.3764237233728,29.718615732154003,341.65780799121882,12.496424028309056,0.0073598884753591481
fine,32,10,32,0,0,10.000000000000004,51.397664251740267,366.24462540003412,6.5731523423139979,5.5511271352117451,50.138449203551048,145.29308829360389,2.2671052964461147,134.72973328663761,14.649785016001365,120.07994827063625,9.1967037836717598,0
fine,32,10,32,1,0.0074999999999999997,9.9844309409615128,52.444091617592143,385.71821400638515,6.5993475248443891,5.5460145299590966,52.76541557129341,161.99344016086252,2.2918522957173666,173.93104045923243,15.428728560255406,158.50231189897704,11.273193366515043,2.4297855712856777e-11
fine,32,10,32,2,0.014999999999999999,9.9685057691397017,53.768316147583853,412.72937455508873,6.6317373894808105,5.5401087567384764,54.529469272046022,181.50889311207604,2.3224596945787028,210.69360554058207,16.50917498220355,194.18443055837852,12.76221287664006,1.9529895074773171e-09
fine,32,10,32,3,0.022499999999999999,9.9521441377539865,55.350797194001288,447.86591896620803,6.6694336021220488,5.5334570027492509,55.441813799543667,204.53733534354001,2.3583247642547689,245.365762871057,17.914636758648321,227.45112611240867,13.69638503848571,3.0471037193562431e-08
fine,32,10,32,4,0.029999999999999999,9.9352710850175185,57.175505132647189,492.30147140667378,6.7115661664663655,5.526207298421415,56.327479782543683,231.61394670968272,2.3989165708460356,278.5823426298308,19.69205885626695,258.89028377356385,14.146938350286955,2.4191634300024364e-07
fine,32,10,32,5,0.037499999999999999,9.9178157407958718,59.231326996339135,547.99825118825834,6.7573296441055906,5.5185857988495615,57.768542928590001,263.14002795710888,2.4438115527623752,311.11766383997696,21.919930047530332,289.19773379244663,14.19336937505555,1.2805546645071594e-06
fine,32,10,32,6,0.044999999999999998,9.8997097919980863,61.512257883999105,617.89869685593362,6.8060043130689563,5.5108466911685561,61.449695137574849,299.31606537786183,2.492697640228962,343.7287007570975,24.715947874237344,319.01275288286013,13.907162391913884,5.0708447174189884e-06
fine,32,10,32,7,0.052499999999999998,9.8808860732200152,64.016387917124305,706.00934904393068,6.8569566720754889,5.5032128870772397,64.793021797375133,340.06683793678195,2.5453507512783702,377.00467143031648,28.240373961757228,348.76429746855922,13.349846993557934,1.6046864348165882e-05
fine,32,10,32,8,0.059999999999999998,9.8612776248246838,66.743837957434437,817.23785159705108,6.9096267923824977,5.4958254627269145,67.790861703786788,384.99428228023277,2.6015908427190104,411.23801051048292,32.689514063882044,378.54849644660089,12.580120025854136,4.2434048499704836e-05
