resolution,snapshot,time,critical_log_rate,soft_minimum_weight
coarse,0,0.029999999999999999,0.86948863957562139,0.38281579358211476
coarse,1,0.037499999999999999,0.92311019753939594,0.22393108250816623
coarse,2,0.044999999999999998,0.96005775016900174,0.15475803162210447
coarse,3,0.052499999999999998,0.98198973221113461,0.12428073398732394
coarse,4,0.059999999999999998,0.99043632937921844,0.1142143583002907
fine,0,0.029999999999999999,0.87561143946460995,0.41747920338878114
fine,1,0.037499999999999999,0.93393068797272782,0.23300088357516957
fine,2,0.044999999999999998,0.97781116970103377,0.15024051276753228
fine,3,0.052499999999999998,1.0091806569894788,0.10978704727196253
fine,4,0.059999999999999998,1.0296195945202691,0.089492352996554475
