resolution,grid,cutoff,sampling_grid,snapshot,time,energy,enstrophy,palinstrophy,h_half,l3_sample,vorticity_sample,vorticity_fourier_upper_bound,k_rms,stretching,viscous_destruction,net_enstrophy_rate,production_to_dissipation,cutoff_fraction
coarse,16,5,32,0,0,10.000000000000005,69.084953633089697,611.12830664868591,7.1139604482510883,6.0679161231671213,60.868070047205784,118.65695022411359,2.6284016746511494,93.715080020757171,24.445132265947436,69.269947754809735,3.8336908551443667,0
coarse,16,5,32,1,0.0050000000000000001,9.9861449031255365,69.483495857956612,620.09081636255542,7.1208118228562478,6.0622197627966443,60.983755630439525,125.06428379750845,2.6378002100754614,115.0533635042738,24.803632654502216,90.249730849771595,4.6385690800573105,1.3739315785375535e-05
coarse,16,5,32,2,0.01,9.9721994986705358,69.988606105946332,632.04468030373084,7.1298566187465786,6.0564017453176575,61.430013038001903,131.88389298756644,2.6492210245104788,137.20221212049248,25.281787212149233,111.92042490834325,5.4269190294647984,5.7210040481794664e-05
coarse,16,5,32,3,0.014999999999999999,9.9581421072053278,70.604029623820622,647.28541199798633,7.1411037715546559,6.050494034601396,62.126659467787825,139.10737142978596,2.6627205158484166,160.27762399791237,25.891416479919453,134.38620751799291,6.1903768039194969,0.00013697068132408145
coarse,16,5,32,4,0.02,9.9439502607237653,71.333842008543314,666.14612932733849,7.1545592728541125,6.044527015260476,62.725599336237373,146.71651148435274,2.6783562117397168,184.31931800295075,26.645845173093541,157.67347282985722,6.9173755535092889,0.00026373990576226579
coarse,16,5,32,5,0.025000000000000001,9.9296006767309137,72.182042809336892,688.97437722721895,7.1702211048930504,6.0385217308014871,63.178549315263787,154.69695121090507,2.6961788193259291,209.284017659299,27.558975089088758,181.72504257021023,7.5940421217681431,0.00045198430705729778
coarse,16,5,32,6,0.029999999999999999,9.9150693153170568,73.152137898973251,716.10841755311628,7.1880740828517933,6.0324834933701421,63.965087398838769,163.01632207793722,2.7162243250307552,235.04570772138297,28.644336702124651,206.40137101925831,8.2056606918724295,0.00071917517378665917
coarse,16,5,32,7,0.035000000000000003,9.9003315180872402,74.246743656234258,747.85468801498291,7.2080850926111308,6.0263979849157954,65.263088993046551,171.63308121782916,2.7385068825448102,261.40205859659198,29.914187520599317,231.48787107599267,8.738397404796201,0.0010847983274151725
coarse,16,5,32,8,0.040000000000000001,9.8853622217333239,75.467240339952596,784.46781014070336,7.2301991344419321,6.0202305792123321,66.296953595680691,180.4986856136918,2.7630130799370538,288.08572865315699,31.378712405628136,256.70701624752883,9.1809289345309626,0.0015692236876638801
fine,32,10,32,0,0,10.000000000000005,69.084953633089697,611.12830664868591,7.1139604482510883,6.0679161231671213,60.868070047205784,118.65695022411359,2.6284016746511494,93.715080020757057,24.445132265947436,69.269947754809621,3.8336908551443618,0
fine,32,10,32,1,0.0050000000000000001,9.9861448693867931,69.48402454898357,620.12763292640477,7.1208180866151309,6.0623914231613432,60.940723361445514,125.765508234726,2.6378102498544624,115.28605650297274,24.805105317056192,90.480951185916553,4.6476745423733847,4.9710951596885336e-12
fine,32,10,32,2,0.01,9.972199185908778,69.991199667587651,632.22921651577667,7.1298874075190017,6.0567675424931888,61.371228264174299,133.85733946103949,2.649270151576399,137.84093495774638,25.289168660631066,112.55176629711532,5.4505917852622163,3.7230965294620194e-10
fine,32,10,32,3,0.014999999999999999,9.9581408615133462,70.611323024837958,647.82575851724414,7.141189473349475,6.0510724118371231,62.004271906305945,143.08558743586246,2.662858208453458,161.6014494542305,25.913030340689765,135.68841911354073,6.2363007077746859,4.9433270200864194e-09
fine,32,10,32,4,0.02,9.94394674888831,71.35007763317185,667.41387152598418,7.154746226746509,6.0453288262966351,62.479467899821081,153.59975342201042,2.6786614651296721,186.71496717126502,26.696554861039367,160.01841231022564,6.9939723737070887,3.2031553608742169e-08
fine,32,10,32,5,0.025000000000000001,9.9295925146450141,72.213568827840106,691.58636614567001,7.1705741282012347,6.0395487972663622,62.780317379521932,165.53656572005147,2.6967686510155424,213.24594121873417,27.6634546458268,185.58248657290738,7.7085795663956826,1.3893408903605276e-07
fine,32,10,32,6,0.029999999999999999,9.9150525985908153,73.207886742447045,721.02448968299245,7.1886776689287322,6.033728794017919,64.140134873666838,179.01022415237895,2.7172614283909438,241.17539364912363,28.840979587319698,212.33441406180393,8.3622469520820104,4.6445347488431262e-07
fine,32,10,32,7,0.035000000000000003,9.9003002593817886,74.338685891085802,756.49036838163818,7.2090434550859612,6.0278469061936857,65.108341165011353,194.07892779322691,2.740206276323133,270.40743248335843,30.259614735265529,240.1478177480929,8.9362483577233682,1.2910318963231739e-06
fine,32,10,32,8,0.040000000000000001,9.8853076998712943,75.610813144645618,798.81962231258944,7.2316354128453524,6.0218629152656531,65.590740550315843,210.73848777465716,2.7656477078744,300.78119909928284,31.95278489250358,268.82841420677926,9.413301535724635,3.1242600469929856e-06
