resolution,snapshot,time,critical_log_rate,soft_minimum_weight
coarse,0,0.02,0.4070112792843556,0.47311477592964812
coarse,1,0.025000000000000001,0.46752483049557497,0.2583208720216168
coarse,2,0.029999999999999999,0.5269623355271964,0.14256919372673182
coarse,3,0.035000000000000003,0.58472337745167191,0.080015233286247364
coarse,4,0.040000000000000001,0.64012459181744819,0.045979925035755896
fine,0,0.02,0.41064685516467531,0.4840717363202845
fine,1,0.025000000000000001,0.47321960236239302,0.25891650605795008
fine,2,0.029999999999999999,0.53524861254677703,0.13924229392929441
fine,3,0.035000000000000003,0.59611145460585491,0.075761262776836716
fine,4,0.040000000000000001,0.65508368037996345,0.0420082009156343
