iteration,stage,resolution,initial_family,seed_bandwidth,real_degrees_of_freedom,objective,valid,steps,critical_log_growth,characteristic_log_growth,cutoff_penalty,profile_shape_penalty,profile_path_penalty,peak_h_half_ratio,final_h_half_ratio,peak_l3_ratio,final_l3_ratio,peak_vorticity_ratio,characteristic_ratio,profile_scale_windows,first_profile_drift,latest_profile_drift,minimum_profile_drift,latest_profile_window_time,profile_stationarity_improving,search_score,peak_cutoff_fraction,max_divergence_defect,max_reality_defect,max_energy_balance_residual,max_cfl_bound,max_viscous_number,constrained_gradient_norm,gradient_relative_error,gradient_slope,line_angle,trajectory_count,pair_search_score,preliminary_cross_resolution_ok,refinement_eligible,start_index,search_track,selection_score,growth_objective,horizon,late_window_start,late_rate_samples,late_rate_temperature,late_rate_minimum,late_rate_maximum,late_rate_soft_minimum
0,initial,coarse,vortex-tubes,3,684,-0.00083584104197906512,true,80,-0.00019576672077138192,0.014181780155233834,0.13142373652170236,0.011292460706544404,0.0038350932659497808,1,0.9998042524402827,1,0.99251217774607636,1,1.0142828186697432,1,9.9705625800426816,9.9705625800426816,9.9705625800426816,0.034500000000000003,false,-0.24353942771057138,0.0014045092965106532,5.5667057408480492e-16,1.1714201148076235e-16,8.6042284408449632e-15,0.20591928554826486,0.00075000000000000002,nan,nan,nan,0,1,nan,false,false,0,amplification,nan,late-rate,0.040000000000000001,0.5,5,0.10000000000000001,-0.0062521895351477282,0.15173728747969237,0.057346034890098867
0,fine-check,fine,vortex-tubes,3,684,0.004620834856207701,true,92,-9.9652144920068961e-05,0.01467439376123879,0.00012410259165040647,0.014892035984657057,0.0053680281819265367,1,0.99990035282019007,1,0.99222876062379761,1.0200178678384675,1.0147825912738428,1,9.9651270233484475,9.9651270233484475,9.9651270233484475,0.033869340844854642,false,-0.23915733273721698,1.2411029269560356e-06,6.6627835938236643e-16,2.1615163105144701e-16,1.0380585280245214e-14,0.34999999999999998,0.0030000000000000001,nan,nan,nan,0,2,-0.24740338322729227,false,false,0,amplification,-0.00083584104197906512,late-rate,0.040000000000000001,0.5,5,0.10000000000000001,-0.0047302661712432205,0.15974950415018735,0.060615997392197481
1,gradient-check,coarse,vortex-tubes,3,684,-0.00083584104197906512,true,80,-0.00019576672077138192,0.014181780155233834,0.13142373652170236,0.011292460706544404,0.0038350932659497808,1,0.9998042524402827,1,0.99251217774607636,1,1.0142828186697432,1,9.9705625800426816,9.9705625800426816,9.9705625800426816,0.034500000000000003,false,-0.24353942771057138,0.0014045092965106532,5.5667057408480492e-16,1.1714201148076235e-16,8.6042284408449632e-15,0.20591928554826486,0.00075000000000000002,0.022188122254508155,9.9106064187369405e-06,0.099228299308312257,0,4,nan,false,false,0,amplification,nan,late-rate,0.040000000000000001,0.5,5,0.10000000000000001,-0.0062521895351477282,0.15173728747969237,0.057346034890098867
1,line-trial,coarse,vortex-tubes,3,684,0.010061995863958229,true,80,0.0067838003489811491,0.028853124202334646,0.099910186673985948,0.012488620103711833,0.0043830879443027566,1.0068068624426205,1.0068068624426205,1,0.99135336971945032,1.0124698984595095,1.0292734080197685,2,9.5800338809567336,8.9798763265501389,8.9798763265501389,0.032500000000000001,false,-0.2228748106384536,0.0010507166345694169,5.5550168797173325e-16,1.0161509195542841e-16,7.382983113757291e-15,0.2153715822701576,0.00075000000000000002,0.022188122254508155,9.9106064187369405e-06,0.099228299308312257,0.12,5,nan,false,false,0,amplification,nan,late-rate,0.040000000000000001,0.5,5,0.10000000000000001,0.16920683231651831,0.36076673878156612,0.24326086751418674
1,accepted,coarse,vortex-tubes,3,684,0.010061995863958229,true,80,0.0067838003489811491,0.028853124202334646,0.099910186673985948,0.012488620103711833,0.0043830879443027566,1.0068068624426205,1.0068068624426205,1,0.99135336971945032,1.0124698984595095,1.0292734080197685,2,9.5800338809567336,8.9798763265501389,8.9798763265501389,0.032500000000000001,false,-0.2228748106384536,0.0010507166345694169,5.5550168797173325e-16,1.0161509195542841e-16,7.382983113757291e-15,0.2153715822701576,0.00075000000000000002,0.022188122254508155,9.9106064187369405e-06,0.099228299308312257,0.12,5,nan,false,false,0,amplification,nan,late-rate,0.040000000000000001,0.5,5,0.10000000000000001,0.16920683231651831,0.36076673878156612,0.24326086751418674
1,fine-check,fine,vortex-tubes,3,684,0.01428799680875111,true,95,0.0069015851543124214,0.029435034816740441,0.00015795339771519271,0.016431989947976858,0.0061719824889400355,1.0069254559770406,1.0069254559770406,1,0.99147441646634027,1.0086936311623738,1.02987252744109,2,9.5839468033886543,8.9958833483265739,8.9958833483265739,0.032068905760913619,false,-0.22006686672162962,1.5796587300994735e-06,8.8834781013678545e-16,2.2384143273616932e-16,4.9404924595819466e-15,0.34999999999999998,0.0029833177109426338,nan,nan,nan,0,6,-0.22591805647176599,true,false,0,amplification,0.010061995863958229,late-rate,0.040000000000000001,0.5,5,0.10000000000000001,0.17123195060767446,0.37000978743283747,0.2469764930537163
2,gradient-check,coarse,vortex-tubes,3,684,0.010061995863958229,true,80,0.0067838003489811491,0.028853124202334646,0.099910186673985948,0.012488620103711833,0.0043830879443027566,1.0068068624426205,1.0068068624426205,1,0.99135336971945032,1.0124698984595095,1.0292734080197685,2,9.5800338809567336,8.9798763265501389,8.9798763265501389,0.032500000000000001,false,-0.2228748106384536,0.0010507166345694169,5.5550168797173325e-16,1.0161509195542841e-16,7.382983113757291e-15,0.2153715822701576,0.00075000000000000002,0.021204078015940167,7.724882116211147e-06,0.094827519687702172,0,9,nan,false,false,0,amplification,nan,late-rate,0.040000000000000001,0.5,5,0.10000000000000001,0.16920683231651831,0.36076673878156612,0.24326086751418674
2,line-trial,coarse,vortex-tubes,3,684,0.021385876811160387,true,80,0.016207464786343242,0.049945846713620484,0.14576334895644869,0.020516659594917976,0.0089581585925071934,1.0163395181961434,1.0163395181961434,1,0.99195383250949853,1.0558319991628335,1.0512141681327192,4,9.4470270314816691,7.5023509484378481,7.5023509484378481,0.034500000000000003,false,-0.18966972888459999,0.0015692236876638801,6.1078034531884503e-16,1.6855407424696038e-16,7.3274719625260332e-15,0.23386029548025253,0.00075000000000000002,0.021204078015940167,7.724882116211147e-06,0.094827519687702172,0.12,10,nan,false,false,0,amplification,nan,late-rate,0.040000000000000001,0.5,5,0.10000000000000001,0.4070112792843556,0.64012459181744819,0.49311334405938156
2,accepted,coarse,vortex-tubes,3,684,0.021385876811160387,true,80,0.016207464786343242,0.049945846713620484,0.14576334895644869,0.020516659594917976,0.0089581585925071934,1.0163395181961434,1.0163395181961434,1,0.99195383250949853,1.0558319991628335,1.0512141681327192,4,9.4470270314816691,7.5023509484378481,7.5023509484378481,0.034500000000000003,false,-0.18966972888459999,0.0015692236876638801,6.1078034531884503e-16,1.6855407424696038e-16,7.3274719625260332e-15,0.23386029548025253,0.00075000000000000002,0.021204078015940167,7.724882116211147e-06,0.094827519687702172,0.12,10,nan,false,false,0,amplification,nan,late-rate,0.040000000000000001,0.5,5,0.10000000000000001,0.4070112792843556,0.64012459181744819,0.49311334405938156
2,fine-check,fine,vortex-tubes,3,684,0.027583881110910324,true,100,0.016406094967520605,0.050898926758823279,0.00031237720985801266,0.027305280739896555,0.013098274798751922,1.0165414139494118,1.0165414139494118,1,0.99241037500079499,1.0775886355431907,1.0522165369725944,5,9.4575132061579108,5.4692101056322837,5.4692101056322837,0.039672166169154456,false,-0.14150658397922578,3.1242600469929856e-06,6.1097739031068567e-16,1.4275414608356368e-16,7.9380946260698693e-15,0.34999999999999998,0.0028773865652607098,nan,nan,nan,0,11,-0.20757368853420785,true,false,0,amplification,0.021385876811160387,late-rate,0.040000000000000001,0.5,5,0.10000000000000001,0.41064685516467531,0.65508368037996345,0.49903842963702882
