resolution,grid,cutoff,sampling_grid,snapshot,time,energy,enstrophy,palinstrophy,h_half,l3_sample,vorticity_sample,vorticity_fourier_upper_bound,k_rms,stretching,viscous_destruction,net_enstrophy_rate,production_to_dissipation,cutoff_fraction
coarse,16,5,32,0,0,9.9999999999999982,44.96239460291519,300.54490790885671,6.3433733998059756,6.2893080125017153,78.062704483597244,121.12490094866141,2.120433790593689,166.16578233134447,12.021796316354269,154.14398601499022,13.822042726285012,0
coarse,16,5,32,1,0.0050000000000000001,9.9909234688073703,45.837209093840919,316.62576552608579,6.3668187289775364,6.2948410060153437,79.727581337781174,129.66251100974213,2.1419349004164254,207.95305679290718,12.665030621043432,195.28802617186375,16.419467351889796,2.2326408230329142e-05
coarse,16,5,32,2,0.01,9.9816519106032668,46.91005687289406,337.63209564272188,6.3949756648288689,6.2993204845584874,81.409882238767693,138.39600487679579,2.1678626819686424,246.80930234088166,13.505283825708876,233.30401851517277,18.275017802369433,9.2188595098537037e-05
coarse,16,5,32,3,0.014999999999999999,9.9721473325369647,48.164568596226275,363.44019320697703,6.4272735338671216,6.3025874116572433,83.102814788683389,147.32981081322791,2.1977054956908222,282.45212672606675,14.537607728279081,267.9145189977877,19.429065084527672,0.00021781258008181216
coarse,16,5,32,4,0.02,9.9623751399833509,49.58320388653258,393.95024235308358,6.463104391899372,6.3045118526708457,84.809865157424738,156.47185023919644,2.230929504998898,314.687054546887,15.758009694123343,298.92904485276364,19.96997467670322,0.00041408201566137343
coarse,16,5,32,5,0.025000000000000001,9.9523043270076901,51.147688855926326,429.08221874694829,6.5018427893007162,6.3049945707341823,86.542579100025705,165.81030713991723,2.266998242687027,343.40744963977238,17.163288749877932,326.24416088989443,20.008254516035848,0.00070433626951511407
coarse,16,5,32,6,0.029999999999999999,9.9419075803760073,52.839437254419096,468.76905557583837,6.5428643726724731,6.3039648487061006,88.17051653347238,175.37346294507162,2.3053890764470557,368.58730168002086,18.750762223033536,349.83653945698734,19.657190320895129,0.0011215039591347599
coarse,16,5,32,7,0.035000000000000003,9.9311613041095494,54.639917444704601,512.94546385135618,6.5855623888666068,6.3013747665347495,89.649000440978355,185.07776908820796,2.3456056513461845,390.26617610842658,20.517818554054248,369.74835755437232,19.020841571450166,0.0017079412714865133
coarse,16,5,32,8,0.040000000000000001,9.9200455789874891,56.530931497244858,561.53177801386425,6.6293612688741597,6.2971929445286801,90.916457551750398,194.90592315518668,2.3871858803292705,408.52867239304595,22.461271120554571,386.0674012724914,18.188136824509304,0.0025136213864974323
fine,32,10,32,0,0,9.9999999999999982,44.96239460291519,300.54490790885671,6.3433733998059756,6.2893080125017153,78.062704483597244,121.12490094866141,2.120433790593689,166.16578233134433,12.021796316354269,154.14398601499005,13.822042726285,0
fine,32,10,32,1,0.0050000000000000001,9.9909234544646441,45.837435215892725,316.64110612641088,6.3668218852033611,6.2948808229771869,79.690471956695703,130.2315374357936,2.1419401851956734,208.05433131176088,12.665644245056436,195.38868706670445,16.426667865155551,2.2421158339367561e-12
fine,32,10,32,2,0.01,9.9816517727524268,46.911233438097646,337.72026741256275,6.3949909806619596,6.299369990405153,81.377497014035953,139.93758244205426,2.1678898831749227,247.11598199450086,13.508810696502509,233.60717129799835,18.292948768501159,1.8295947356937076e-10
fine,32,10,32,3,0.014999999999999999,9.9721467529353305,48.168128043377862,363.73483123047265,6.4273165266510857,6.3026173168844544,83.116844642785267,150.44290709298934,2.1977867652299219,283.15064539914329,14.549393249218907,268.60125214992439,19.461337015847338,2.6049642878988698e-09
fine,32,10,32,4,0.02,9.9623734101946404,49.591681970032667,394.718680007562,6.4631995892692276,6.304488384590929,84.910475552997028,161.94995876026553,2.2311204205201656,316.04878786213851,15.788747200302481,300.260040661836,20.017344242238778,1.8039245043854088e-08
fine,32,10,32,5,0.025000000000000001,9.9523000872870551,51.165133536732718,430.80014647007147,6.5020253710832261,6.3048750328261844,86.759857054688524,174.62141172415258,2.2673852894382134,345.79695878608692,17.232005858802861,328.56495292728408,20.067133311090348,8.4011830446397193e-08
fine,32,10,32,6,0.029999999999999999,9.9418984732073259,52.871858222440537,472.21804606484852,6.5431812497993338,6.3036969016161679,88.661989618920515,188.5875982409448,2.3060972890034841,372.47742939823974,18.888721842593942,353.58870755564578,19.719567713592227,3.0381022546187387e-07
fine,32,10,32,7,0.035000000000000003,9.9311435311261693,54.695808426264719,519.33840002323893,6.5860731442787142,6.3009007859044948,90.609893928107667,203.85047529398565,2.3468071005991837,396.26101079730563,20.773536000929557,375.48747479637609,19.075279758803415,9.1974854306747557e-07
fine,32,10,32,8,0.040000000000000001,9.9200133434229443,56.621897304329138,572.6690938074521,6.6301394647156098,6.2964596799052748,92.595570536381857,220.49276825836853,2.3891096402634364,417.39326744651368,22.906763752298083,394.48650369421557,18.22139835901697,2.4344652639189071e-06
