family,source_grid,simulation_cutoff,seed_bandwidth,target_energy,kx,ky,kz,ux_real,ux_imag,uy_real,uy_imag,uz_real,uz_imag
wave-packets,16,5,3,10,0,0,1,-0.069820775011664879,0.24480302955337266,0.061901600129179189,-0.17488453635901263,0,0
wave-packets,16,5,3,10,0,0,2,0.049400888537679238,-0.17292996536037997,-0.055176320011102092,0.15956433686804486,0,0
wave-packets,16,5,3,10,0,0,3,-4.6754643094252777e-05,0.023922528241698587,0.017524631389481189,-0.057616230944936439,0,0
wave-packets,16,5,3,10,0,0,-3,-4.6754643094252777e-05,-0.023922528241698587,0.017524631389481189,0.057616230944936439,0,0
wave-packets,16,5,3,10,0,0,-2,0.049400888537679238,0.17292996536037997,-0.055176320011102092,-0.15956433686804486,0,0
wave-packets,16,5,3,10,0,0,-1,-0.069820775011664879,-0.24480302955337266,0.061901600129179189,0.17488453635901263,0,0
wave-packets,16,5,3,10,0,1,0,-0.0035758742901417502,-0.28890719153299771,0,0,-0.068821946426674011,0.32066476377361519
wave-packets,16,5,3,10,0,1,1,0.019749385910219915,0.025282338739876634,-0.1822184669204602,0.61982988087850432,0.1822184669204602,-0.61982988087850432
wave-packets,16,5,3,10,0,1,2,-0.0044895365509249165,0.023694902723653363,0.14104824191429249,-0.4642872296571921,-0.070524120957146247,0.23214361482859605
wave-packets,16,5,3,10,0,1,3,-0.024352275519971146,0.027661913713740549,-0.044523497186066817,0.15707898394023245,0.014841165728688939,-0.052359661313410813
wave-packets,16,5,3,10,0,1,-3,-0.0037997034843675974,0.010315115754944411,-0.0028001718979472389,-0.0056521354835689028,-0.0009333906326490798,-0.0018840451611896343
wave-packets,16,5,3,10,0,1,-2,-0.02073385088146687,-0.10572502464825501,0.010014476002526215,0.022684929581249434,0.0050072380012631075,0.011342464790624717
wave-packets,16,5,3,10,0,1,-1,0.035887694391596184,0.22401151905452493,-0.0038411525886155118,-0.060659409091574482,-0.0038411525886155118,-0.060659409091574482
