iteration,stage,resolution,initial_family,seed_bandwidth,real_degrees_of_freedom,objective,valid,steps,critical_log_growth,characteristic_log_growth,cutoff_penalty,profile_shape_penalty,profile_path_penalty,peak_h_half_ratio,final_h_half_ratio,peak_l3_ratio,final_l3_ratio,peak_vorticity_ratio,characteristic_ratio,profile_scale_windows,first_profile_drift,latest_profile_drift,minimum_profile_drift,latest_profile_window_time,profile_stationarity_improving,search_score,peak_cutoff_fraction,max_divergence_defect,max_reality_defect,max_energy_balance_residual,max_cfl_bound,max_viscous_number,constrained_gradient_norm,gradient_relative_error,gradient_slope,line_angle,trajectory_count,pair_search_score,preliminary_cross_resolution_ok,refinement_eligible,start_index,search_track,selection_score,growth_objective,horizon,late_window_start,late_rate_samples,late_rate_temperature,late_rate_minimum,late_rate_maximum,late_rate_soft_minimum
0,initial,coarse,wave-packets,3,684,0.022939155761747359,true,80,0.014270139496049472,0.049550413357558686,0.081140270450460836,0.065454119111320042,0.046633093629394884,1.0143724439905604,1.0143724439905604,1.0003981775572177,0.99646887786996319,1.1120480376724218,1.0507985651633287,4,9.8384110055032448,8.972906260597723,8.9548713100017014,0.035500000000000004,false,-0.21145942224217146,0.00084523012429319237,4.028295357552336e-16,9.7669784747790316e-17,7.3274719625260332e-15,0.2246510038970346,0.00075000000000000002,nan,nan,nan,0,1,nan,false,false,0,amplification,nan,late-rate,0.040000000000000001,0.5,5,0.10000000000000001,0.37350826676674759,0.62857649620503275,0.46880511440329975
0,fine-check,fine,wave-packets,3,684,0.026245868757857248,true,97,0.014298866985502872,0.04975017299356424,1.6224853148454155e-05,0.066479915863168385,0.047574841578255825,1.0144015847828156,1.0144015847828156,1.0003698897187689,0.99627021845147801,1.1362625597493095,1.0510084932691037,4,9.8380041755508802,8.9770270033269615,8.9770270033269615,0.035392217932280597,false,-0.20854095342079487,1.6224984772095857e-07,7.2284493075088872e-16,1.3887542199293331e-16,1.7708057242771247e-14,0.34999999999999998,0.0028185129688650338,nan,nan,nan,0,2,-0.21383855394442783,true,false,0,amplification,0.022939155761747359,late-rate,0.040000000000000001,0.5,5,0.10000000000000001,0.37399599610111034,0.63101360772277404,0.46959979507371374
1,gradient-check,coarse,wave-packets,3,684,0.022939155761747359,true,80,0.014270139496049472,0.049550413357558686,0.081140270450460836,0.065454119111320042,0.046633093629394884,1.0143724439905604,1.0143724439905604,1.0003981775572177,0.99646887786996319,1.1120480376724218,1.0507985651633287,4,9.8384110055032448,8.972906260597723,8.9548713100017014,0.035500000000000004,false,-0.21145942224217146,0.00084523012429319237,4.028295357552336e-16,9.7669784747790316e-17,7.3274719625260332e-15,0.2246510038970346,0.00075000000000000002,0.039432100930299356,1.2547518652033136e-05,0.1763457163515641,0,4,nan,false,false,0,amplification,nan,late-rate,0.040000000000000001,0.5,5,0.10000000000000001,0.37350826676674759,0.62857649620503275,0.46880511440329975
1,line-trial,coarse,wave-packets,3,684,0.042714425388242307,true,80,0.03019271464589374,0.088961021276669328,0.1498014949118488,0.081201138205565654,0.0619629098616441,1.0306531367703584,1.0306531367703584,1.0012380605061932,0.99903791316012092,1.1713817163183793,1.0930380502682193,8,8.7979126441456206,8.5134143076258972,7.2105205698233288,0.037000000000000005,false,-0.20276976054947751,0.001616036356086138,3.5108334685767012e-16,1.6187860978467424e-16,9.4368957093138306e-15,0.24958062780888124,0.00075000000000000002,0.039432100930299356,1.2547518652033136e-05,0.1763457163515641,0.12,5,nan,false,false,0,amplification,nan,late-rate,0.040000000000000001,0.5,5,0.10000000000000001,0.79014141936721427,1.0186749854532366,0.88405829983039652
1,accepted,coarse,wave-packets,3,684,0.042714425388242307,true,80,0.03019271464589374,0.088961021276669328,0.1498014949118488,0.081201138205565654,0.0619629098616441,1.0306531367703584,1.0306531367703584,1.0012380605061932,0.99903791316012092,1.1713817163183793,1.0930380502682193,8,8.7979126441456206,8.5134143076258972,7.2105205698233288,0.037000000000000005,false,-0.20276976054947751,0.001616036356086138,3.5108334685767012e-16,1.6187860978467424e-16,9.4368957093138306e-15,0.24958062780888124,0.00075000000000000002,0.039432100930299356,1.2547518652033136e-05,0.1763457163515641,0.12,5,nan,false,false,0,amplification,nan,late-rate,0.040000000000000001,0.5,5,0.10000000000000001,0.79014141936721427,1.0186749854532366,0.88405829983039652
1,fine-check,fine,wave-packets,3,684,0.048834892127458403,true,107,0.030252142043613164,0.089383658793393966,7.0328426430294703e-05,0.083049977335585612,0.063692714944033238,1.0307143876241995,1.0307143876241995,1.0012210259495085,0.99883525720734823,1.1970042334610558,1.0935001067898029,8,8.798262861173173,8.486650427588124,7.1337563196269356,0.037089956716587852,false,-0.19772849937258763,7.0330899532052894e-07,6.9388939039072284e-16,3.7665876306540759e-16,1.787459069646502e-14,0.34999999999999998,0.0026592584232661477,nan,nan,nan,0,6,-0.20731632819692206,true,false,0,amplification,0.042714425388242307,late-rate,0.040000000000000001,0.5,5,0.10000000000000001,0.79110098708124366,1.0238130457771784,0.88575391113766289
2,gradient-check,coarse,wave-packets,3,684,0.042714425388242307,true,80,0.03019271464589374,0.088961021276669328,0.1498014949118488,0.081201138205565654,0.0619629098616441,1.0306531367703584,1.0306531367703584,1.0012380605061932,0.99903791316012092,1.1713817163183793,1.0930380502682193,8,8.7979126441456206,8.5134143076258972,7.2105205698233288,0.037000000000000005,false,-0.20276976054947751,0.001616036356086138,3.5108334685767012e-16,1.6187860978467424e-16,9.4368957093138306e-15,0.24958062780888124,0.00075000000000000002,0.033854680777021647,1.029394649394267e-05,0.15140273514795155,0,9,nan,false,false,0,amplification,nan,late-rate,0.040000000000000001,0.5,5,0.10000000000000001,0.79014141936721427,1.0186749854532366,0.88405829983039652
2,line-trial,coarse,wave-packets,3,684,0.058472854680024659,true,80,0.044097751088463824,0.11849453031134581,0.22423266893004073,0.069143871453690275,0.050456004273048159,1.0450845080437692,1.0450845080437692,1.0024673384150926,1.0013499575340938,1.180956291652359,1.12580071630574,11,9.3783305804515606,9.1659153727887581,7.0209603183707125,0.038000000000000006,false,-0.20276130902047729,0.0025136213864974323,5.0003385388398739e-16,1.446805138332691e-16,1.1879386363489175e-14,0.27229193093848958,0.00075000000000000002,0.033854680777021647,1.029394649394267e-05,0.15140273514795155,0.12,10,nan,false,false,0,amplification,nan,late-rate,0.040000000000000001,0.5,5,0.10000000000000001,1.1570096167441248,1.332478358266403,1.2416995472631105
2,accepted,coarse,wave-packets,3,684,0.058472854680024659,true,80,0.044097751088463824,0.11849453031134581,0.22423266893004073,0.069143871453690275,0.050456004273048159,1.0450845080437692,1.0450845080437692,1.0024673384150926,1.0013499575340938,1.180956291652359,1.12580071630574,11,9.3783305804515606,9.1659153727887581,7.0209603183707125,0.038000000000000006,false,-0.20276130902047729,0.0025136213864974323,5.0003385388398739e-16,1.446805138332691e-16,1.1879386363489175e-14,0.27229193093848958,0.00075000000000000002,0.033854680777021647,1.029394649394267e-05,0.15140273514795155,0.12,10,nan,false,false,0,amplification,nan,late-rate,0.040000000000000001,0.5,5,0.10000000000000001,1.1570096167441248,1.332478358266403,1.2416995472631105
2,fine-check,fine,wave-packets,3,684,0.067702525343084505,true,116,0.044215130446552578,0.11930007512317745,0.00024341689809479104,0.072020459970237538,0.053078208878335961,1.0452071865922958,1.0452071865922958,1.0024696216262212,1.0011371151467447,1.1861691335052105,1.1267079645974338,11,9.378205535950757,9.1603034038190252,7.0027772611062797,0.037525501222045843,false,-0.19585158266418393,2.4344652639189071e-06,6.2484729972682317e-16,2.0770370905276122e-16,1.2989609388114332e-14,0.34999999999999998,0.0024889092664585753,nan,nan,nan,0,11,-0.20944624925004193,true,false,0,amplification,0.058472854680024659,late-rate,0.040000000000000001,0.5,5,0.10000000000000001,1.1590942161403857,1.3416538800874231,1.245431268763292
