resolution,grid,cutoff,sampling_grid,snapshot,time,energy,enstrophy,palinstrophy,h_half,l3_sample,vorticity_sample,vorticity_fourier_upper_bound,k_rms,stretching,viscous_destruction,net_enstrophy_rate,production_to_dissipation,cutoff_fraction
coarse,32,10,64,0,0,9.9999999999999893,52.810902543333583,430.24552424521698,6.5766066580505997,6.1859677658601022,82.408614244446369,147.17676756374161,2.2980622825183317,249.74653979484202,17.209820969808678,232.53671882503335,14.511861583741883,0
coarse,32,10,64,1,0.0074999999999999997,9.9838671951422633,54.831384144878093,467.75625037760597,6.6295886334309104,6.1950191198014855,83.770881038613837,164.09350191713659,2.3435013438387702,323.43826408509346,18.71025001510424,304.72801406998923,17.286688516935431,7.2358635954883705e-11
coarse,32,10,64,2,0.014999999999999999,9.9670505252479327,57.358213532307985,519.44200442057218,6.6932678092128883,6.2023547034889832,86.136415111998971,182.73172406807527,2.3989128915299305,388.27781427923469,20.777680176822887,367.50013410241178,18.687255313148544,5.2625523077945205e-09
coarse,32,10,64,3,0.022499999999999999,9.9494087510741274,60.320307225794949,585.57505334099937,6.7650864405311326,6.2072774669064028,89.274308391365409,203.82693233458482,2.4622556107537719,444.29135896716338,23.423002133639976,420.86835683352342,18.968164560300952,7.0271641449686791e-08
coarse,32,10,64,4,0.029999999999999999,9.9308216391995305,63.649721016807483,667.45676345058155,6.8424921435457646,6.2091379618643883,93.083383033262933,228.37603545242078,2.5316616405491748,492.35176177635526,26.698270538023262,465.65349123833198,18.441335406919169,4.8320056907672672e-07
coarse,32,10,64,5,0.037499999999999999,9.9111881350337114,67.287420555922779,767.77149742775168,6.9231199776762971,6.2073814427495915,97.396792197089852,256.90562480176561,2.6055780082670967,534.08860633400388,30.710859897110069,503.3777464368938,17.390871116059575,2.3453772126930677e-06
coarse,32,10,64,6,0.044999999999999998,9.8904229897387772,71.187604572330031,891.01833668938468,7.0049234116805472,6.2015762888730093,102.1048994408274,289.82013767931738,2.6828399009534776,571.63072285129601,35.640733467575387,535.98998938372063,16.038691329720933,9.0249907438360469e-06
coarse,32,10,64,7,0.052499999999999998,9.8684524521155712,75.319448118543775,1043.8809250945562,7.086239653910944,6.1914277370473032,107.2254608167279,327.19786387492456,2.7626701681470061,607.21231556285477,41.755237003782248,565.45707855907256,14.542183427383076,2.8725097406058012e-05
coarse,32,10,64,8,0.059999999999999998,9.8452099386338396,79.665386008223464,1235.1885087510382,7.1657911787458035,6.1767957602886794,112.88305310775827,368.7300480032701,2.8446074405736983,642.66957689813194,49.407540350041529,593.26203654809046,13.00752015471646,7.7214350563532979e-05
fine,64,21,64,0,0,9.9999999999999893,52.810902543333583,430.24552424521698,6.5766066580505997,6.1859677658601022,82.408614244446369,147.17676756374161,2.2980622825183317,249.74653979484276,17.209820969808678,232.53671882503409,14.511861583741926,0
fine,64,21,64,1,0.0074999999999999997,9.983867195141805,54.831384148785972,467.75625145550862,6.6295886334546097,6.1950191062086288,83.77077558939574,164.09903824597376,2.3435013439223353,323.43826742524243,18.710250058220346,304.72801736702206,17.286688655619535,3.9384916514629073e-22
fine,64,21,64,2,0.014999999999999999,9.9670505252200101,57.358213876599144,519.44210555950588,6.6932678111927917,6.2023545906286097,86.137156727313254,182.7970134160027,2.3989128987329962,388.27797064497565,20.777684222380234,367.50028642259542,18.687259200269796,1.6542095479717442e-17
fine,64,21,64,3,0.022499999999999999,9.9494087504500914,60.3203127056507,585.57681687545062,6.7650864699558744,6.2072780315764158,89.276617502586376,204.14159937722135,2.4622557226739645,444.29315326123134,23.423072675018027,420.87008058621331,18.968184039111744,9.6423214088901143e-15
fine,64,21,64,4,0.029999999999999999,9.9308216327119307,63.649766513350421,667.47296504646567,6.8424923701355622,6.2091453825710659,93.062616277346649,229.41841888715993,2.5316625461863032,492.36405523408223,26.698918601858626,465.66513663222361,18.441348227482393,8.0816696184689773e-13
fine,64,21,64,5,0.037499999999999999,9.9111880900026375,67.287689689483145,767.87740235026104,6.9231212108400468,6.207418210156133,97.243732272986833,259.69307777119661,2.605583225024938,534.15210236189614,30.715096094010441,503.43700626788569,17.390539841614164,2.1692120088797458e-11
fine,64,21,64,6,0.044999999999999998,9.8904227486423579,71.188868415381634,891.56520482487701,7.0049287035715828,6.2017009469597788,101.55005231222718,296.25379583622396,2.6828637487088085,571.89684526559608,35.66260819299508,536.23423707260099,16.036315744789782,2.8396703646758434e-10
fine,64,21,64,7,0.052499999999999998,9.8684513909994358,75.324387308697027,1046.2161821969107,7.0862585405300393,6.1917628903651165,105.77686938864115,340.45842729083472,2.7627608983966372,608.14899324107751,41.848647287876432,566.30034595320103,14.532106355974342,2.4453705844044753e-09
fine,64,21,64,8,0.059999999999999998,9.8452059713828088,79.681835380497205,1243.6344554466734,7.1658488313966888,6.1775492685534061,110.83633154427862,393.64431346230811,2.844901677013572,645.47988321002379,49.745378217866936,595.73450499215687,12.975675456382161,1.7425621797617788e-08
