resolution,grid,cutoff,sampling_grid,snapshot,time,energy,enstrophy,palinstrophy,h_half,l3_sample,vorticity_sample,vorticity_fourier_upper_bound,k_rms,stretching,viscous_destruction,net_enstrophy_rate,production_to_dissipation,cutoff_fraction
coarse,32,10,128,0,0,9.9999999999999893,52.810902543333583,430.24552424521698,6.5766066580505997,6.1859677597668909,82.553113503527356,147.17676756374161,2.2980622825183317,249.74653979484202,17.209820969808678,232.53671882503335,14.511861583741883,0
coarse,32,10,128,1,0.0037499999999999999,9.9920094194637592,53.75344976395079,447.21322205563888,6.6016059994103058,6.1906639986953884,83.225786039607229,155.45674998425204,2.3194058773656736,287.66899514250673,17.888528882225554,269.78046626028117,16.081199132497762,1.068486975848561e-12
coarse,32,10,128,2,0.0074999999999999997,9.9838671951423024,54.831384144875393,467.75625037752468,6.6295886334308509,6.1950190561800467,84.071667745398855,164.09350191702586,2.343501343838708,323.43826408489173,18.710250015100989,304.72801406979073,17.286688516927654,7.2358636408949846e-11
coarse,32,10,128,3,0.01125,9.9755536723415599,56.035950069297861,491.83094573710588,6.6602486897815849,6.1989452927265223,85.10039793776653,173.16051076775886,2.3700901479324865,356.98250215108897,19.673237829484236,337.3092643216047,18.145589721691877,8.7602724983012613e-10
coarse,32,10,128,4,0.014999999999999999,9.967050525248025,57.358213532299622,519.44200442028352,6.6932678092127347,6.2023545536871758,86.32021693511733,182.73172406780236,2.3989128915297444,388.27781427887152,20.777680176811341,367.5001341020602,18.687255313141449,5.2625523137519729e-09
coarse,32,10,128,5,0.018749999999999999,9.9583407702627653,58.789243934025926,550.64903319813402,6.7283216657866873,6.2051599065594498,87.761414781165726,192.9066501518223,2.4297156201173551,417.35299820412911,22.025961327925362,395.32703687620375,18.9482307714303,2.1631333078946995e-08
coarse,32,10,128,6,0.022499999999999999,9.949408751074289,60.32030722577877,585.57505334031111,6.7650864405308546,6.2072774278688199,89.374445547614243,203.82693233390518,2.4622556107534219,444.29135896662552,23.423002133612446,420.86835683301308,18.968164560300284,7.0271641471915821e-08
coarse,32,10,128,7,0.026249999999999999,9.94024009465425,61.943058382857423,624.41680915917664,6.803244949119426,6.2086278673018835,91.136688685991359,215.63995697905989,2.4963063704563018,469.22928360112786,24.976672366367065,444.25261123476082,18.786701315463453,1.9491855003919948e-07
coarse,32,10,128,8,0.029999999999999999,9.9308216391997206,63.649721016779679,667.45676344916876,6.8424921435453525,6.2091380553742708,93.083383033247316,228.37603545095934,2.5316616405485979,492.35176177558611,26.698270537966749,465.65349123761939,18.441335406929394,4.8320056911967902e-07
coarse,32,10,128,9,0.033750000000000002,9.9211413367908836,65.433243230206529,715.07657152238505,6.8825397622037583,6.2087419763927665,95.186430224145994,242.11380424238484,2.5681382842900198,513.88529494748877,28.603062860895403,485.28223208659335,17.96609326234239,1.1009550688292495e-06
coarse,32,10,128,10,0.037499999999999999,9.9111881350339708,67.287420555880601,767.77149742505105,6.9231199776757455,6.2073814809639218,97.39679219707935,256.9056247991291,2.6055780082662459,534.08860633292363,30.710859897002042,503.37774643592161,17.390871116085574,2.345377212609876e-06
coarse,32,10,128,11,0.041249999999999995,9.9009518432299171,69.206978106169018,826.1645767456489,6.9639879688467978,6.2050066978863905,99.703662510204268,272.80799319983396,2.6438479148123584,553.24134024086277,33.046583069825957,520.19475717103683,16.74125700293699,4.719481563628349e-06
coarse,32,10,128,12,0.044999999999999998,9.8904229897391716,71.187604572267674,891.01833668441975,7.0049234116798287,6.2015762777269821,102.1048994408565,289.82013767513456,2.6828399009522492,571.63072284984059,35.640733467376791,535.98998938246382,16.038691329769467,9.0249907426106782e-06
coarse,32,10,128,13,0.048750000000000002,9.8795926783084091,73.225930953885566,963.24072096355633,7.0457309375898296,6.1970576734920151,104.60734302775208,307.94871054467785,2.7224689236186856,589.5361766271094,38.529628838542251,551.0065477885671,15.300852730701109,1.6463170203448433e-05
coarse,32,10,128,14,0.052499999999999998,9.8684524521161183,75.319448118456975,1043.8809250857864,7.086239653910086,6.1914277177244736,107.2254608168415,327.19786386898278,2.7626701681453376,607.21231556106977,41.755237003431461,565.45707855763828,14.542183427462497,2.8725097400302095e-05
coarse,32,10,128,15,0.056249999999999994,9.8569941749411711,77.466361119454888,1134.1107459042307,7.1263018647890641,6.1846737884024172,109.97976372938921,347.48650334248038,2.803395217180173,624.87165475468305,45.364429836169229,579.50722491851377,13.774484921586527,4.8047700811714666e-05
coarse,32,10,128,16,0.059999999999999998,9.845209938634552,79.665386008106481,1235.1885087363739,7.1657911787448256,6.1767957837443088,112.88768098950797,368.73004799551256,2.8446074405715067,642.66957689629271,49.407540349454962,593.26203654683775,13.00752015483366,7.7214350546067173e-05
fine,64,21,128,0,0,9.9999999999999893,52.810902543333583,430.24552424521698,6.5766066580505997,6.1859677597668909,82.553113503527356,147.17676756374161,2.2980622825183317,249.74653979484276,17.209820969808678,232.53671882503409,14.511861583741926,0
fine,64,21,128,1,0.0037499999999999999,9.9920094194636722,53.753449764001772,447.21322206971689,6.6016059994105882,6.1906639977800459,83.225788124986991,155.45731801739905,2.3194058773667834,287.66899522834876,17.888528882788677,269.78046634556006,16.081199136790254,1.6241769018159075e-26
fine,64,21,128,2,0.0074999999999999997,9.9838671951418601,54.831384148783236,467.75625145542875,6.6295886334545528,6.1950190425902969,84.071886202876712,164.09903824592294,2.3435013439222705,323.43826742503933,18.710250058217152,304.7280173668222,17.286688655611631,3.9384859784965233e-22
fine,64,21,128,3,0.01125,9.9755536723380693,56.035950121591632,491.83096055220199,6.6602486900914863,6.198945236173901,85.101673486701571,173.18331480216821,2.3700901490388069,356.98253285241617,19.67323842208808,337.30929443032807,18.145590735667337,1.8762904354864489e-19
fine,64,21,128,4,0.014999999999999999,9.9670505252201078,57.358213876590938,519.44210555921575,6.6932678111926407,6.202354440910506,86.32395843655182,182.79701341593596,2.3989128987328128,388.2779706446097,20.777684222368631,367.50028642224106,18.68725920026262,1.6542097580991981e-17
fine,64,21,128,5,0.018749999999999999,9.9583407701119171,58.789245478403991,550.6495069408561,6.7283216743768515,6.2051598662733243,87.767838043911581,193.05954038857257,2.4297156520497545,417.35357981237519,22.025980277634243,395.32759953474095,18.948240875170807,5.5189757705029692e-16
fine,64,21,128,6,0.022499999999999999,9.949408750450246,60.320312705634727,585.57681687474974,6.7650864699556035,6.2072779928715809,89.38314795635111,204.14159937691224,2.4622557226736195,444.29315326068746,23.423072674989989,420.87008058569745,18.968184039111229,9.6423223699382231e-15
fine,64,21,128,7,0.026249999999999999,9.9402400925058298,61.943075051121859,624.42245022278064,6.8032450353916989,6.2086304169753035,91.141524493091467,216.23206503677457,2.4963067065917262,469.23418809104157,24.976898008911228,444.25729008213034,18.786727956515207,1.0549213400711573e-13
fine,64,21,128,8,0.029999999999999999,9.9308216327120977,63.649766513322213,667.47296504503777,6.8424923701351448,6.2091454773280006,93.062616277305025,229.41841888592742,2.531662546185721,492.36405523330438,26.698918601801513,465.66513663150289,18.441348227492707,8.0816699671877996e-13
fine,64,21,128,9,0.033750000000000002,9.9211413190266136,65.433357633672259,715.1194181982404,6.8825403093060098,6.2087595874378172,95.121416744309769,243.85500239112002,2.5681405316543864,513.91406350998977,28.604776727929618,485.30928678206016,17.966022542249235,4.6807424635948344e-12
fine,64,21,128,10,0.037499999999999999,9.9111880900029004,67.287689689440171,767.87740234750049,6.9231212108394882,6.2074182502863495,97.24373227293303,259.6930777677232,2.6055832250240716,534.15210236079963,30.715096093900019,503.43700626689963,17.390539841640983,2.169212034446671e-11
fine,64,21,128,11,0.041249999999999995,9.9009517361348607,69.207576190860479,826.41154659995175,6.9639905898522629,6.2050767994385545,99.396223517819962,277.11058179655282,2.6438593531149008,553.37441318076742,33.056461863998074,520.31795131676938,16.740279569467468,8.4147002118728015e-11
fine,64,21,128,12,0.044999999999999998,9.8904227486427345,71.188868415319789,891.56520481968562,7.0049287035708527,6.2017009351465839,101.5500523121797,296.25379582840151,2.6828637487075921,571.89684526406973,35.662608192787424,536.23423707128234,16.036315744840358,2.839670359497276e-10
fine,64,21,128,13,0.048750000000000002,9.8795921612723827,73.22848264213863,964.39583853860859,7.0457411446851275,6.1972671208204284,103.68236960115296,317.30063564963058,2.7225164290894566,590.04579954674239,38.575833541544341,551.4699660051981,15.295736874001467,8.6358157648509982e-10
fine,64,21,128,14,0.052499999999999998,9.8684513909999616,75.324387308611037,1046.2161821875397,7.0862585405291947,6.1917628702084846,105.88002518072344,340.45842727673426,2.7627608983949865,608.14899323914221,41.848647287501592,566.30034595164057,14.532106356058261,2.4453705731437537e-09
fine,64,21,128,15,0.056249999999999994,9.8569920837492191,77.475548817870987,1138.6405572021556,7.1263354828862893,6.1851869267773436,108.29879536022379,365.85458333456739,2.803561754381267,626.52617108461766,45.545622288086228,580.98054879653148,13.756012973578443,6.623834835606445e-09
fine,64,21,128,16,0.059999999999999998,9.8452059713834625,79.681835380387326,1243.6344554304349,7.1658488313957562,6.1775492961540257,110.98631607979431,393.64431344058426,2.8449016770115159,645.4798832078211,49.745378217217393,595.73450499060368,12.975675456507311,1.7425621747984863e-08
