resolution,grid,cutoff,sampling_grid,snapshot,time,energy,enstrophy,palinstrophy,h_half,l3_sample,vorticity_sample,vorticity_fourier_upper_bound,k_rms,stretching,viscous_destruction,net_enstrophy_rate,production_to_dissipation,cutoff_fraction
coarse,32,10,64,0,0,9.9999999999999929,47.589867445258427,356.41179938367952,6.4108264101366483,6.0460474995026345,69.8670088161699,145.01898367729987,2.181510198125566,147.3899408061362,14.256471975347182,133.13346883078901,10.338458284841321,0
coarse,32,10,64,1,0.01,9.980660248520854,49.199656330022464,386.13356572365655,6.4535975519802395,6.0525569994778801,72.776392239456442,162.91136032292502,2.2202475451789097,203.02398108001762,15.445342628946262,187.57863845107136,13.144673184493069,1.172726884087604e-10
coarse,32,10,64,2,0.02,9.960572782638879,51.315491292605735,429.77298077288111,6.5076154768832275,6.0548289609208972,75.88470406007113,183.64180496915472,2.2697712407907931,251.46150207173898,17.190919230915245,234.27058284082372,14.627577425849564,1.161337599786349e-08
coarse,32,10,64,3,0.029999999999999999,9.9395508114908022,53.859357583133502,488.06998340974798,6.5699250465382626,6.0523250895186642,79.268603126624782,208.17047173079249,2.327808262625092,292.80818335166435,19.522799336389919,273.28538401527442,14.998268348017007,1.945846516537557e-07
coarse,32,10,64,4,0.040000000000000001,9.9174379026483503,56.759205907991493,563.37303110308449,6.6376162794944653,6.0447227214866528,83.345192543235754,237.26263782909172,2.3923152596746613,328.26426371744634,22.534921244123378,305.72934247332296,14.566914175617569,1.5618610001503579e-06
coarse,32,10,64,5,0.050000000000000003,9.894103644105412,59.958279237584932,660.46119645043916,6.708090900959534,6.0319086443199348,87.943845358596121,271.36002307378067,2.4617069539994074,359.89899023263303,26.418447858017569,333.48054237461548,13.623017982239617,8.3624104042993311e-06
coarse,32,10,64,6,0.059999999999999998,9.8694363325732883,63.420089329303565,787.17277724029589,6.7792283378719835,6.0139501033948592,93.719439028073296,310.42218448161896,2.5349374634688564,390.07906262369607,31.486911089611837,358.59215153408422,12.388610032706287,3.3743417946591979e-05
coarse,32,10,64,7,0.070000000000000007,9.8433350352615001,67.126216742295156,953.97731793909088,6.8494308191210385,5.9910771922974764,99.764325390050431,353.90913271124151,2.6114093321241589,420.64523830143605,38.159092717563638,382.48614558387243,11.023460159675757,0.00010734698194257757
coarse,32,10,64,8,0.080000000000000002,9.815704126801613,71.066412071864562,1171.6001383314683,6.9175691592356454,5.9637196758393838,105.25092333264082,401.011002391462,2.6907383299616572,452.18511666417538,46.864005533258734,405.32111113091662,9.6488789534489516,0.00027620578458888297
fine,64,21,64,0,0,9.9999999999999929,47.589867445258427,356.41179938367952,6.4108264101366483,6.0460474995026345,69.8670088161699,145.01898367729987,2.181510198125566,147.38994080613659,14.256471975347182,133.13346883078941,10.33845828484135,0
fine,64,21,64,1,0.01,9.9806602485203477,49.199656333240881,386.13356670666064,6.4535975519983726,6.0525570032851279,72.776045541321025,162.91840970913708,2.2202475452515853,203.02398338313967,15.445342668266425,187.57864071487325,13.1446733001442,2.1722074697018628e-21
fine,64,21,64,2,0.02,9.9605727825884607,51.315491830407218,429.77316197235103,6.5076154797075176,6.0548291790098512,75.878002384477497,183.75071495597041,2.2697712526904734,251.4617185548984,17.190926478894042,234.27079207600434,14.627583851494425,1.613450092836426e-16
fine,64,21,64,3,0.029999999999999999,9.9395508096472014,53.859371690701224,488.07517023982354,6.5699251164576822,6.0523278841740611,79.228716047607946,208.80048490082953,2.3278085677063869,292.81231645736221,19.523006809592943,273.2893096477693,14.998320664083577,1.3319625405747346e-13
fine,64,21,64,4,0.040000000000000001,9.9174378751008749,56.759371444467135,563.4395704196769,6.6376170496001183,6.044741180273256,83.193874706410043,239.60781404018616,2.3923187515515481,328.30320156307101,22.537582816787076,305.76561874628396,14.566921583025088,1.4799895765931149e-11
fine,64,21,64,5,0.050000000000000003,9.8941034004700139,59.95948655268667,660.99309778555357,6.7080961094414828,6.0319889527038457,87.447465260155312,278.03607227667931,2.46173176855075,360.13820904926297,26.439723911422142,333.69848513784081,13.621103240555428,5.1320866022702577e-10
fine,64,21,64,6,0.059999999999999998,9.8694348245298222,63.426413610501008,790.21483079870814,6.7792534803240709,6.0142072911575761,93.379929676315427,326.12084505505294,2.5350640465753891,391.16091997669309,31.608593231948326,359.55232674474479,12.375144857169028,8.6342973064443262e-09
fine,64,21,64,7,0.070000000000000007,9.8433279114702863,67.151778177053743,967.30169552179586,6.8495244615999233,5.9917183615827456,102.10396331177635,385.79309912566322,2.6119074378314626,424.45188608863458,38.692067820871834,385.75981826776274,10.969997469602042,9.1099804471018801e-08
fine,64,21,64,8,0.080000000000000002,9.8156772126882146,71.149002655299569,1217.9764161917044,6.9178478722018095,5.9649969238478082,112.12244297634521,458.54222156693908,2.6923051020570345,462.86107239112602,48.719056647668175,414.14201574345782,9.5006164782396247,6.7104477429210695e-07
