step,time,time_step,max_coefficient_difference,relative_state_l2_difference,max_diagnostic_scaled_difference,internal_energy,fftw_energy,internal_enstrophy,fftw_enstrophy,internal_critical_h_half,fftw_critical_h_half,internal_critical_l3,fftw_critical_l3,internal_vorticity_max,fftw_vorticity_max,internal_cutoff_fraction,fftw_cutoff_fraction,internal_divergence_defect,fftw_divergence_defect,internal_reality_defect,fftw_reality_defect,internal_cfl_bound,fftw_cfl_bound,viscous_stability_number
0,0,0,0,0,7.3451161256439795e-16,9.9999999999999929,9.9999999999999929,47.589867445258427,47.589867445258427,6.4108264101366483,6.4108264101366483,6.0460474995026345,6.0460474995026301,69.8670088161699,69.867008816169871,0,0,1.3947004136484323e-16,1.3947004136484323e-16,0,0,0,0,0
40,0.0050000000000000036,0.000125,7.1140704428991777e-17,1.0702686523523487e-16,8.8086863802686748e-16,9.9904106916255877,9.9904106916255877,48.326682509963391,48.326682509963376,6.4306281466204585,6.4306281466204585,6.0497902730852005,6.0497902730851951,71.306857404148317,71.306857404148303,4.9792067220212794e-26,4.9792079258016484e-26,4.5060089257237868e-16,4.4845873215117254e-16,5.6850252311883637e-17,0,0.25686449504632469,0.25686449504632469,0.0033075000000000005
80,0.010000000000000007,0.000125,1.5218182408308987e-16,2.040907452843331e-16,7.3372164790686923e-16,9.9806602485203477,9.9806602485203477,49.199656333240881,49.199656333240881,6.4535975519983726,6.4535975519983726,6.0525570032851279,6.0525570032851235,72.776045541321025,72.776045541321025,2.1722074697237537e-21,2.1722075068999208e-21,5.8698285072979475e-16,6.1380782446198336e-16,1.1555459103366105e-16,0,0.26469402875581249,0.26469402875581238,0.0033075000000000005
120,0.015000000000000012,0.000125,2.0881632514519133e-16,2.9762183014169313e-16,4.4010906286852134e-16,9.9707223897768564,9.9707223897768564,50.199210525317874,50.199210525317874,6.4793828323560048,6.4793828323560039,6.0542612818140986,6.054261281814096,74.294963431497933,74.294963431497905,1.448839931404674e-18,1.4488399339079933e-18,9.4575367534154577e-16,9.7265869498587224e-16,1.2704999152457871e-16,0,0.27287931531445719,0.27287931531445708,0.0033075000000000005
160,0.020000000000000014,0.000125,2.7117099290396945e-16,3.8099876359419184e-16,5.8675704528818404e-16,9.9605727825884607,9.9605727825884607,51.315491830407218,51.315491830407204,6.5076154797075176,6.5076154797075176,6.0548291790098503,6.0548291790098467,75.878002384477512,75.878002384477483,1.6134500928384743e-16,1.6134500932641278e-16,9.7500718999889417e-16,9.7392017003998522e-16,1.2794688166302258e-16,0,0.28146960436183444,0.28146960436183455,0.0033075000000000005
200,0.025000000000000019,0.000125,3.1824050616479008e-16,4.7964276969914249e-16,7.3352250891282284e-16,9.9501890661933441,9.9501890661933459,52.538688663025141,52.538688663025155,6.5379202579478175,6.5379202579478166,6.054200170465954,6.0542001704659496,77.526905212378153,77.526905212378125,6.4858874202896617e-15,6.485887420610381e-15,8.3831487921120804e-16,8.6321625070628831e-16,1.3004642372687692e-16,0,0.29051779563292413,0.29051779563292413,0.0033075000000000005
240,0.030000000000000023,0.000125,3.7458781815585322e-16,5.656498712406915e-16,5.8699953915093062e-16,9.9395508096471996,9.9395508096472032,53.859371690701238,53.859371690701209,6.5699251164576822,6.5699251164576813,6.0523278841740611,6.0523278841740575,79.228716047607975,79.228716047607946,1.3319625405747672e-13,1.3319625405880453e-13,9.9923836736226049e-16,9.7392017003998522e-16,1.4262760966092848e-16,0,0.30007270839169381,0.3000727083916937,0.0033075000000000005
280,0.035000000000000024,0.000125,3.9764160802686639e-16,6.4191366325438773e-16,8.7640082201672404e-16,9.9286394014864996,9.9286394014864996,55.268829425415696,55.268829425415682,6.603270436542843,6.603270436542843,6.0491805683362649,6.0491805683362605,81.075087780616116,81.075087780616045,1.6866290229064041e-12,1.6866290229097268e-12,9.4623719602730997e-16,9.4623719602730997e-16,1.6702513634481165e-16,0,0.31018028768270606,0.310180287682706,0.0033075000000000005
320,0.040000000000000029,0.000125,4.7772659378549095e-16,7.2762802274384195e-16,8.5408058978812434e-16,9.9174378751008732,9.9174378751008749,56.759371444467149,56.759371444467128,6.6376170496001192,6.6376170496001174,6.044741180273256,6.0447411802732516,83.193874706410057,83.193874706409986,1.4799895765931414e-11,1.4799895765935938e-11,1.1102243798770449e-15,9.9922481525378091e-16,1.8924592858334575e-16,0,0.32088172992915936,0.32088172992915898,0.0033075000000000005
360,0.045000000000000033,0.000125,4.8273960192929641e-16,8.0587441249137934e-16,8.8244152005505886e-16,9.9059306784935046,9.9059306784935082,58.324578495078015,58.324578495078001,6.672652610739549,6.6726526107395481,6.0390070016971213,6.039007001697116,85.331403078999756,85.331403078999728,9.7557864988652024e-11,9.7557864988650603e-11,1.2212502552694219e-15,1.1102569054260746e-15,1.995704930925535e-16,0,0.3322212144113062,0.33222121441130603,0.0033075000000000005
400,0.050000000000000037,0.000125,5.0698833147679828e-16,8.8717212296430468e-16,8.8346821587131547e-16,9.8941034004700139,9.8941034004700086,59.959486552686677,59.959486552686656,6.7080961094414828,6.7080961094414828,6.0319889527038457,6.0319889527038404,87.44746526015534,87.447465260155269,5.132086602270327e-10,5.1320866022700447e-10,1.1102230246251565e-15,9.9929709104188924e-16,2.2165165745872345e-16,0,0.34425281663372442,0.34425281663372415,0.0033075000000000005
440,0.054972081047005496,0.00012255325268396136,5.7035217600107089e-16,9.7124334576421371e-16,1.102829183332475e-15,9.8820113219197321,9.8820113219197285,61.65101851373111,61.651018513731074,6.7435016416726263,6.7435016416726272,6.0237602971166817,6.0237602971166773,90.200716946773568,90.200716946773468,2.2414134664402663e-09,2.2414134664401442e-09,1.1105699151271772e-15,1.1110033759434665e-15,2.428857767546083e-16,0,0.34999999999999998,0.34999999999999998,0.0032427590660176172
480,0.059784494315829391,0.00011821265393865202,6.7190030214796044e-16,1.0700755582003971e-15,1.2337955803933417e-15,9.8699812408359175,9.8699812408359175,63.348987608379353,63.348987608379275,6.7777246788097063,6.7777246788097054,6.0146415764772723,6.0146415764772687,93.244367228268644,93.244367228268572,8.1699881314485806e-09,8.1699881314481703e-09,1.1658167788096346e-15,1.1677974968377872e-15,2.7315324821268378e-16,0,0.34999999999999998,0.34999999999999948,0.0031279068232167324
520,0.064427804202882341,0.00011409300207412261,7.9310069968250013e-16,1.1525395501455358e-15,1.9137050822049268e-15,9.8580587626136555,9.8580587626136644,65.043683912335055,65.043683912335013,6.8105510572397074,6.8105510572397057,6.0048053205788614,6.0048053205788579,96.535831469273006,96.535831469272821,2.5715567609094687e-08,2.5715567609093429e-08,1.3323399077344022e-15,1.2779626727101132e-15,3.007204719653153e-16,0,0.34999999999999998,0.34999999999999931,0.003018900834881284
560,0.068910972459024916,0.00011020072118444973,7.9310069968250013e-16,1.2210970718358675e-15,1.5475303091897332e-15,9.8462439900885581,9.8462439900885581,66.733275803845189,66.733275803845103,6.8419510492296727,6.8419510492296727,5.9943824802342123,5.9943824802342087,101.01217464947025,101.0121746494701,7.1780758312695919e-08,7.1780758312692928e-08,1.3325567187647329e-15,1.336885555457667e-15,3.1212129946778626e-16,0,0.34999999999999992,0.34999999999999981,0.0029159110825405397
600,0.073243058796735303,0.00010653163512500099,7.9491987945544047e-16,1.2875850861846827e-15,1.3488066554039823e-15,9.8345350608086743,9.8345350608086726,68.417193553487124,68.417193553487095,6.8719344772203623,6.8719344772203614,5.983489565930971,5.9834895659309666,105.35872327042824,105.3587232704281,1.8076460937386113e-07,1.8076460937385433e-07,1.2232150153568437e-15,1.2276156489239667e-15,3.2773351432038032e-16,0,0.34999999999999992,0.34999999999999981,0.0028188270654075265
640,0.077432825332085953,0.00010307853762759113,8.238957894072301e-16,1.3674721543009491e-15,1.1673885178978617e-15,9.8229290361740151,9.8229290361740258,70.09556255204366,70.095562552043631,6.900536356238721,6.9005363562387227,5.9722294478736249,5.9722294478736222,109.55880623798305,109.55880623798292,4.1526968857812351e-07,4.1526968857810906e-07,1.3325567187647329e-15,1.3348671786163112e-15,3.694101906212386e-16,0,0.34999999999999992,0.34999999999999942,0.0027274581056260612
666,0.080000000000000002,1.7057300093284433e-05,8.4214330356393366e-16,1.4091649512705237e-15,1.2674406959006549e-15,9.8156772126882146,9.8156772126882128,71.149002655299483,71.149002655299427,6.9178478722018113,6.9178478722018104,5.9649969238478109,5.9649969238478056,112.12244297634487,112.12244297634473,6.7104477429133901e-07,6.7104477429131847e-07,1.3329179921125024e-15,1.3358046614212626e-15,3.7136636001139418e-16,0,0.059141347725168832,0.05914134772516879,0.00045133616046830611
