step,time,time_step,max_coefficient_difference,relative_state_l2_difference,max_diagnostic_scaled_difference,internal_energy,fftw_energy,internal_enstrophy,fftw_enstrophy,internal_critical_h_half,fftw_critical_h_half,internal_critical_l3,fftw_critical_l3,internal_vorticity_max,fftw_vorticity_max,internal_cutoff_fraction,fftw_cutoff_fraction,internal_divergence_defect,fftw_divergence_defect,internal_reality_defect,fftw_reality_defect,internal_cfl_bound,fftw_cfl_bound,viscous_stability_number
0,0,0,0,0,4.4070694027078225e-16,9.9999999999999929,9.9999999999999929,47.589867445258427,47.589867445258427,6.4108264101366483,6.4108264101366483,6.0460478735896741,6.0460478735896768,69.664378087724259,69.664378087724273,0,0,1.3947004136484323e-16,1.3947004136484323e-16,0,0,0,0,0
10,0.0036462233995672526,0.00036108455679072351,6.2210156414360785e-17,5.9293207645904348e-17,2.0135573998676085e-16,9.9930218114537972,9.9930218114537972,48.113354263634669,48.113354263634669,6.42493983489664,6.42493983489664,6.0488696884378967,6.0488696884378976,70.575860991776864,70.575860991776878,2.0558151468257174e-13,2.0558151468309373e-13,1.4488835837920476e-16,1.6711069443220838e-16,5.7219584981527968e-17,0,0.34999999999999992,0.34999999999999992,0.002166507340744341
20,0.0072148786523845935,0.00035345410591284594,1.445244342662762e-16,1.0535570146584791e-16,3.9750284198214327e-16,9.9861129656664058,9.9861129656664041,48.697148861562134,48.697148861562134,6.4404326014878848,6.4404326014878848,6.051141998672585,6.0511419986725867,71.500644595846097,71.500644595846126,1.4544733501698759e-11,1.4544733501706888e-11,1.6883057536160649e-16,1.5328517645723046e-16,1.1527756336890508e-16,0,0.34999999999999992,0.34999999999999998,0.0021207246354770755
30,0.010708662279570944,0.00034608035856057703,1.6714670578796142e-16,1.4107997473187549e-16,2.9347370326120013e-16,9.9792637148687025,9.9792637148687025,49.333853199221458,49.333853199221458,6.4570892912123563,6.4570892912123563,6.052865451523064,6.0528654515230658,72.637734545413295,72.637734545413295,1.8268528751885247e-10,1.8268528751889476e-10,3.0531133177191805e-16,1.9478403400799703e-16,1.1610990315520314e-16,0,0.34999999999999998,0.34999999999999998,0.0020764821513634623
40,0.014130017990384176,0.00033894204212812131,1.7723067930451708e-16,1.7682201302748709e-16,2.9341651492995751e-16,9.9724660989427569,9.9724660989427569,50.016625130428217,50.016625130428217,6.474709910737575,6.474709910737575,6.0540451849627148,6.0540451849627166,73.774509025197162,73.774509025197162,1.1246152696792957e-09,1.1246152696794278e-09,3.0657035291446092e-16,2.7833528704240246e-16,1.1714201148076235e-16,0,0.34999999999999998,0.34999999999999998,0.0020336522527687278
50,0.017481205925134535,0.00033202219383329909,2.2366499570889152e-16,2.1290621610917658e-16,4.4007788226734355e-16,9.9657136437823155,9.9657136437823155,50.739181593248965,50.739181593248951,6.493110482372626,6.493110482372626,6.0546902411280286,6.0546902411280312,74.89431925146755,74.89431925146755,4.6624435996286172e-09,4.6624435996289605e-09,3.1031676915590914e-16,3.9252311467094378e-16,1.1719337829379044e-16,0,0.34999999999999987,0.34999999999999992,0.0019921331629997947
60,0.020764323912693148,0.00032530567628344045,2.4484962807101311e-16,2.508911342025951e-16,4.4006895838626162e-16,9.9590011665028726,9.9590011665028708,51.495792916847535,51.495792916847542,6.5121231837188143,6.5121231837188143,6.0548130203758488,6.0548130203758515,76.003638887691594,76.003638887691594,1.5004364676715764e-08,1.5004364676716479e-08,4.1725779438208954e-16,5.5788016545937291e-16,1.2491213638023616e-16,0,0.34999999999999998,0.34999999999999992,0.0019518340577006428
70,0.02398134657176542,0.00031878231011296708,2.7388801031710864e-16,2.906966111124298e-16,2.933979220300074e-16,9.9523245569924086,9.9523245569924104,52.281277859519115,52.281277859519115,6.5315963522298786,6.5315963522298794,6.0544288354522573,6.0544288354522591,77.105932557340211,77.105932557340211,4.046251632109378e-08,4.046251632109517e-08,5.8352756076098353e-16,7.221785298249066e-16,1.2491213638023616e-16,0,0.34999999999999992,0.34999999999999998,0.0019126938606778027
80,0.027134162301242284,0.00031244494841476506,3.1792801097011056e-16,3.2267031932964766e-16,2.9344025296272085e-16,9.9456805726695521,9.9456805726695521,53.090994895217079,53.090994895217079,6.551394282624309,6.551394282624309,6.0535554391916415,6.0535554391916433,78.202119962245831,78.202119962245831,9.5780014856902283e-08,9.5780014856904943e-08,6.1125314658586724e-16,7.4991435761763681e-16,1.2491213638023616e-16,0,0.34999999999999987,0.34999999999999998,0.0018746696904885904
90,0.030224611660840582,0.00030629029460627576,3.3826774179234289e-16,3.6026252729648365e-16,3.5844651188220321e-16,9.9390666378928767,9.9390666378928749,53.920830004344246,53.920830004344253,6.5713968556485103,6.5713968556485094,6.0522124812893363,6.0522124812893381,79.291354465026217,79.291354465026188,2.0517319806174829e-07,2.0517319806175268e-07,8.8991145241087413e-16,1.055077015130091e-15,1.2491213638023616e-16,0,0.34999999999999981,0.34999999999999998,0.0018377417676376548
