resolution,grid,cutoff,sampling_grid,snapshot,time,energy,enstrophy,palinstrophy,h_half,l3_sample,vorticity_sample,vorticity_fourier_upper_bound,k_rms,stretching,viscous_destruction,net_enstrophy_rate,production_to_dissipation,cutoff_fraction
coarse,16,5,32,0,0,9.9999999999999929,47.589867445258427,356.41179938367952,6.4108264101366483,6.0460478735896741,69.664378087724259,145.01898367729987,2.181510198125566,147.38994080613631,14.256471975347182,133.13346883078913,10.33845828484133,0
coarse,16,5,32,1,0.0074999999999999997,9.9855574005686982,48.745691507774957,377.33047477143521,6.4417239618051347,6.0512893670636352,71.657674012373946,156.57802014547519,2.2094387247098601,189.46713329358926,15.093218990857409,174.37391430273186,12.553129548332757,3.4413960445588177e-05
coarse,16,5,32,2,0.014999999999999999,9.9707233111064131,50.194134830843211,405.81901154916073,6.4793169970380129,6.0542587404766346,74.211729879171017,168.54072417763464,2.2436915591789264,227.31780278930952,16.232760461966429,211.0850423273431,14.003644255203428,0.00014665711168604441
coarse,16,5,32,3,0.022499999999999999,9.9554152001059801,51.899714171263895,441.71344471846828,6.5223559131905962,6.0546880613658152,76.756299013590294,180.85217482389422,2.2832464670595822,260.57239530486737,17.668537788738732,242.90385751612865,14.747818886911316,0.00036592442641634587
coarse,16,5,32,4,0.029999999999999999,9.9395614945593689,53.825181890548549,484.94144419520927,6.5695433245972614,6.0523994359665902,79.29814991514813,193.45342549357127,2.3270683559767256,289.12475789292608,19.397657767808372,269.72710012511772,14.90513758690736,0.00074781658329336087
coarse,16,5,32,5,0.037499999999999999,9.9231018132206259,55.933492809130527,535.51907483727734,6.6196079041785643,6.0473081111271227,81.745335764285002,206.28792010696765,2.3741723692884249,313.12627276373047,21.420762993491095,291.70550977023936,14.617886060308724,0.0013775869613558338
coarse,16,5,32,6,0.044999999999999998,9.9059866407275354,58.189484521668682,593.51995304140917,6.6713688601901238,6.0394009722168551,83.927191057906029,219.34311467603189,2.4236694351386068,332.91529097119763,23.740798121656368,309.17449284954125,14.022919080698982,0.0023660461160529191
coarse,16,5,32,7,0.052499999999999998,9.8881765932694545,60.560873918170252,659.00731550457795,6.7237823054819712,6.0287020055462648,85.646327980239519,232.59581323318875,2.4747877626209207,348.90844887952187,26.360292620183117,322.54815625933873,13.236137166867994,0.0038376161398943733
coarse,16,5,32,8,0.059999999999999998,9.8696415054347284,63.018463811444441,731.9398582975158,6.7759657272309006,6.0152404101371824,86.73125193955579,245.94953491132381,2.5268718488011621,361.49950166289221,29.277594331900634,332.2219073309916,12.347308920426062,0.0059130628837709507
fine,32,10,32,0,0,9.9999999999999929,47.589867445258427,356.41179938367952,6.4108264101366483,6.0460478735896741,69.664378087724259,145.01898367729987,2.181510198125566,147.3899408061362,14.256471975347182,133.13346883078901,10.338458284841321,0
fine,32,10,32,1,0.0074999999999999997,9.9855572994228101,48.746738355567629,377.4021126930736,6.4417383709861005,6.0513016372133546,71.576054802620959,158.21228725716404,2.2094624603929254,189.77092252479849,15.096084507722944,174.67483801707556,12.570870441783388,1.859673724567606e-11
fine,32,10,32,2,0.014999999999999999,9.9707223897818587,50.199210465000455,406.19624849824834,6.4793828320282376,6.0542620569921786,74.064311664828409,172.85803863835827,2.2438051010961373,228.16134742071432,16.247849939929935,211.91349748078437,14.042556292940395,1.6722951844424363e-09
fine,32,10,32,3,0.022499999999999999,9.9554115093819266,51.914326770309629,442.91481928126251,6.5225322863608168,6.0546686511311201,76.596348151405536,189.38473337211366,2.2835682969061786,262.43437697738767,17.7165927712505,244.71778420613717,14.812914670774143,2.603951194610874e-08
fine,32,10,32,4,0.029999999999999999,9.9395508114909621,53.859357583121223,488.0699834091036,6.5699250465380876,6.0523264957627294,79.211728611756996,208.17047172977749,2.3278082626248078,292.80818335133705,19.522799336364145,273.28538401497292,14.998268348020042,1.9458465167216124e-07
fine,32,10,32,5,0.037499999999999999,9.9230759200549485,56.004304110212225,542.74094651306712,6.6203383477288673,6.0471111274346532,81.903626582938941,229.52861081364782,2.3756778339523046,319.84989497851063,21.709637860522687,298.14025711798797,14.733082929961405,9.714144118182351e-07
fine,32,10,32,6,0.044999999999999998,9.9059307648257224,58.324109445411295,608.77872304652669,6.672650506703599,6.0389670464530578,84.65314161332897,253.67983666880576,2.4264783124132858,344.40957718023918,24.351148921861068,320.05842825837811,14.143463139476264,3.7620077158573192e-06
fine,32,10,32,7,0.052499999999999998,9.8880658607202587,60.800076819399365,688.98727729091513,6.7258843325610718,6.0278970633432731,88.891855704391318,280.66968476940048,2.4796842798032852,367.49255078669376,27.559491091636605,339.93305969505712,13.334518753077251,1.2140719136817726e-05
fine,32,10,32,8,0.059999999999999998,9.8694363325736738,63.420089329254168,787.17277723478253,6.7792283378715421,6.0139504386734686,93.719439028014349,310.42218447671405,2.5349374634678199,390.07906262288628,31.486911089391302,358.59215153349498,12.388610032767339,3.3743417941399979e-05
