resolution,grid,cutoff,sampling_grid,snapshot,time,energy,enstrophy,palinstrophy,h_half,l3_sample,vorticity_sample,vorticity_fourier_upper_bound,k_rms,stretching,viscous_destruction,net_enstrophy_rate,production_to_dissipation,cutoff_fraction
coarse,16,5,64,0,0,9.9999999999999929,47.589867445258427,356.41179938367952,6.4108264101366483,6.0460474995026345,69.8670088161699,145.01898367729987,2.181510198125566,147.38994080613631,14.256471975347182,133.13346883078913,10.33845828484133,0
coarse,16,5,64,1,0.0037499999999999999,9.9928220687427221,48.129105134513019,365.91122303224404,6.4253640647518884,6.0489326313842051,70.979984079190132,150.74580139349328,2.1946224433954757,168.92451218430418,14.636448921289762,154.28806326301441,11.541359047725804,8.4567820007969301e-06
coarse,16,5,64,2,0.0074999999999999997,9.9855574005745247,48.745691507538204,377.33047476435394,6.4417239618009789,6.0512890782899973,72.094456509557546,156.5780201350714,2.2094387247038498,189.46713327978128,15.093218990574158,174.37391428920711,12.553129547653493,3.4413960374010369e-05
coarse,16,5,64,3,0.01125,9.9781947003478138,49.435489288000916,390.64084380472633,6.4597596403556441,6.0530763026101839,73.221268560763249,162.5122119560217,2.225837379928207,208.94968758484978,15.625633752189053,193.32405383266072,13.372237625598849,7.9525974570395611e-05
coarse,16,5,64,4,0.014999999999999999,9.9707233111185278,50.194134830193903,405.81901152783723,6.4793169970266637,6.0542580083286799,74.370548519126658,168.54072415694736,2.2436915591630511,227.31780276578107,16.232760461113489,211.08504230466758,14.003644254489798,0.00014665711137395668
coarse,16,5,64,5,0.018749999999999999,9.963133244119371,51.017092351154432,422.84720942369205,6.5002365723309099,6.0548031161078546,75.54882715083852,174.65645367695598,2.2628714455011161,244.53267513443407,16.913888376947682,227.61878675748639,14.45750791803221,0.00024012423535658655
coarse,16,5,64,6,0.022499999999999999,9.9554152001247029,51.899714170069046,441.71344467576915,6.5223559131703226,6.0546864087965435,76.857454597168456,180.85217479349879,2.2832464670311525,260.57239527542276,17.668537787030768,242.90385748839199,14.747818886670442,0.00036592442561961621
coarse,16,5,64,7,0.026249999999999999,9.9475605814836232,52.837304340240202,462.41163265784303,6.5455119520688907,6.053888813864118,78.17322864041931,187.12075649152109,2.3046874130861807,275.43239255573582,18.49646530631372,256.93592724942209,14.89108259304645,0.00053190203393679706
coarse,16,5,64,8,0.029999999999999999,9.9395614945851243,53.825181888713978,484.94144412390551,6.5695433245675776,6.052397252920291,79.461710018901968,193.45342545409571,2.3270683559340526,289.12475786047753,19.397657764956222,269.72710009552134,14.905137587426141,0.00074781658163652139
coarse,16,5,64,9,0.033750000000000002,9.9314107431352401,54.858739379650707,509.30768460674756,6.5942925373885428,6.050204093267598,80.706205610717035,199.84269022525535,2.3502682834524982,301.67640925523727,20.372307384269902,281.30410187096737,14.808161076941687,0.0010252850028279069
