family,source_grid,simulation_cutoff,seed_bandwidth,target_energy,kx,ky,kz,ux_real,ux_imag,uy_real,uy_imag,uz_real,uz_imag
wave-packets,16,5,3,10,0,0,1,-0.082096564032918776,0.24929872518424437,0.029929997502511501,-0.085469208100052915,0,0
wave-packets,16,5,3,10,0,0,2,0.0044868162090430852,-0.22407175872807025,-0.015225121030023357,0.19578133693022179,0,0
wave-packets,16,5,3,10,0,0,3,0.008955634515809047,-0.04223204789317863,0.048647598822952012,-0.058236773860186671,0,0
wave-packets,16,5,3,10,0,0,-3,0.008955634515809047,0.04223204789317863,0.048647598822952012,0.058236773860186671,0,0
wave-packets,16,5,3,10,0,0,-2,0.0044868162090430852,0.22407175872807025,-0.015225121030023357,-0.19578133693022179,0,0
wave-packets,16,5,3,10,0,0,-1,-0.082096564032918776,-0.24929872518424437,0.029929997502511501,0.085469208100052915,0,0
wave-packets,16,5,3,10,0,1,0,-0.024436929192556446,-0.29438136181231322,0,0,-0.038329603112403424,0.36661563394766494
wave-packets,16,5,3,10,0,1,1,0.032794288030580009,0.0051930757839147666,-0.16320522101766013,0.62369826562051023,0.16320522101766013,-0.62369826562051023
wave-packets,16,5,3,10,0,1,2,0.030854663837239105,0.024513497960331646,0.14773066189541953,-0.41640216558642584,-0.073865330947709765,0.20820108279321292
wave-packets,16,5,3,10,0,1,3,-0.062082980669931474,0.066530677598059487,-0.09064006238973156,0.13696036761514374,0.030213354129910532,-0.045653455871714592
wave-packets,16,5,3,10,0,1,-3,0.078973253612581812,-0.0031073230670245369,-0.063880220935978893,-0.079732136456116418,-0.021293406978659623,-0.026577378818705474
wave-packets,16,5,3,10,0,1,-2,-0.024673056557390351,-0.085093927751560383,0.049501565696145722,0.027495109281953797,0.024750782848072861,0.013747554640976899
wave-packets,16,5,3,10,0,1,-1,-0.0099586669603454452,0.18461722992961191,-0.044656411742774647,-0.057536728402247522,-0.044656411742774647,-0.057536728402247522
wave-packets,16,5,3,10,0,2,0,0.051943966303141319,0.27554171148668161,0,0,0.036616634334154796,-0.20871730575208794
wave-packets,16,5,3,10,0,2,1,0.006946943012176532,-0.14601420906836676,0.087488280780783106,-0.22077040788699098,-0.17497656156156621,0.44154081577398197
wave-packets,16,5,3,10,0,2,2,-0.024864390782763833,0.072608350423700382,-0.03132237073824496,0.16855662201225177,0.03132237073824496,-0.16855662201225177
wave-packets,16,5,3,10,0,2,3,0.028403779355423545,-0.08921983137570684,0.0096165182144074077,-0.041046022456573482,-0.0064110121429382739,0.027364014971048987
wave-packets,16,5,3,10,0,2,-3,0.012095454872665378,-0.018418260300119758,0.018656815827332279,-0.0047428544059429983,0.012437877218221526,-0.0031619029372953302
wave-packets,16,5,3,10,0,2,-2,-0.061712648176552261,0.029416082752837129,-0.045564572125967158,-0.021697298084686161,-0.045564572125967158,-0.021697298084686161
wave-packets,16,5,3,10,0,2,-1,-0.0063088872843451447,-0.13289003490883552,0.04147232253729416,0.029356943867805938,0.082944645074588319,0.058713887735611876
wave-packets,16,5,3,10,0,3,0,-0.04188957536004579,-0.10753930873572909,1.5994206276120001e-49,0,-0.05520538903490655,0.0071563828712511877
wave-packets,16,5,3,10,0,3,1,0.012378473510634322,0.1215202112183159,0.0011569105899303961,0.012733098319804228,-0.0034707317697911908,-0.038199294959412676
wave-packets,16,5,3,10,0,3,2,0.032374508270737214,-0.060015502561649593,-0.015079454749455065,-0.018432103422144349,0.022619182124182603,0.027648155133216532
wave-packets,16,5,3,10,0,3,3,-0.071405696683078765,0.087652114349153501,0.0048270940543168805,-0.027170883563556212,-0.0048270940543168805,0.027170883563556219
wave-packets,16,5,3,10,0,3,-3,0.0051191827074700599,-0.014106207314700437,-0.0048104845936547689,-0.017061629179508146,-0.0048104845936547689,-0.017061629179508146
wave-packets,16,5,3,10,0,3,-2,0.037803209961992504,0.023653343118915208,-0.013021687966150112,0.010109160667179852,-0.019532531949225173,0.01516374100076978
wave-packets,16,5,3,10,0,3,-1,-0.011991907966154859,0.0072335606670648521,-0.019290765460659321,0.0008918046603955547,-0.057872296381977995,0.0026754139811866581
wave-packets,16,5,3,10,0,-3,0,-0.04188957536004579,0.10753930873572909,1.5994206276120001e-49,0,-0.05520538903490655,-0.0071563828712511877
wave-packets,16,5,3,10,0,-3,1,-0.011991907966154859,-0.0072335606670648521,-0.019290765460659321,-0.0008918046603955547,-0.057872296381977995,-0.0026754139811866581
wave-packets,16,5,3,10,0,-3,2,0.037803209961992504,-0.023653343118915208,-0.013021687966150112,-0.010109160667179852,-0.019532531949225173,-0.01516374100076978
wave-packets,16,5,3,10,0,-3,3,0.0051191827074700599,0.014106207314700437,-0.0048104845936547689,0.017061629179508146,-0.0048104845936547689,0.017061629179508146
wave-packets,16,5,3,10,0,-3,-3,-0.071405696683078765,-0.087652114349153501,0.0048270940543168805,0.027170883563556212,-0.0048270940543168805,-0.027170883563556219
wave-packets,16,5,3,10,0,-3,-2,0.032374508270737214,0.060015502561649593,-0.015079454749455065,0.018432103422144349,0.022619182124182603,-0.027648155133216532
wave-packets,16,5,3,10,0,-3,-1,0.012378473510634322,-0.1215202112183159,0.0011569105899303961,-0.012733098319804228,-0.0034707317697911908,0.038199294959412676
wave-packets,16,5,3,10,0,-2,0,0.051943966303141319,-0.27554171148668161,0,0,0.036616634334154796,0.20871730575208794
wave-packets,16,5,3,10,0,-2,1,-0.0063088872843451447,0.13289003490883552,0.04147232253729416,-0.029356943867805938,0.082944645074588319,-0.058713887735611876
wave-packets,16,5,3,10,0,-2,2,-0.061712648176552261,-0.029416082752837129,-0.045564572125967158,0.021697298084686161,-0.045564572125967158,0.021697298084686161
wave-packets,16,5,3,10,0,-2,3,0.012095454872665378,0.018418260300119758,0.018656815827332279,0.0047428544059429983,0.012437877218221526,0.0031619029372953302
wave-packets,16,5,3,10,0,-2,-3,0.028403779355423545,0.08921983137570684,0.0096165182144074077,0.041046022456573482,-0.0064110121429382739,-0.027364014971048987
wave-packets,16,5,3,10,0,-2,-2,-0.024864390782763833,-0.072608350423700382,-0.03132237073824496,-0.16855662201225177,0.03132237073824496,0.16855662201225177
