resolution,grid,cutoff,sampling_grid,snapshot,time,energy,enstrophy,palinstrophy,h_half,l3_sample,vorticity_sample,vorticity_fourier_upper_bound,k_rms,stretching,viscous_destruction,net_enstrophy_rate,production_to_dissipation,cutoff_fraction
coarse,16,5,32,0,0,10.000000000000011,50.534470994013368,348.49528169546619,6.5496542940140561,5.473890321883994,43.866692758879125,136.383000853076,2.2479873441372691,84.102827841463906,13.939811267818648,70.163016573645251,6.0332831073275086,0
coarse,16,5,32,1,0.0050000000000000001,9.9898545094641449,50.937845889761157,356.12520452112801,6.5591240912638975,5.4695018102911739,45.429274525139945,144.93394810141294,2.2580871842595229,105.30084686759479,14.245008180845121,91.055838686749667,7.3921225969662832,2.4225972483367816e-05
coarse,16,5,32,2,0.01,9.9796180307225804,51.443677537049972,366.33050768249956,6.5709962246357403,5.4649327665776362,46.776180297725801,154.17448553395221,2.2704348488507295,125.79174554114608,14.653220307299982,111.13852523384611,8.584580242643236,0.00010285940212395489
coarse,16,5,32,3,0.014999999999999999,9.9692704835616262,52.047829601381849,379.14348006162146,6.5851045663616166,5.4601959940920874,47.910249150852337,163.92867279857364,2.2849127569603671,145.54670990524247,15.165739202464859,130.3809707027776,9.5970732426670651,0.00024603416555613224
coarse,16,5,32,4,0.02,9.9587926263073978,52.746069997034745,394.61663837913704,6.6012743407188914,5.4553099105297624,48.978833387495278,174.06159242574768,2.3013978808145583,164.55808945612384,15.784665535165482,148.77342392095835,10.425186969563411,0.00046492064728787549
coarse,16,5,32,5,0.025000000000000001,9.9481660663857845,53.534148752328193,412.81965305986034,6.6193265823267993,5.4502979385967034,50.57109420850928,184.48968805171614,2.3197647107019885,182.82965547813862,16.512786122394413,166.31686935574422,11.072005300800667,0.00077099287622202524
coarse,16,5,32,6,0.029999999999999999,9.9373732601071953,54.407828275044224,433.8338195531669,6.6390816613053421,5.4451872277004627,51.967276044211168,195.14581993844487,2.3398870517278429,200.36721323635891,17.353352782126677,183.01386045423223,11.546311295113522,0.0011753084639499313
coarse,16,5,32,7,0.035000000000000003,9.9263975107344695,55.362871724551958,457.74464565125953,6.6603618500480462,5.4400068312978256,53.178614957773853,205.96516885882423,2.3616387883768466,217.17088830664684,18.309785826050383,198.86110248059646,11.86091909374851,0.0016878556161317717
coarse,16,5,32,8,0.040000000000000001,9.9152229721884062,56.395000347604729,484.63334997807027,6.6829930273089735,5.4347855662194045,54.460104283520124,216.88225306751499,2.3848938811731277,233.22986342661588,19.38533399912281,213.84452942749306,12.031253288551518,0.0023170169515313067
fine,32,10,32,0,0,10.000000000000011,50.534470994013368,348.49528169546619,6.5496542940140561,5.473890321883994,43.866692758879125,136.383000853076,2.2479873441372691,84.102827841463821,13.939811267818648,70.163016573645166,6.0332831073275024,0
fine,32,10,32,1,0.0050000000000000001,9.9898544880138758,50.938172422022056,356.1439897432108,6.5591289139003441,5.4695119589172476,45.412322786058667,145.66735073650966,2.2580944242997711,105.43673018472182,14.245759589728433,91.190970594993388,7.4012712007820545,1.0632764285201637e-12
fine,32,10,32,2,0.01,9.9796178486247644,51.445110515327308,366.4184395552989,6.5710165228923705,5.4649347570235065,46.706202687836367,156.07371549551746,2.2704664911495045,126.11494805183568,14.656737582211957,111.45821046962372,8.6045716070467257,7.9058088323357042e-11
fine,32,10,32,3,0.014999999999999999,9.9692698126296158,52.051523458824782,379.39033256520264,6.5851540137974478,5.4601830292623994,47.735372590671673,167.62249719085605,2.2849939130454042,146.16364850926368,15.175613302608106,130.98803520665558,9.6314821414264529,1.081250348782731e-09
fine,32,10,32,4,0.02,9.9587908451954199,52.753859733489762,395.18742990857396,6.6013721473710669,5.4552894764536601,48.970757500535321,180.37351132330707,2.3015680198700355,165.64762414379845,15.807497196342959,149.8401269474555,10.479054469300857,7.4433263259432054e-09
fine,32,10,32,5,0.025000000000000001,9.9481620868645422,53.548940624709076,414.00473102825742,6.6195006561520469,5.450294573138569,50.495946950723038,194.424120433502,2.3200856364952855,184.66255190167135,16.560189241130296,168.10236266054105,11.150992854781377,3.5043842010650978e-08
fine,32,10,32,6,0.029999999999999999,9.9373652665244911,54.434076490073593,436.1165553330456,6.639372327163116,5.4452449020579348,51.924195109974704,209.87707693148857,2.3404523461498878,203.32537942018575,17.444662213321823,185.88071720686392,11.655449497033764,1.2867934820626698e-07
fine,32,10,32,7,0.035000000000000003,9.9263825963412238,55.407130215313551,461.88901889963961,6.6608259261955896,5.4401904436928508,53.586361290852615,226.82356768012798,2.3625843518030565,221.76396222848072,18.475560755985583,203.28840147249514,12.003097776430693,3.9445344444342438e-07
fine,32,10,32,8,0.040000000000000001,9.9151966594510377,56.466526221822207,491.79177252241976,6.6837079761776028,5.435180986703533,55.151295920127112,245.33405119175217,2.3864089509012834,240.10672232670748,19.671670900896792,220.43505142581068,12.205710614839612,1.0511313455903003e-06
