family,source_grid,simulation_cutoff,seed_bandwidth,target_energy,kx,ky,kz,ux_real,ux_imag,uy_real,uy_imag,uz_real,uz_imag
orthogonal-bundle,16,5,3,10,0,0,1,0.49499499828536087,-0.0068516199624544432,-0.0081830037546413419,-0.010799681760161602,0,0
orthogonal-bundle,16,5,3,10,0,0,2,0.70187081833059073,-0.015645672294958335,-0.0088689886933630956,0.00067947968334824125,0,0
orthogonal-bundle,16,5,3,10,0,0,3,0.30971742139581532,0.0003992272030353137,0.0029658858318265873,0.0032255415054444608,0,0
orthogonal-bundle,16,5,3,10,0,0,-3,0.30971742139581532,-0.0003992272030353137,0.0029658858318265873,-0.0032255415054444608,0,0
orthogonal-bundle,16,5,3,10,0,0,-2,0.70187081833059073,0.015645672294958335,-0.0088689886933630956,-0.00067947968334824125,0,0
orthogonal-bundle,16,5,3,10,0,0,-1,0.49499499828536087,0.0068516199624544432,-0.0081830037546413419,0.010799681760161602,0,0
orthogonal-bundle,16,5,3,10,0,1,0,0.0059419166255194342,-0.0045878284362598984,0,0,-0.50290145124243635,0.025545974423009522
orthogonal-bundle,16,5,3,10,0,1,1,-0.0058003158688971273,-0.0066507494211979403,0.33659043167213709,-0.0080077048036261908,-0.33659043167213709,0.0080077048036261908
orthogonal-bundle,16,5,3,10,0,1,2,-0.022566050842255672,0.12862454393476455,0.28460815528695338,-0.0068425386675385544,-0.14230407764347669,0.0034212693337692772
orthogonal-bundle,16,5,3,10,0,1,3,-0.016680330880488259,-0.0043010127566903908,0.10663199965933201,0.00017959232527941873,-0.035543999886443994,-5.9864108426472914e-05
orthogonal-bundle,16,5,3,10,0,1,-3,-0.013959426124962938,-0.033203611832080863,-0.11326705080018962,0.00052335378470357843,-0.037755683600063199,0.00017445126156785949
orthogonal-bundle,16,5,3,10,0,1,-2,-0.051394840066306562,-0.17907112149673277,-0.27902103909014336,-0.0023892002082932695,-0.13951051954507168,-0.0011946001041466348
orthogonal-bundle,16,5,3,10,0,1,-1,-0.0083968473936853454,6.1214485484935346e-06,-0.33880543531770752,0.0016594877369097492,-0.33880543531770752,0.0016594877369097492
orthogonal-bundle,16,5,3,10,0,2,0,-0.0080917400258679519,0.0041503658782043431,0,0,0.69986882113487248,-0.025396539271594128
orthogonal-bundle,16,5,3,10,0,2,1,-0.044178509426739752,0.051957118022930321,-0.23281866896027409,0.010648563538504643,0.46563733792054818,-0.021297127077009287
orthogonal-bundle,16,5,3,10,0,2,2,-0.030038481773154938,-0.20139619771280853,-0.18668467679993259,0.010936676576311415,0.18668467679993259,-0.010936676576311415
orthogonal-bundle,16,5,3,10,0,2,3,0.016495902797175381,-0.032286740764262453,-0.057699509715521013,-0.0028783809816798249,0.038466339810347333,0.0019189206544532162
orthogonal-bundle,16,5,3,10,0,2,-3,0.0076605083732764435,0.0068765217695758232,0.075874683467526918,0.0014707792745556798,0.05058312231168461,0.00098051951637045335
orthogonal-bundle,16,5,3,10,0,2,-2,-0.02492848745597142,0.31614006263413885,0.19702503479972816,0.0093529694446949207,0.19702503479972816,0.0093529694446949207
orthogonal-bundle,16,5,3,10,0,2,-1,-0.054402826296760569,0.073548196370035956,0.23803494779707104,-0.0037875567625355998,0.47606989559414209,-0.0075751135250711997
orthogonal-bundle,16,5,3,10,0,3,0,0.001437696960405545,-0.0019076226682656395,0,0,-0.32405449707947964,-0.010042093260916745
orthogonal-bundle,16,5,3,10,0,3,1,0.005128409582475151,0.011664130316670435,0.069985527280212081,0.0015322121637384575,-0.20995658184063626,-0.0045966364912153725
orthogonal-bundle,16,5,3,10,0,3,2,-0.0059074843826998425,0.16354075290677395,0.05025605562751654,-0.003185124940720087,-0.075384083441274799,0.0047776874110801292
orthogonal-bundle,16,5,3,10,0,3,3,-0.0062476439412626952,-0.0045421211189634169,0.0087046157368278754,0.0033607152078913897,-0.0087046157368278754,-0.0033607152078913892
orthogonal-bundle,16,5,3,10,0,3,-3,0.019492391531127029,-0.0020646769697416955,-0.01791102376719755,0.0039580560915594941,-0.01791102376719755,0.0039580560915594941
orthogonal-bundle,16,5,3,10,0,3,-2,0.028131766675542746,-0.14659535384211242,-0.056042390259493154,-0.0059886272851589597,-0.084063585389239734,-0.0089829409277384364
orthogonal-bundle,16,5,3,10,0,3,-1,0.0075294491925382281,0.012110726077609523,-0.070692238561265053,-0.00074107930436048144,-0.21207671568379513,-0.0022232379130814441
orthogonal-bundle,16,5,3,10,0,-3,0,0.001437696960405545,0.0019076226682656395,0,0,-0.32405449707947964,0.010042093260916745
orthogonal-bundle,16,5,3,10,0,-3,1,0.0075294491925382281,-0.012110726077609523,-0.070692238561265053,0.00074107930436048144,-0.21207671568379513,0.0022232379130814441
orthogonal-bundle,16,5,3,10,0,-3,2,0.028131766675542746,0.14659535384211242,-0.056042390259493154,0.0059886272851589597,-0.084063585389239734,0.0089829409277384364
orthogonal-bundle,16,5,3,10,0,-3,3,0.019492391531127029,0.0020646769697416955,-0.01791102376719755,-0.0039580560915594941,-0.01791102376719755,-0.0039580560915594941
orthogonal-bundle,16,5,3,10,0,-3,-3,-0.0062476439412626952,0.0045421211189634169,0.0087046157368278754,-0.0033607152078913897,-0.0087046157368278754,0.0033607152078913892
orthogonal-bundle,16,5,3,10,0,-3,-2,-0.0059074843826998425,-0.16354075290677395,0.05025605562751654,0.003185124940720087,-0.075384083441274799,-0.0047776874110801292
orthogonal-bundle,16,5,3,10,0,-3,-1,0.005128409582475151,-0.011664130316670435,0.069985527280212081,-0.0015322121637384575,-0.20995658184063626,0.0045966364912153725
orthogonal-bundle,16,5,3,10,0,-2,0,-0.0080917400258679519,-0.0041503658782043431,0,0,0.69986882113487248,0.025396539271594128
orthogonal-bundle,16,5,3,10,0,-2,1,-0.054402826296760569,-0.073548196370035956,0.23803494779707104,0.0037875567625355998,0.47606989559414209,0.0075751135250711997
orthogonal-bundle,16,5,3,10,0,-2,2,-0.02492848745597142,-0.31614006263413885,0.19702503479972816,-0.0093529694446949207,0.19702503479972816,-0.0093529694446949207
orthogonal-bundle,16,5,3,10,0,-2,3,0.0076605083732764435,-0.0068765217695758232,0.075874683467526918,-0.0014707792745556798,0.05058312231168461,-0.00098051951637045335
orthogonal-bundle,16,5,3,10,0,-2,-3,0.016495902797175381,0.032286740764262453,-0.057699509715521013,0.0028783809816798249,0.038466339810347333,-0.0019189206544532162
orthogonal-bundle,16,5,3,10,0,-2,-2,-0.030038481773154938,0.20139619771280853,-0.18668467679993259,-0.010936676576311415,0.18668467679993259,0.010936676576311415
orthogonal-bundle,16,5,3,10,0,-2,-1,-0.044178509426739752,-0.051957118022930321,-0.23281866896027409,-0.010648563538504643,0.46563733792054818,0.021297127077009287
orthogonal-bundle,16,5,3,10,0,-1,0,0.0059419166255194342,0.0045878284362598984,0,0,-0.50290145124243635,-0.025545974423009522
orthogonal-bundle,16,5,3,10,0,-1,1,-0.0083968473936853454,-6.1214485484935346e-06,-0.33880543531770752,-0.0016594877369097492,-0.33880543531770752,-0.0016594877369097492
orthogonal-bundle,16,5,3,10,0,-1,2,-0.051394840066306562,0.17907112149673277,-0.27902103909014336,0.0023892002082932695,-0.13951051954507168,0.0011946001041466348
orthogonal-bundle,16,5,3,10,0,-1,3,-0.013959426124962938,0.033203611832080863,-0.11326705080018962,-0.00052335378470357843,-0.037755683600063199,-0.00017445126156785949
orthogonal-bundle,16,5,3,10,0,-1,-3,-0.016680330880488259,0.0043010127566903908,0.10663199965933201,-0.00017959232527941873,-0.035543999886443994,5.9864108426472914e-05
orthogonal-bundle,16,5,3,10,0,-1,-2,-0.022566050842255672,-0.12862454393476455,0.28460815528695338,0.0068425386675385544,-0.14230407764347669,-0.0034212693337692772
orthogonal-bundle,16,5,3,10,0,-1,-1,-0.0058003158688971273,0.0066507494211979403,0.33659043167213709,0.0080077048036261908,-0.33659043167213709,-0.0080077048036261908
orthogonal-bundle,16,5,3,10,1,0,0,0,0,-0.65224263500927637,-0.00040893958054230936,0.006968323415822153,0.00068368213483638914
orthogonal-bundle,16,5,3,10,1,0,1,-0.33554742673181237,-0.0025739083721892731,-0.0013239895876825374,-0.0018939497402875476,0.33554742673181237,0.0025739083721892731
orthogonal-bundle,16,5,3,10,1,0,2,-0.4753920940260124,0.0083749542268987693,0.10926586868480269,0.023720576898574226,0.2376960470130062,-0.0041874771134493846
orthogonal-bundle,16,5,3,10,1,0,3,-0.20680124289204133,0.0044204213777916338,-0.00010551273309863426,0.021706338707090087,0.068933747630680456,-0.0014734737925972115
orthogonal-bundle,16,5,3,10,1,0,-3,-0.20452699659558504,0.0052161254060964042,0.0039569282638535668,-0.0033871284094281143,-0.06817566553186169,0.0017387084686988016
orthogonal-bundle,16,5,3,10,1,0,-2,-0.4755159322591318,-0.004351742914208887,0.12933826065168927,-0.010610250228641635,-0.2377579661295659,-0.0021758714571044435
orthogonal-bundle,16,5,3,10,1,0,-1,-0.3347411622407781,-0.0043493495137455641,-0.0068586455409009785,-0.017876128605234173,-0.3347411622407781,-0.0043493495137455641
orthogonal-bundle,16,5,3,10,1,1,0,-0.44715217517062417,0.010633586318239813,0.44715217517062417,-0.010633586318239813,0.01053910279140464,-0.0054028973988081343
orthogonal-bundle,16,5,3,10,1,1,1,0.0017148319347258069,0.0072204619402616134,-0.0010401227964698561,-0.0011459937655995825,-0.00067470913825595075,-0.0060744681746620318
orthogonal-bundle,16,5,3,10,1,1,2,0.099055552011655945,-0.062354266521871551,-0.090661753732660624,0.06406600269620788,-0.0041968991394976595,-0.00085586808716815797
orthogonal-bundle,16,5,3,10,1,1,3,0.009753937920749545,0.0080072145447602373,-0.0024906824739689901,-0.021302891862050883,-0.0024210851489268521,0.004431892439096881
orthogonal-bundle,16,5,3,10,1,1,-3,0.0092604521977459209,0.01500264278264778,-0.0086192138988775615,0.0099160736661420643,0.00021374609962278676,0.0083062388162632814
orthogonal-bundle,16,5,3,10,1,1,-2,0.11507420270531545,0.10293024393650969,-0.085353361456710436,-0.083986221042408105,0.014860420624302506,0.0094720114470508016
orthogonal-bundle,16,5,3,10,1,1,-1,0.0052674057134962952,0.0018577451414156186,0.0067502602426470458,-0.0012537597617442479,0.012017665956143342,0.00060398537967137065
orthogonal-bundle,16,5,3,10,1,2,0,0.37217513429972726,-0.0035875745160220307,-0.18608756714986363,0.0017937872580110154,0.061117528706549296,0.0468616685409513
orthogonal-bundle,16,5,3,10,1,2,1,-0.010388998845086542,-0.069737976171920624,0.00032263549320287832,-0.00068350677186092236,0.0097437278586807851,0.071104989715642483
orthogonal-bundle,16,5,3,10,1,2,2,-0.065180163799363491,0.093726837194620938,0.04176715362039167,-0.061521549521945322,-0.0091770717207099381,0.01465813092463486
orthogonal-bundle,16,5,3,10,1,2,3,0.0053015192882302879,0.022215336516545354,-0.0075752142347373643,0.010968229089545447,0.0032829697270814803,-0.014717264898545416
orthogonal-bundle,16,5,3,10,1,2,-3,-0.018354102276866728,-0.001342410933619748,0.0071116892654223543,-0.0099574670446353243,-0.0013769079153406745,-0.0070857816742967965
orthogonal-bundle,16,5,3,10,1,2,-2,-0.033465476133070785,-0.17458562437616215,0.023424008196373459,0.063250752249330675,0.0066912701298380683,-0.024042059938750401
orthogonal-bundle,16,5,3,10,1,2,-1,0.087092974263783679,-0.016050800883785337,-0.0083421460235573782,-0.0016545712384435313,0.070408682216668919,-0.019359943360672403
orthogonal-bundle,16,5,3,10,1,3,0,-0.14941717258509121,0.0023700434260442863,0.049805724195030397,-0.00079001447534809554,0.028512261260035147,0.0076408723818502926
orthogonal-bundle,16,5,3,10,1,3,1,-0.01040840400008277,-0.010149553092505485,0.00039513083284308084,-0.0011580927707986073,0.0092230115015535293,0.013623831404901306
orthogonal-bundle,16,5,3,10,1,3,2,0.028803754051292714,-0.10337001173919155,-0.014264683462624271,0.029523242299329636,0.0069951481682900491,0.0074001424206013256
orthogonal-bundle,16,5,3,10,1,3,3,-0.014531979805481543,-0.0027228186685516456,0.0073105938592928276,-0.00057538637134438634,-0.0024666005907989803,0.0014829925941949348
