resolution,grid,cutoff,sampling_grid,snapshot,time,energy,enstrophy,palinstrophy,h_half,l3_sample,vorticity_sample,vorticity_fourier_upper_bound,k_rms,stretching,viscous_destruction,net_enstrophy_rate,production_to_dissipation,cutoff_fraction
coarse,16,5,32,0,0,10.000000000000005,68.069031261902623,593.5142544779203,7.086864356289607,6.0563383464031162,60.956272467841437,113.59661855382838,2.6090042403549787,37.685968797290599,23.740570179116812,13.945398618173787,1.5874079060847803,0
coarse,16,5,32,1,0.0050000000000000001,9.9863766940351333,68.17668078468509,596.47889467182063,7.0869521655812342,6.05076368657671,60.74393700422668,118.11224647460827,2.6128468509969154,52.9910146229441,23.859155786872826,29.131858836071274,2.2209928589384313,1.3414366166033369e-05
coarse,16,5,32,2,0.01,9.9727242388060571,68.360697239661107,601.51743825429799,7.0886414271035347,6.0448914932063547,60.561065946365744,122.91080229310278,2.6181609235697301,68.586593212155279,24.060697530171922,44.525895681983357,2.8505654553924815,4.9986644280387727e-05
coarse,16,5,32,3,0.014999999999999999,9.9590272246787581,68.622598614863392,608.75825470471977,7.0919343708475093,6.038742651604446,60.708792953852708,128.04820445746378,2.6249746894084596,84.664176943832047,24.350330188188792,60.313846755643254,3.4769211049507116,0.00010770198778471092
coarse,16,5,32,4,0.02,9.9452698516068825,68.964736131953856,618.38622807207128,7.0968398752594508,6.0323452731946423,60.769328134762951,133.55384400523064,2.6333297986879152,101.37566916059211,24.735449122882851,76.640220037709256,4.0983961381485132,0.00018967648530514701
coarse,16,5,32,5,0.025000000000000001,9.9314357856779534,69.390051796588068,630.62908986086916,7.1033703036330476,6.0257304528582356,60.71430783340859,139.44153757824094,2.6432764482257802,118.82023928024148,25.225163594434768,93.595075685806705,4.7103852799771682,0.00030437315462030282
coarse,16,5,32,6,0.029999999999999999,9.917508069736849,69.901783759328765,645.74136331432578,7.1115375835844414,6.0189267625544272,60.512942539730155,145.72599822690367,2.6548674805291497,137.03548164713152,25.829654532573031,111.20582711455849,5.3053547996284669,0.00046535173246943897
coarse,16,5,32,7,0.035000000000000003,9.9034690962739305,70.503142125010115,663.98703360032437,7.1213488696163774,6.0119544097010067,61.304234477696063,152.40372904559877,2.6681519633922801,155.99309482786819,26.559481344012976,129.43361348385523,5.8733486850650447,0.00069058505787624954
coarse,16,5,32,8,0.040000000000000001,9.8893006462205779,71.196977728647411,685.62197774183858,7.1328021403215534,6.0048208256534688,61.970384400535345,159.42682018291197,2.683168762100606,175.59894060673133,27.424879109673544,148.17406149705778,6.4029066419765011,0.0010014195269564086
fine,32,10,32,0,0,10.000000000000005,68.069031261902623,593.5142544779203,7.086864356289607,6.0563383464031162,60.956272467841437,113.59661855382838,2.6090042403549787,37.685968797290528,23.740570179116812,13.945398618173716,1.5874079060847774,0
fine,32,10,32,1,0.0050000000000000001,9.9863766642291711,68.177127589092265,596.51101882086209,7.0869572030291019,6.0507671238449605,60.704252339917687,118.74199428679744,2.6128554166915006,53.172120871315997,23.860440752834485,29.311680118481512,2.2284634815473576,2.843961945723008e-12
fine,32,10,32,2,0.01,9.9727239954776454,68.362573398338512,601.65516334612369,7.0886624754858545,6.044902860003889,60.453140799826677,124.51300599623418,2.6181968829650981,68.998554328629638,24.066206533844948,44.93234779478469,2.8670307566585174,2.0672002285043691e-10
fine,32,10,32,3,0.014999999999999999,9.959026350769367,68.627321966833833,609.11565004927809,7.09198713464124,6.0387666588276963,60.534482611351464,131.08649076864688,2.6250651426523022,85.438643768872453,24.364626001971125,61.074017766901328,3.5066675664120752,2.7115166448546578e-09
fine,32,10,32,4,0.02,9.9452675699421036,68.97455384693329,619.15800096657176,7.096948778999133,6.0323798264545214,60.502544965495559,138.6086905256019,2.6335175325242868,102.72407005701793,24.766320038662872,77.957750018355057,4.1477324809117651,1.745515941075184e-08
fine,32,10,32,5,0.025000000000000001,9.9314307559861899,69.408404996527523,632.13709761114717,7.1035714265699328,6.0257612840237869,60.312379077304655,147.1947756693709,2.643626658917785,121.02783144897326,25.285483904445886,95.742347544527377,4.7864550232195961,7.5097596628139906e-08
fine,32,10,32,6,0.029999999999999999,9.9174981171173773,69.933626485592129,648.48822635529768,7.1118802385343818,6.0189242264798617,60.332515965258054,156.94807639620618,2.6554734369732742,140.4534007863324,25.939529054211906,114.51387173212049,5.4146472934336645,2.4780895563953096e-07
fine,32,10,32,7,0.035000000000000003,9.9034508810138586,70.555208921351849,668.71690163089954,7.1218957781432879,6.0118725817455303,60.914578681525576,167.94556865475627,2.6691394555987151,161.03073504765868,26.748676065235983,134.28205898242271,6.0201385165728958,6.7624154321242222e-07
fine,32,10,32,8,0.040000000000000001,9.8892692848103874,71.278006103729908,693.38806615754856,7.1336284106123111,6.004598879621339,61.162508528747843,180.19745615667597,2.6846994249793315,182.71903435644205,27.735522646301945,154.98351171014011,6.5879066598661877,1.6000791677548777e-06
