step,time,time_step,max_coefficient_difference,relative_state_l2_difference,max_diagnostic_scaled_difference,internal_energy,fftw_energy,internal_enstrophy,fftw_enstrophy,internal_critical_h_half,fftw_critical_h_half,internal_critical_l3,fftw_critical_l3,internal_vorticity_max,fftw_vorticity_max,internal_cutoff_fraction,fftw_cutoff_fraction,internal_divergence_defect,fftw_divergence_defect,internal_reality_defect,fftw_reality_defect,internal_cfl_bound,fftw_cfl_bound,viscous_stability_number
0,0,0,0,0,5.8282987705240601e-16,10.000000000000005,10.000000000000005,68.069031261902623,68.069031261902623,7.086864356289607,7.086864356289607,6.0563383464031162,6.0563383464031189,60.956272467841437,60.956272467841472,0,0,1.1107649934270853e-16,1.1107649934270853e-16,0,0,0,0,0
10,0.0049330847143799405,0.00048799414975788242,2.2205443258877897e-16,8.7112223054362356e-17,3.5112291468547538e-16,9.9865591452889859,9.9865591452889841,68.175173105435491,68.175173105435491,7.0869453166423337,7.0869453166423337,6.0508436641828336,6.0508436641828345,60.708889056407607,60.708889056407628,2.6191850053739956e-12,2.6191850053749544e-12,1.1114420827879992e-16,1.1114420827879992e-16,7.8505001951727033e-17,0,0.34999999999999998,0.34999999999999998,0.0029279648985472942
20,0.0097473952327730064,0.00047602713751348434,2.2208695083698254e-16,1.2022183106296147e-16,2.9384555113503639e-16,9.9734146869536335,9.9734146869536335,68.351324289981505,68.351324289981505,7.0885375915607138,7.0885375915607138,6.0452058319029209,6.0452058319029227,60.446776827436565,60.446776827436572,1.7607254716162713e-10,1.7607254716163582e-10,2.2211616767709523e-16,1.9006110469902328e-16,7.850492240498801e-17,0,0.34999999999999998,0.34999999999999998,0.0028561628250809061
30,0.014440753153866333,0.00046382682889551996,2.2212380490087933e-16,1.4903320741045274e-16,2.3477291794526764e-16,9.960561157116123,9.960561157116123,68.593681091837766,68.593681091837752,7.0915343628367928,7.0915343628367928,6.0394658202751534,6.0394658202751543,60.530212937571278,60.530212937571292,2.1249146603292472e-09,2.1249146603292691e-09,2.4236514457283391e-16,2.3263411494723067e-16,7.8509414329898554e-17,0,0.34999999999999998,0.34999999999999992,0.0027829609733731196
40,0.019010968665369606,0.0004514300528264489,2.2213881880192412e-16,1.7988473751296918e-16,1.7856431144725112e-16,9.9479947868810061,9.9479947868810044,68.899138959412184,68.899138959412184,7.0958363639728343,7.0958363639728343,6.0336621067073306,6.0336621067073315,60.519973412719182,60.519973412719189,1.2546509715158944e-08,1.2546509715158997e-08,3.5005327124830286e-16,3.5767289044030461e-16,8.8351767417774475e-17,0,0.34999999999999998,0.34999999999999998,0.0027085803169586932
50,0.023456552105398421,0.00043892842417448628,2.2217413685589538e-16,2.0565763916120152e-16,1.4734634095913349e-16,9.9357114138339977,9.9357114138339977,69.264959776445508,69.264959776445508,7.1013483036590603,7.1013483036590603,6.0278281355250041,6.027828135525005,60.390651839055934,60.390651839055941,4.9469258697045912e-08,4.9469258697046098e-08,4.4495572620543707e-16,4.4430599737083413e-16,1.0797173099760412e-16,0,0.34999999999999987,0.34999999999999998,0.0026335705450469173
60,0.02777704166781721,0.00042642753272856049,2.2224830805152428e-16,2.4240018459952433e-16,1.4748917883870443e-16,9.9237054617873675,9.9237054617873675,69.688517902467922,69.688517902467922,7.107976536880023,7.107976536880023,6.0219904042685428,6.0219904042685437,60.160860603114003,60.16086060311401,1.4974368969275082e-07,1.4974368969275125e-07,5.5667057408480492e-16,5.5528495756358862e-16,1.4637612725888058e-16,0,0.34999999999999992,0.34999999999999998,0.0025585651963713632
70,0.031972953891311662,0.00041401946258146598,2.2230107164215344e-16,2.6999045406602817e-16,1.7921329913368878e-16,9.9119699709067426,9.9119699709067408,70.167110950478019,70.167110950478019,7.1156275594265423,7.1156275594265423,6.0161674927605899,6.0161674927605908,60.597633685944338,60.597633685944338,3.7556096180829527e-07,3.7556096180829617e-07,4.6526822989446134e-16,4.6526822989446134e-16,1.4637612725888058e-16,0,0.34999999999999992,0.34999999999999992,0.0024841167754887962
80,0.036045851936054814,0.00040182612443874949,2.2236577313835214e-16,3.0327641443144105e-16,4.433230018108824e-16,9.9004963004050985,9.9004963004050985,70.697870270119125,70.697870270119125,7.1242077820073346,7.1242077820073355,6.010369974524898,6.0103699745249006,60.996132725466218,60.996132725466225,8.1830758146813048e-07,8.1830758146813281e-07,4.4495572620543707e-16,4.4754520913118096e-16,1.5713377657318614e-16,0,0.34999999999999992,0.34999999999999998,0.0024109567466324968
90,0.039998576345961857,0.00038996785216403044,2.2245257686332976e-16,3.3128055007558183e-16,2.9583261971652534e-16,9.8892733438126257,9.8892733438126257,71.277785465023186,71.277785465023172,7.133624825615799,7.1336248256157999,6.0046009838347176,6.0046009838347194,61.162490501455096,61.162490501455096,1.5997139329909778e-06,1.5997139329909839e-06,5.5788016545937291e-16,5.6132177839609234e-16,1.7686099240882089e-16,0,0.34999999999999981,0.34999999999999992,0.0023398071129841829
100,0.043834979501633758,0.00037853147933809443,2.490778405437914e-16,3.6437527053338572e-16,3.4193045212649229e-16,9.8782881096973441,9.8782881096973458,71.903733989391426,71.903733989391426,7.1437885546088049,7.1437885546088049,5.9988578020439469,5.9988578020439478,62.340987590416027,62.340987590416049,2.8716332442907924e-06,2.8716332442908072e-06,5.6132177839609234e-16,5.7955343351681902e-16,1.9656223584431304e-16,0,0.34999999999999987,0.34999999999999998,0.0022711888760285669
110,0.047559413954261456,0.00036750718633140082,2.6793511669083309e-16,3.9150031255845636e-16,9.0010234358573643e-16,9.8675270210039603,9.8675270210039692,72.572486577226556,72.572486577226584,7.1546113877870221,7.1546113877870212,5.993133932252201,5.9931339322522019,64.407734913996606,64.407734913996634,4.8159419099610929e-06,4.8159419099611158e-06,6.7532230144642595e-16,6.8663501977833557e-16,2.1626721810297056e-16,0,0.34999999999999987,0.34999999999999992,0.0022050431179884049
120,0.051175693861429797,0.00035689948270569831,4.4445247942373297e-16,4.4010331480411108e-16,4.2803200244495837e-16,9.8569788141979426,9.8569788141979426,73.28058453235856,73.28058453235856,7.1660063312243674,7.1660063312243674,5.9874220601022206,5.9874220601022214,66.400898222694948,66.400898222694977,7.6446023179393226e-06,7.6446023179393598e-06,5.5528495756358862e-16,4.9650683064945462e-16,2.4832244287551122e-16,0,0.34999999999999964,0.34999999999999992,0.00214139689623419
130,0.054688978315941654,0.00034685689613498549,4.4456017524867236e-16,4.7144797845364889e-16,6.2417752513037452e-16,9.8466289545311607,9.8466289545311607,74.024774435560772,74.024774435560772,7.177893860789168,7.177893860789168,5.9817122449719804,5.9817122449719822,68.301985299296291,68.301985299296334,1.1602176328391331e-05,1.1602176328391395e-05,5.5528495756358862e-16,3.9454187072489322e-16,2.7935108063246297e-16,0,0.34999999999999998,0.34999999999999998,0.002081141376809913
140,0.058105007455944033,0.00033738970611520077,4.4463334155185632e-16,5.0791481853565557e-16,7.5991840665710017e-16,9.8364616262417126,9.8364616262417126,74.80200290300057,74.802002903000627,7.1902014832090444,7.1902014832090444,5.9759937023477869,5.9759937023477887,70.100025264703987,70.100025264704016,1.6967717426362969e-05,1.696771742636306e-05,5.5511151231257827e-16,4.1261629522333659e-16,3.0016731913451787e-16,0,0.34999999999999964,0.34999999999999992,0.0020243382366912049
146,0.059999999999999998,0.00022166767633562123,4.4468261421961292e-16,5.2246010964040455e-16,3.9990369753754152e-16,9.8307745517226373,9.8307745517226337,75.256048035186851,75.256048035186851,7.1973376590428133,7.197337659042816,5.9727449525673064,5.9727449525673064,71.071384449342005,71.071384449342034,2.0751465281618919e-05,2.0751465281619045e-05,5.5511151231257827e-16,4.7428748402675471e-16,3.0019018846461504e-16,0,0.23370082783141033,0.23370082783141038,0.0013300060580137274
