resolution,grid,cutoff,sampling_grid,snapshot,time,energy,enstrophy,palinstrophy,h_half,l3_sample,vorticity_sample,vorticity_fourier_upper_bound,k_rms,stretching,viscous_destruction,net_enstrophy_rate,production_to_dissipation,cutoff_fraction
coarse,16,5,32,0,0,10.000000000000005,68.069031261902623,593.5142544779203,7.086864356289607,6.0563383464031162,60.956272467841437,113.59661855382838,2.6090042403549787,37.685968797290599,23.740570179116812,13.945398618173787,1.5874079060847803,0
coarse,16,5,32,1,0.0074999999999999997,9.9795550660340187,68.259070188915885,598.73236882244771,7.0875966617731985,6.0478636824210792,60.57203769936261,120.47189378812578,2.6153185525175822,60.739774635173106,23.949294752897909,36.790479882275193,2.536182182476312,2.9046246062731886e-05
coarse,16,5,32,2,0.014999999999999999,9.9590272246836538,68.622598615086801,608.75825471122175,7.091934370852921,6.0387426516057898,60.708792955556447,128.04820446299851,2.6249746894120869,84.664176958108442,24.350330188448872,60.31384676965957,3.476921105499867,0.00010770198787153107
coarse,16,5,32,3,0.022499999999999999,9.9383634498366913,69.166797542022152,624.1653186634785,7.0999011686191329,6.0290631264041172,60.75815726042817,136.44919659556297,2.6381008663128847,110.00245403088699,24.966612746539141,85.035841284347853,4.4059823071568038,0.0002422004767363201
coarse,16,5,32,4,0.029999999999999999,9.9175080697473543,69.901783760272622,645.74136334809157,7.1115375836035604,6.0189267625577383,60.512942543563923,145.72599824274997,2.6548674805456676,137.03548168630593,25.829654533923662,111.20582715238227,5.3053548008676952,0.00046535173300775331
coarse,16,5,32,5,0.037499999999999999,9.8964022160022758,70.838344986436354,674.36564100620831,7.1268708579116664,6.0084078902017612,61.663024755507479,155.87577166683076,2.675441960793401,165.72335813097311,26.974625640248334,138.74873249072476,6.1436759249663284,0.00083387025722388944
coarse,16,5,32,6,0.044999999999999998,9.8749839929417789,71.985464884262115,710.87708124039352,7.145882065786143,5.9975180079700436,62.402641653598927,166.73914652594323,2.6999405820106324,195.69711470670009,28.43508324961574,167.26203145708436,6.8822416656488832,0.0014212880691808801
coarse,16,5,32,7,0.052499999999999998,9.8531893753962798,73.347998853858257,755.94997072070225,7.1684761785228623,5.9861890295925875,63.437453420761422,178.22745609539595,2.7283854184238727,226.29566307956102,30.23799882882809,196.05766425073293,7.4838174430980153,0.0023081023776139243
coarse,16,5,32,8,0.059999999999999998,9.8309537421243025,74.924805184847514,809.99081868813425,7.1944598928798387,5.9742770440746025,65.278739961635921,190.06213812227196,2.7606731088097431,256.63953307888886,32.399632747525374,224.23990033136349,7.9210630280520862,0.0035711970579232733
fine,32,10,32,0,0,10.000000000000005,68.069031261902623,593.5142544779203,7.086864356289607,6.0563383464031162,60.956272467841437,113.59661855382838,2.6090042403549787,37.685968797290528,23.740570179116812,13.945398618173716,1.5874079060847774,0
fine,32,10,32,1,0.0074999999999999997,9.9795549649736017,68.260091078758151,598.80644176641692,7.0876081401108078,6.0478703297604115,60.505364925113206,121.53752927960275,2.6153381231767372,61.024974797794016,23.952257670656678,37.072717127137338,2.5477754805783595,3.4410982628864059e-11
fine,32,10,32,2,0.014999999999999999,9.9590263507738346,68.627321967202448,609.11565006427929,7.0919871346484644,6.0387666588264146,60.534482613106917,131.08649074940885,2.6250651426587632,85.438643796960221,24.364626002571171,61.07401779438905,3.506667567478523,2.7115153965612352e-09
fine,32,10,32,3,0.022499999999999999,9.938360006753248,69.180365174759743,625.2550205448249,7.1000508650976561,6.029098515269542,60.430048817596706,142.76235293290537,2.6383600531721276,111.74048156649101,25.010200821792996,86.730280744698021,4.4677962549234849,3.7669458927841775e-08
fine,32,10,32,4,0.029999999999999999,9.9174981171251009,69.933626487208954,648.4882264501291,7.1118802385597162,6.0189242264824534,60.332515991337274,156.94807649413977,2.6554734370029367,140.4534008673125,25.939529058005164,114.51387180930733,5.4146472957637357,2.4780895109915039e-07
fine,32,10,32,5,0.037499999999999999,9.896378150557025,70.903667428649513,680.45983956586258,7.1275473495205368,6.008264423327927,61.083970831284034,173.91541836792658,2.6766784889579536,171.74112547838763,27.218393582634505,144.52273189575311,6.3097450978135416,1.0564880245587154e-06
fine,32,10,32,6,0.044999999999999998,9.8749326377384108,72.106389954844985,723.11538730760651,7.1470733856805033,5.9970837250766698,62.987341613136039,193.67757314180542,2.7022144099091721,205.41543771265566,28.924615492304262,176.49082222035139,7.1017517161916599,3.3925129376650932e-06
fine,32,10,32,7,0.052499999999999998,9.8530897554901404,73.554556924174875,778.62297499233603,7.1703938792381123,5.9852892182125537,67.122658176052795,216.16805701680786,2.7322382841957045,241.00891071393795,31.144918999693441,209.86399171424452,7.7383059084632775,8.9768630235985183e-06
fine,32,10,32,8,0.059999999999999998,9.8307745517310412,75.256048041631743,849.30984604318246,7.1973376591199036,5.9727449525658125,71.071384453202015,240.98321348791092,2.7667940677371976,277.88707840561858,33.972393841727296,243.91468456389129,8.1797909120050889,2.0751466055009647e-05
