family,source_grid,simulation_cutoff,seed_bandwidth,target_energy,kx,ky,kz,ux_real,ux_imag,uy_real,uy_imag,uz_real,uz_imag
vortex-tubes,16,5,3,10,0,0,1,-3.2464952808075455e-17,3.2912048743088527e-18,-3.0657750013119452e-18,1.2947168469672667e-17,0,0
vortex-tubes,16,5,3,10,0,0,2,-5.6234048857830496e-17,-0.054088873951260615,-0.014452618270233395,3.4364150114916472e-17,0,0
vortex-tubes,16,5,3,10,0,0,3,3.6824101802652883e-17,8.7786515109023577e-19,-1.3373352088693106e-17,5.4279453396198692e-19,0,0
vortex-tubes,16,5,3,10,0,0,-3,3.6824101802652883e-17,-8.7786515109023577e-19,-1.3373352088693106e-17,-5.4279453396198692e-19,0,0
vortex-tubes,16,5,3,10,0,0,-2,-5.6234048857830496e-17,0.054088873951260615,-0.014452618270233395,-3.4364150114916472e-17,0,0
vortex-tubes,16,5,3,10,0,0,-1,-3.2464952808075455e-17,-3.2912048743088527e-18,-3.0657750013119452e-18,-1.2947168469672667e-17,0,0
vortex-tubes,16,5,3,10,0,1,0,8.2587445021437307e-18,2.1068154243854049e-17,0,0,7.5775497163183533e-19,-3.7204938407818541e-18
vortex-tubes,16,5,3,10,0,1,1,3.4360964767536944e-17,-6.9717248694128838e-18,1.1085515591652062e-18,-1.4116392805960172e-17,-1.1085515591652062e-18,1.4116392805960172e-17
vortex-tubes,16,5,3,10,0,1,2,0.030398576880762675,0.21067305174244011,0.0095753940639193239,0.0030459850260743777,-0.004787697031959662,-0.0015229925130371888
vortex-tubes,16,5,3,10,0,1,3,-2.4932406977259488e-17,2.6083728053570269e-17,8.7404001605461967e-18,-1.739914957533218e-18,-2.913466720182065e-18,5.7997165251107271e-19
vortex-tubes,16,5,3,10,0,1,-3,-5.280520193566491e-17,-1.6275439126430312e-17,9.8658094163195298e-18,-4.105066968160576e-18,3.2886031387731772e-18,-1.3683556560535254e-18
vortex-tubes,16,5,3,10,0,1,-2,-0.030398576880762536,-0.21067305174244011,0.0095753940639193343,0.0030459850260744084,0.0047876970319596672,0.0015229925130372042
vortex-tubes,16,5,3,10,0,1,-1,4.2044170110103427e-17,7.0145136088910355e-18,6.2575988993933325e-19,-1.3179875105792531e-18,6.2575988993933325e-19,-1.3179875105792531e-18
vortex-tubes,16,5,3,10,0,2,0,-3.0497638614121836e-17,-2.1145848632053148e-17,0,0,-3.4253388149373367e-19,5.2340121775767517e-18
vortex-tubes,16,5,3,10,0,2,1,-2.6819609353162266e-17,8.8755662790386685e-18,-1.6043463308159563e-18,4.7396227799368075e-18,3.2086926616319125e-18,-9.4792455598736149e-18
vortex-tubes,16,5,3,10,0,2,2,-0.0233121991628223,-0.40107675092927392,0.0018192717163119001,0.010082591158791478,-0.0018192717163119001,-0.010082591158791478
vortex-tubes,16,5,3,10,0,2,3,2.3765158630794623e-17,-4.7666177400332673e-17,-1.7714727124527219e-18,2.1985145908408247e-18,1.180981808301814e-18,-1.4656763938938831e-18
vortex-tubes,16,5,3,10,0,2,-3,4.4898521746359627e-17,4.3878327861346344e-17,-2.369640183155586e-19,3.4531986710547662e-18,-1.5797601221037316e-19,2.3021324473698441e-18
vortex-tubes,16,5,3,10,0,2,-2,0.023312199162822164,0.40107675092927392,0.0018192717163118893,0.01008259115879148,0.0018192717163118893,0.01008259115879148
vortex-tubes,16,5,3,10,0,2,-1,-3.5814845371961949e-17,-9.646557104469195e-18,-8.1007154588721504e-20,-6.1178899932694947e-19,-1.6201430917744301e-19,-1.2235779986538989e-18
vortex-tubes,16,5,3,10,0,3,0,4.0328116345939594e-17,2.1034500424869705e-17,0,0,1.9090703422613867e-19,-4.5411286670309055e-19
vortex-tubes,16,5,3,10,0,3,1,5.1193861956618927e-18,-5.9698137302578732e-18,1.7417431541348797e-18,-4.8204225769960801e-19,-5.2252294624046388e-18,1.4461267730988241e-18
vortex-tubes,16,5,3,10,0,3,2,-0.01909199134448061,0.35192871459457364,-0.0081153533496071632,-0.013812717283900225,0.012173030024410747,0.020719075925850334
vortex-tubes,16,5,3,10,0,3,3,-2.5766709110150464e-17,2.8730580386880062e-17,-1.338597239148438e-18,-3.8215714690222648e-18,1.3385972391484372e-18,3.8215714690222656e-18
vortex-tubes,16,5,3,10,0,3,-3,-7.8880048011551325e-18,-4.6506711029250271e-17,-2.2558539239513992e-18,-3.8689878495995002e-20,-2.2558539239513992e-18,-3.8689878495995002e-20
vortex-tubes,16,5,3,10,0,3,-2,0.01909199134448069,-0.35192871459457364,-0.0081153533496071475,-0.013812717283900244,-0.012173030024410723,-0.020719075925850369
vortex-tubes,16,5,3,10,0,3,-1,6.1371376684722723e-18,8.7316512012007384e-18,6.4115019593086094e-19,1.1829444094286775e-18,1.9234505877925833e-18,3.548833228286033e-18
vortex-tubes,16,5,3,10,0,-3,0,4.0328116345939594e-17,-2.1034500424869705e-17,0,0,1.9090703422613867e-19,4.5411286670309055e-19
vortex-tubes,16,5,3,10,0,-3,1,6.1371376684722723e-18,-8.7316512012007384e-18,6.4115019593086094e-19,-1.1829444094286775e-18,1.9234505877925833e-18,-3.548833228286033e-18
vortex-tubes,16,5,3,10,0,-3,2,0.01909199134448069,0.35192871459457364,-0.0081153533496071475,0.013812717283900244,-0.012173030024410723,0.020719075925850369
vortex-tubes,16,5,3,10,0,-3,3,-7.8880048011551325e-18,4.6506711029250271e-17,-2.2558539239513992e-18,3.8689878495995002e-20,-2.2558539239513992e-18,3.8689878495995002e-20
vortex-tubes,16,5,3,10,0,-3,-3,-2.5766709110150464e-17,-2.8730580386880062e-17,-1.338597239148438e-18,3.8215714690222648e-18,1.3385972391484372e-18,-3.8215714690222656e-18
vortex-tubes,16,5,3,10,0,-3,-2,-0.01909199134448061,-0.35192871459457364,-0.0081153533496071632,0.013812717283900225,0.012173030024410747,-0.020719075925850334
vortex-tubes,16,5,3,10,0,-3,-1,5.1193861956618927e-18,5.9698137302578732e-18,1.7417431541348797e-18,4.8204225769960801e-19,-5.2252294624046388e-18,-1.4461267730988241e-18
vortex-tubes,16,5,3,10,0,-2,0,-3.0497638614121836e-17,2.1145848632053148e-17,0,0,-3.4253388149373367e-19,-5.2340121775767517e-18
vortex-tubes,16,5,3,10,0,-2,1,-3.5814845371961949e-17,9.646557104469195e-18,-8.1007154588721504e-20,6.1178899932694947e-19,-1.6201430917744301e-19,1.2235779986538989e-18
vortex-tubes,16,5,3,10,0,-2,2,0.023312199162822164,-0.40107675092927392,0.0018192717163118893,-0.01008259115879148,0.0018192717163118893,-0.01008259115879148
vortex-tubes,16,5,3,10,0,-2,3,4.4898521746359627e-17,-4.3878327861346344e-17,-2.369640183155586e-19,-3.4531986710547662e-18,-1.5797601221037316e-19,-2.3021324473698441e-18
vortex-tubes,16,5,3,10,0,-2,-3,2.3765158630794623e-17,4.7666177400332673e-17,-1.7714727124527219e-18,-2.1985145908408247e-18,1.180981808301814e-18,1.4656763938938831e-18
vortex-tubes,16,5,3,10,0,-2,-2,-0.0233121991628223,0.40107675092927392,0.0018192717163119001,-0.010082591158791478,-0.0018192717163119001,0.010082591158791478
