resolution,grid,cutoff,sampling_grid,snapshot,time,energy,enstrophy,palinstrophy,h_half,l3_sample,vorticity_sample,vorticity_fourier_upper_bound,k_rms,stretching,viscous_destruction,net_enstrophy_rate,production_to_dissipation,cutoff_fraction
coarse,16,5,64,0,0,10.000000000000005,68.069031261902623,593.5142544779203,7.086864356289607,6.0563572463707436,61.331848282663877,113.59661855382838,2.6090042403549787,37.685968797290599,23.740570179116812,13.945398618173787,1.5874079060847803,0
coarse,16,5,64,1,0.0037499999999999999,9.9897846574022058,68.142647221079187,595.54691645742719,7.0867799829696052,6.0521998937493962,61.184017590041535,116.95983650391807,2.6117490011777882,49.14563673970688,23.821876658297089,25.323760081409791,2.0630463940627282,7.7060125685718788e-06
coarse,16,5,64,2,0.0074999999999999997,9.9795550660318373,68.259070188856924,598.73236882108756,7.0875966617714869,6.0478730123146693,61.046498369878364,120.47189378597344,2.6153185525167384,60.739774629508688,23.949294752843503,36.790479876665188,2.5361821822455561,2.9046246038741446e-05
coarse,16,5,64,3,0.01125,9.9693047719151355,68.418791628462543,603.11482854833696,7.0893140635832976,6.0433850387510555,61.015709704063148,124.16185076672942,2.6197223382363455,72.5540755502183,24.124593141933477,48.429482408284827,3.0074735405217869,6.2402590819707329e-05
coarse,16,5,64,4,0.014999999999999999,9.9590272246790903,68.622598614878399,608.75825470515326,7.0919343708478744,6.0387467233105081,60.898725662264198,128.04820445783537,2.6249746894087025,84.664176944783577,24.350330188206129,60.313846756577448,3.476921104987313,0.00010770198779053497
coarse,16,5,64,5,0.018749999999999999,9.9487157366138366,68.871526192169725,615.74357231494184,7.0954616702275262,6.0339703090276027,60.778127679474473,132.14204594262847,2.6310938685594132,97.131943634296221,24.629742892597676,72.502200741698545,3.9436848390118051,0.00016653639017235629
coarse,16,5,64,6,0.022499999999999999,9.9383634498295663,69.166797541548931,624.16531864791273,7.0999011686088247,6.0290685020048134,60.942828787244991,136.44919658615464,2.6381008663048053,110.00245400723907,24.96661274591651,85.03584126132256,4.4059823063195003,0.00024220047653029226
coarse,16,5,64,7,0.026249999999999999,9.9279633131248364,69.509754826959309,634.12786478836972,7.1052582735427325,6.0240533740801263,61.288058955543455,140.97478531112264,2.6460180139719718,123.30176421152589,25.365114591534791,97.936649619991101,4.8610765690242896,0.00033964532607051333
coarse,16,5,64,8,0.029999999999999999,9.917508069737611,69.901783759391662,645.74136331657985,7.111537583585724,6.0189352377304548,61.567750773611344,145.72599822796533,2.6548674805302421,137.03548164974097,25.829654532663195,111.20582711707777,5.3053547997109733,0.00046535173250567024
coarse,16,5,64,9,0.033750000000000002,9.9069902566906087,70.344234945013568,659.11756549456368,7.118741835875273,6.013721601968558,62.051485244557568,150.69963994620929,2.6646697233872874,151.18814230893059,26.364702619782548,124.82343968914805,5.7344907124227431,0.00062713166333821309
coarse,16,5,64,10,0.037499999999999999,9.8964022159896423,70.838344984980566,674.36564095081542,7.1268708578837208,6.0084162645133894,62.529042550991186,155.87577164580065,2.6754419607676176,165.72335807970478,26.974625638032617,138.74873244167216,6.1436759235703615,0.00083387025611630211
coarse,16,5,64,11,0.041249999999999995,9.8857361174997092,71.38516010911637,691.58812162764207,7.1359205679960693,6.0030185556544726,62.921797397627778,161.22972037463111,2.6871967290334524,180.58468044059038,27.663524865105682,152.9211555754847,6.5278984265803714,0.0010952234773644585
coarse,16,5,64,12,0.044999999999999998,9.8749839929260474,71.985464882051275,710.87708115222745,7.1458820657454174,5.9975229408493247,63.324487589628781,166.73914649806983,2.699940581971322,195.69711464033793,28.4350832460891,167.26203139424882,6.8822416641686353,0.0014212880670293438
coarse,16,5,64,13,0.048750000000000002,9.8641377799655601,72.639718243541722,732.31065148897176,7.1567408476000729,5.9919188344609617,63.83901184310804,172.42140260624373,2.7136729812499847,210.9692118236795,29.292426059558871,181.67678576412064,7.2021761323123608,0.0018222606822901326
coarse,16,5,64,14,0.052499999999999998,9.8531893753772675,73.347998850715129,755.94997059070158,7.1684761784667757,5.9861906623345913,64.371547949500012,178.22745606052996,2.7283854183680463,226.29566299945341,30.237998823628065,196.05766417582535,7.4838174417357699,0.0023081023738997929
coarse,16,5,64,15,0.056249999999999994,9.8421306954477075,74.109961386056085,781.83664697899144,7.18106064282206,5.9803182723811155,64.908678083209139,184.11652757065079,2.7440607987764229,241.56031601433162,31.273465879159659,210.28685013517196,7.7241300004201046,0.0028882228887256935
coarse,16,5,64,16,0.059999999999999998,9.8309537421017374,74.924805180615564,809.99081850797927,7.1944598928062309,5.974277670266062,65.278739948582384,190.06213808089015,2.7606731087349461,256.63953298817188,32.39963274031917,224.23990024785272,7.9210630270139202,0.0035711970521177219
fine,32,10,64,0,0,10.000000000000005,68.069031261902623,593.5142544779203,7.086864356289607,6.0563572463707436,61.331848282663877,113.59661855382838,2.6090042403549787,37.685968797290528,23.740570179116812,13.945398618173716,1.5874079060847774,0
fine,32,10,64,1,0.0037499999999999999,9.9897846448043168,68.142898359619124,595.56490788637984,7.0867828190990263,6.0522023443516062,61.168543402479678,117.40470735366405,2.6117538155979014,49.279981775569766,23.822596315455193,25.457385460114573,2.0686234666873311,4.9285163008121308e-13
fine,32,10,64,2,0.0074999999999999997,9.979554964971344,68.260091078660167,598.80644176331361,7.0876081401084532,6.047879826127283,60.97926131751025,121.53752929328182,2.6153381231751558,61.02497478728894,23.952257670532546,37.072717116756394,2.5477754801529793,3.4411045194245198e-11
fine,32,10,64,3,0.01125,9.9693044213345896,68.421220848875862,603.29435794146764,7.0893412894620784,6.0433994105687825,60.908895143227461,126.07485453284499,2.6197688907224856,73.041133827205002,24.131774317658707,48.909359509546292,3.0267618479158536,4.33952869385896e-10
fine,32,10,64,4,0.014999999999999999,9.9590263507694647,68.627321966839745,609.11565004951945,7.091987134641367,6.0387707304731624,60.743288705914324,131.08649076826984,2.6250651426524021,85.438643769339649,24.364626001980778,61.074017767358868,3.506667566429861,2.7115166236778617e-09
fine,32,10,64,5,0.018749999999999999,9.9487139063958789,68.879800191562538,616.38740407300236,7.0955536498253737,6.0340028193111586,60.585362823856357,136.63249103311145,2.6312521513386833,98.312873880487672,24.655496162920095,73.657377717567584,3.9874628046764848,1.1468186416391977e-08
fine,32,10,64,6,0.022499999999999999,9.9383600067470059,69.180365173912975,625.25502050308194,7.1000508650830136,6.0291034806799182,60.721283491978006,142.76235291800887,2.6383600531568092,111.74048151463776,25.010200820123277,86.730280694514491,4.4677962531484781,3.7669463951142935e-08
fine,32,10,64,7,0.026249999999999999,9.9279572960473619,69.530950600393723,635.89012339797637,7.1054896252952497,6.0240786685985972,60.954407130794642,149.51955818462682,2.6464222134416371,125.776625980554,25.435604935919056,100.34102104463494,4.9449040546677825,1.0338934024711865e-07
fine,32,10,64,8,0.029999999999999999,9.9174981171175158,69.933626485622426,648.48822635704119,7.111880238534857,6.018931888619254,61.288289330276569,156.9480763978431,2.6554734369738306,140.4534007878633,25.93952905428165,114.51387173358165,5.414647293478124,2.4780895551718356e-07
fine,32,10,64,9,0.033750000000000002,9.9069744977297329,70.390508284530412,663.26623065859951,7.1192310968624097,6.0136637286969483,61.689344805239386,165.07842689885251,2.665548126287828,155.77950858982157,26.530649226343982,129.24885936347761,5.8716809852937226,5.3404788024518219e-07
fine,32,10,64,10,0.037499999999999999,9.8963781505483706,70.9036674260621,680.45983938647566,7.1275473494831605,6.0082714996857964,61.942516395315408,173.91541815505016,2.6766784889102855,171.74112537270946,27.218393575459029,144.52273179725043,6.3097450955943533,1.0564879963566778e-06
fine,32,10,64,11,0.041249999999999995,9.8857004861128974,71.475047525664607,700.32098525450567,7.1368296998323286,6.0027490276718449,62.226039909203649,183.45403167517875,2.688892887039084,188.30383263009494,28.012839410180227,160.29099321991472,6.7220544791208461,1.9486787829674154e-06
fine,32,10,64,12,0.044999999999999998,9.8749326377293425,72.106389951084694,723.11538700280926,7.1470733856298772,5.9970867436062365,63.919591212750738,193.67757280360621,2.7022144098399536,205.41543758874133,28.924615480112372,176.49082210862895,7.1017517149010443,3.3925127993188106e-06
fine,32,10,64,13,0.048750000000000002,9.8640654966401442,72.799171620716166,749.12035850507982,7.1582673855559191,5.9912718604269655,65.839187932048148,204.60179576413705,2.7166597301082249,223.00944734762231,29.964814340203194,193.04463300741912,7.4423770765172064,5.6297574014901049e-06
fine,32,10,64,14,0.052499999999999998,9.8530897554812089,73.554556919165108,778.62297452485689,7.1703938791747941,5.9852887373323158,67.732201284328085,216.16805657520334,2.7322382841038975,241.00891058406901,31.144918980994277,209.86399160307474,7.7383059089394681,8.9768626526126479e-06
fine,32,10,64,15,0.056249999999999994,9.8419959578413749,74.373364444536179,811.91862375090443,7.1834279692629979,5.9791194688431766,69.586990535970855,228.30921748651147,2.7489517868902635,259.33029783559994,32.476744950036178,226.85355288556377,7.9851074433280314,1.3843160733497597e-05
fine,32,10,64,16,0.059999999999999998,9.8307745517230121,75.25604803544536,849.30984539105157,7.1973376590459042,5.9727445857050503,71.512813210368208,240.98321298719682,2.7667940676246063,277.88707828533194,33.972393815642064,243.91468446968986,8.1797909147451104,2.0751465311383782e-05
