resolution,grid,cutoff,sampling_grid,snapshot,time,energy,enstrophy,palinstrophy,h_half,l3_sample,vorticity_sample,vorticity_fourier_upper_bound,k_rms,stretching,viscous_destruction,net_enstrophy_rate,production_to_dissipation,cutoff_fraction
coarse,16,5,32,0,0,9.9999999999999929,40.678345689401944,232.48270264779825,6.2090645101017534,6.2689480068383698,70.731244944831417,106.95892623112753,2.0168873466161163,96.186504538252706,9.2993081059119298,86.887196432340772,10.343404417055847,0
coarse,16,5,32,1,0.0050000000000000001,9.9918159820562753,41.186022406603911,241.81406594335897,6.2225559070962975,6.2728926905720375,72.390746177602182,113.65561574047794,2.0302649267884942,125.58277519248968,9.6725626377343588,115.91021255475532,12.983402630298748,1.4505059464925823e-05
coarse,16,5,32,2,0.01,9.983516198405173,41.834558777776117,254.44912461072335,6.2395841756374155,6.2756078518725831,74.108244038466935,120.57596061995523,2.0470376619202475,153.37903253605535,10.177964984428934,143.20106755162641,15.069715092428288,5.9501552728889586e-05
coarse,16,5,32,3,0.014999999999999999,9.9750733716378175,42.614875055086536,270.31108896198214,6.2598294354094968,6.2769987761538761,75.679628358233629,127.73548373537166,2.0669147300740147,179.41073368707038,10.812443558479286,168.59829012859109,16.592986841200545,0.00013861613828117627
coarse,16,5,32,4,0.02,9.9664621150122485,43.517174001260436,289.33388640528335,6.2829462694721441,6.2770036796085318,77.141654633925143,135.12036005876169,2.0895839902419384,203.54940090571017,11.573355456211335,191.97604544949883,17.587760237370631,0.00025839188632223567
coarse,16,5,32,5,0.025000000000000001,9.9576590584027862,44.531115212333084,311.46110853594303,6.3085721620443893,6.2755947034357424,78.529393416455747,142.70497311187503,2.1147213971518206,225.70117682905683,12.458444341437721,213.24273248761912,18.116320998309376,0.0004298105829104941
coarse,16,5,32,6,0.029999999999999999,9.9486429399852305,45.64598371463692,336.64391422867357,6.3363355862366593,6.2727748732064947,79.862684562411744,150.43665999743095,2.1419994915188414,245.80564851181413,13.465756569146944,232.33989194266718,18.254128332826824,0.00066966287202744766
coarse,16,5,32,7,0.035000000000000003,9.9393946648792717,46.850850811649877,364.83708197933817,6.3658637473921695,6.2685725753377541,81.13843030880993,158.29751528309629,2.1710947305609616,263.83343467329769,14.593483279173526,249.23995139412415,18.078852706112766,0.0010013017601594083
coarse,16,5,32,8,0.040000000000000001,9.929897333085334,48.134718547987653,395.99254561573656,6.3967898282580098,6.263034943708381,82.329924926437641,166.26661188195209,2.2016933934365679,279.78159751417513,15.839701824629463,263.94189568954567,17.663312138814206,0.0014544296547265034
fine,32,10,32,0,0,9.9999999999999929,40.678345689401944,232.48270264779825,6.2090645101017534,6.2689480068383698,70.731244944831417,106.95892623112753,2.0168873466161163,96.186504538252677,9.2993081059119298,86.887196432340744,10.343404417055845,0
fine,32,10,32,1,0.0050000000000000001,9.9918159763107148,41.186111467241119,241.81954595214654,6.2225572512471459,6.2728728468339288,72.43162914273455,113.97239256039849,2.0302671224930404,125.62143256687114,9.6727818380858626,115.94865072878527,12.987104916627608,3.2867614740451102e-13
fine,32,10,32,2,0.01,9.9835161458688226,41.834995296003726,254.47922404316492,6.2395902943606751,6.2755438416787435,74.248353771579062,121.43436458677751,2.0470483470762226,153.48839708396181,10.179168961726598,143.30922812223523,15.07867662488697,2.6391955199603596e-11
fine,32,10,32,3,0.014999999999999999,9.9750731590798107,42.616147260342224,270.4093200785598,6.2598458599394373,6.2768700829587623,75.969512889662553,129.4693671986056,2.0669456042359089,179.65364558525968,10.816372803142393,168.83727278211728,16.609416932547514,3.8732952895280162e-10
fine,32,10,32,4,0.02,9.9664614954796367,43.520160016097876,289.58830058945023,6.2829818852992192,6.2767919524321929,77.625799001448854,138.19218825828366,2.0896557443786228,204.02551431488848,11.583532023578009,192.44198229131047,17.613411341169456,2.8539587909581441e-09
fine,32,10,32,5,0.025000000000000001,9.9576575542668611,44.53728099661371,312.03254328275477,6.3086405586983449,6.2752804213472704,79.251727858527829,147.68481321071533,2.1148679541196196,226.55791275357913,12.481301731310191,214.07661102226893,18.151785577400414,1.4386915121005763e-08
fine,32,10,32,6,0.029999999999999999,9.9486397008031577,45.657640267449501,337.80608609226431,6.336456663913923,6.2723336047410809,80.876241710684482,157.96678683271102,2.1422733225612545,247.25358394891384,13.512243443690572,233.74134050522326,18.298484998386172,5.6645958923072143e-08
fine,32,10,32,7,0.035000000000000003,9.9393882663274997,46.871489134241358,367.03231826318,6.3660656971119813,6.2679724006844628,82.517639497321412,169.11947557590796,2.1715735726205709,266.16576414488628,14.681292730527201,251.48447141435909,18.129586340271029,1.8640579319754563e-07
fine,32,10,32,8,0.040000000000000001,9.929885499792297,48.169437901198826,399.9066092359223,6.3971115799478415,6.2622365219449661,84.182936350859919,181.19827519935959,2.2024885983468954,283.39701343984734,15.996264369436892,267.40074907041043,17.716449721931149,5.3321397660242785e-07
