step,time,time_step,max_coefficient_difference,relative_state_l2_difference,max_diagnostic_scaled_difference,internal_energy,fftw_energy,internal_enstrophy,fftw_enstrophy,internal_critical_h_half,fftw_critical_h_half,internal_critical_l3,fftw_critical_l3,internal_vorticity_max,fftw_vorticity_max,internal_cutoff_fraction,fftw_cutoff_fraction,internal_divergence_defect,fftw_divergence_defect,internal_reality_defect,fftw_reality_defect,internal_cfl_bound,fftw_cfl_bound,viscous_stability_number
0,0,0,0,0,5.6671608616391218e-16,9.9999999999999929,9.9999999999999929,40.678345689401944,40.678345689401944,6.2090645101017534,6.2090645101017534,6.2689480068383698,6.2689480068383734,70.731244944831417,70.731244944831445,0,0,8.3266726846886741e-17,8.3266726846886741e-17,0,0,0,0,0
10,0.0043987254166266941,0.00043440443101310942,1.2419506308031636e-16,7.6658968514083083e-17,2.8319915982427127e-16,9.9928057126089129,9.9928057126089129,41.117417780406129,41.117417780406129,6.2207414459765076,6.2207414459765067,6.272465075470218,6.2724650754702198,72.205781310728852,72.205781310728852,1.4859622726623154e-13,1.4859622726649998e-13,1.9428902930940239e-16,1.3877787807814457e-16,1.1110697347012682e-16,0,0.34999999999999992,0.34999999999999992,0.0026064265860786568
20,0.008678100495679783,0.000422732544447965,1.572253155247593e-16,1.1946032790984875e-16,2.8308632199681945e-16,9.9857232857019156,9.9857232857019156,41.650207239103125,41.650207239103125,6.2347602117663179,6.2347602117663179,6.2749652716184841,6.2749652716184858,73.778328201620823,73.778328201620823,1.0585315893608711e-11,1.058531589361427e-11,3.0562657329293362e-16,2.2207170832518412e-16,1.2439990397424503e-16,0,0.34999999999999987,0.34999999999999992,0.0025363952666877902
30,0.012843686945655996,0.00041157483389280122,1.594813855221478e-16,1.6580244702399463e-16,4.2452784461548248e-16,9.9787335397914898,9.9787335397914898,42.263637494209689,42.263637494209696,6.2507366698684681,6.2507366698684681,6.2764675931063749,6.2764675931063776,75.237210287191232,75.237210287191232,1.364662679063877e-10,1.3646626790642301e-10,3.0562657329293362e-16,2.0920506204726484e-16,1.2477320616535406e-16,0,0.34999999999999998,0.34999999999999987,0.0024694490033568073
40,0.016900080573467251,0.00040084592942848154,2.0086167167598355e-16,2.0370408985673595e-16,4.2449129260785758e-16,9.9718217803319842,9.9718217803319842,42.945736659804062,42.945736659804062,6.2683177306849585,6.2683177306849585,6.2770080458678708,6.2770080458678734,76.604667515969339,76.604667515969354,8.7686235856406437e-10,8.7686235856419807e-10,3.1646225226420963e-16,1.9478403400799703e-16,1.2527373172502685e-16,0,0.34999999999999992,0.34999999999999992,0.0024050755765708896
50,0.020851372750642173,0.00039050747693626284,2.0127324897528334e-16,2.4907660667705016e-16,4.2451644042070109e-16,9.9649766120253425,9.9649766120253425,43.6856315917925,43.685631591792493,6.2871827188768696,6.2871827188768696,6.2766362039118837,6.2766362039118864,77.903890453076187,77.903890453076201,3.842174089565367e-09,3.8421740895657409e-09,3.632164660233972e-16,2.2210558292432945e-16,1.2593259095607371e-16,0,0.34999999999999976,0.34999999999999998,0.0023430448616175775
60,0.024701366918515807,0.00038055209635437683,2.4952446032358857e-16,2.9450845080585564e-16,4.2459931563294788e-16,9.9581891853855158,9.9581891853855193,44.473535110448339,44.473535110448339,6.307043838049637,6.307043838049637,6.2754111017074212,6.2754111017074239,79.154897835794443,79.154897835794443,1.3164663173020288e-08,1.3164663173021168e-08,3.908020529499657e-16,2.7757743935277205e-16,1.2664966496001667e-16,0,0.34999999999999998,0.34999999999999998,0.0022833125781262609
70,0.028454001983341009,0.00037099631640789729,3.0022245318650411e-16,3.3682822057757247e-16,4.2473562214025791e-16,9.9514520851314447,9.9514520851314447,45.30079175306988,45.300791753069895,6.3276475645814587,6.3276475645814587,6.2733971915839941,6.2733971915839968,80.372758717314255,80.372758717314269,3.7887500968178366e-08,3.7887500968180133e-08,4.4430599737083413e-16,3.0562657329293362e-16,1.2719202621569003e-16,0,0.3499999999999997,0.34999999999999998,0.0022259778984473838
80,0.032113194453730183,0.00036181865043975807,3.0038779462568066e-16,3.7533793623420812e-16,5.6656126891153371e-16,9.9447592534197859,9.9447592534197877,46.159807580408717,46.159807580408739,6.3487727176894602,6.3487727176894593,6.2706610454080316,6.2706610454080352,81.567255770029632,81.567255770029632,9.5526927297089718e-08,9.5526927297092894e-08,5.3026952758058463e-16,3.0531133177191805e-16,1.4980017729512006e-16,0,0.34999999999999987,0.34999999999999992,0.0021709119026385487
90,0.03568255111487826,0.00035299409870222508,3.0084451572271048e-16,4.189599010862253e-16,2.8343393989819551e-16,9.9381062285292892,9.9381062285292874,47.043919417588597,47.043919417588597,6.3702268884065845,6.3702268884065836,6.2672693328056832,6.267269332805685,82.743523152360893,82.743523152360893,2.1680218434785562e-07,2.1680218434786115e-07,6.1314070582892184e-16,3.3335590258932494e-16,1.8424037361508207e-16,0,0.34999999999999992,0.34999999999999987,0.0021179645922133504
100,0.039165642718854345,0.00034453075381813737,3.1378841343618384e-16,4.5756430053418199e-16,4.2542122503492474e-16,9.9314894093171162,9.931489409317118,47.947384093283048,47.947384093283056,6.3918457340040362,6.3918457340040371,6.2632870724342231,6.2632870724342258,83.903369224943731,83.903369224943731,4.5128228131103311e-07,4.5128228131104206e-07,3.9252311467094378e-16,3.0562657329293362e-16,1.8939494505982009e-16,0,0.34999999999999981,0.34999999999999998,0.0020671845229088244
110,0.042566112666177006,0.00033643230546025725,3.4645863213944384e-16,5.0421355830969503e-16,8.9489860518863524e-16,9.9249056211558901,9.9249056211558813,48.865337012285273,48.865337012285266,6.4134913737218371,6.4134913737218389,6.2587761912092414,6.2587761912092432,85.046656349855908,85.046656349855866,8.7345193375571274e-07,8.734519337557282e-07,4.4754520913118096e-16,3.3335590258932494e-16,1.9845721796578468e-16,0,0.34999999999999987,0.34999999999999998,0.0020185938327615433
120,0.045887588411053643,0.00032869676585400956,3.7535824553895004e-16,5.4079937118952735e-16,5.7078930288708791e-16,9.9183520834530334,9.9183520834530334,49.793696704975396,49.793696704975424,6.4350494422272337,6.4350494422272337,6.253794598012516,6.2537945980125187,86.172453174465417,86.172453174465431,1.5885218603911619e-06,1.5885218603911854e-06,5.0439602065594632e-16,3.8882579728510558e-16,2.0920506204726484e-16,0,0.34999999999999998,0.34999999999999998,0.0019721805951240573
130,0.049133598284667394,0.0003212940160925925,4.8504059600104948e-16,5.9332511806195139e-16,7.0033101426302099e-16,9.911826415461773,9.9118264154617748,50.729063920425169,50.729063920425205,6.4564260604158585,6.4564260604158585,6.2483956885280172,6.2483956885280199,87.279882122010306,87.279882122010321,2.7373102149936222e-06,2.7373102149936518e-06,5.4372997298805697e-16,4.6131904237175118e-16,2.1356129915207069e-16,0,0.34999999999999987,0.34999999999999992,0.001927764096555555
140,0.052307273252794134,0.00031420336580672751,4.8504059600104948e-16,6.2290289329778361e-16,4.1255813575970745e-16,9.9053271322536673,9.9053271322536638,51.668553411387734,51.668553411387755,6.4775433864218233,6.4775433864218241,6.2426286966196587,6.2426286966196605,88.399139346298398,88.399139346298426,4.4995416614867434e-06,4.4995416614867959e-06,6.2546344413855017e-16,5.7136429940606977e-16,2.1356129915207069e-16,0,0.34999999999999976,0.34999999999999998,0.0018852201948403654
150,0.055411822072784916,0.00030743619890026054,4.8504059600104948e-16,6.5961483617316791e-16,4.2724589685282866e-16,9.8988526044287006,9.8988526044287006,52.609853939826898,52.60985393982692,6.4983404280019439,6.4983404280019439,6.2365379719918392,6.2365379719918419,89.565215220585472,89.565215220585486,7.0958036218855223e-06,7.0958036218855935e-06,7.232777620970957e-16,6.1495396709232323e-16,2.2109389272654848e-16,0,0.34999999999999992,0.34999999999999998,0.0018446171934015632
160,0.058450438869549821,0.00030098098547576632,4.9305223580294088e-16,6.9004728892014974e-16,5.3073962311362679e-16,9.8924011469336079,9.8924011469336079,53.55113542053963,53.551135420539659,6.5187703261078491,6.51877032610785,6.2301633099147482,6.23016330991475,90.712967593412316,90.71296759341233,1.0787986111833793e-05,1.0787986111833895e-05,6.5432886509723453e-16,6.1380782446198336e-16,2.1986550799095255e-16,0,0.34999999999999976,0.34999999999999998,0.001805885912854598
166,0.059999999999999998,5.405699269776798e-05,4.9849083349101123e-16,7.0420121184495758e-16,2.8527784558067954e-16,9.8890668412882103,9.8890668412882103,54.038366509323154,54.038366509323154,6.5291996775695536,6.5291996775695536,6.226760566648621,6.2267605666486228,91.300785222162801,91.300785222162801,1.3230375026841283e-05,1.3230375026841425e-05,5.8411516562262898e-16,5.4443792621689023e-16,2.7388861117958672e-16,0,0.063652119743133145,0.063652119743133173,0.00032434195618660788
